curve_id,shape_guided,feature_kmeans,feature_gmm,feature_ward
10.1002_cssc.202002707_Fig7_A_stability_performance_curve_pce_05749d9bad,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_eem2.12595_Fig3_F_stability_performance_curve_pce_2d8fe3b444,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_ente.201700448_Fig6_D_stability_performance_curve_809ddafc17,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_ente.201900728_Fig5_B_stability_performance_curve_pce_1f1b66c282,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_ente.202200761_Fig5_F_stability_performance_curve_affd2ed2a2,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_ente.202200761_Fig5_F_stability_performance_curve_bc84899c81,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_inf2.12423_Fig3_H_stability_performance_curve_pce_a98965b892,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_pc.25527_Fig9_D_stability_performance_curve_6991544daa,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_pc.25527_Fig9_D_stability_performance_curve_98182e21ce,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_pip.3352_Fig6_H_stability_performance_curve_406592dcc3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_slct.202102172_Fig8_whole_stability_728e3c2197,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_slct.202102172_Fig8_whole_stability_e3f4790125,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_smll.201904387_Fig5_A_stability_performance_curve_pce_4e4c3b480e,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.201904399_Fig6_A_stability_df93a3f083,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.201904399_Fig6_B_stability_c2fd33b7cf,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.201904746_Fig4_C_stability_performance_curve_c036e5c946,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_smll.202003582_Fig7_F_xrd_pattern_stability_performance_curve_6b342d90bc,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.202004778_Fig4_A_stability_performance_curve_pce_244c9e25b6,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.202004778_Fig4_A_stability_performance_curve_pce_d28ba27681,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_smll.202004877_Fig5_I_stability_performance_curve_071792b2ad,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smll.202005246_Fig5_A_stability_performance_curve_pce_16c094b0d2,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_smll.202005671_Fig5_E_stability_performance_curve_pce_284b19d67f,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_smll.202101380_Fig5_G_stability_performance_curve_pce_2a4a548aca,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_smll.202102272_Fig6_B_stability_performance_curve_pce_7bae2ed5f3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_smll.202102368_Fig4_B_stability_performance_curve_pce_e8b729fcc0,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Valley
10.1002_smll.202201820_Fig5_C_stability_performance_curve_pce_pattern_4c17f002cc,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Hill
10.1002_smtd.201900476_Fig5_C_stability_performance_curve_pce_c079a8128c,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_smtd.201900831_Fig5_I_stability_performance_curve_698b8ad00d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_smtd.201900831_Fig5_I_stability_performance_curve_95bf2ceae8,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_smtd.202100856_Fig5_E_stability_performance_curve_pce_ead49bdac4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_solr.201700125_Fig6_A_stability_performance_curve_pce_686dfa52e3,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.201700125_Fig6_A_stability_performance_curve_pce_a339a77ece,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_solr.201700209_Fig5_A_pce_d1d4d56194,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201800205_Fig3_A_stability_performance_curve_pce_af1571a3af,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_solr.201800232_Fig4_D_stability_performance_curve_pce_52f1569b5b,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201800240_Fig6_E_stability_performance_curve_7799848778,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201800338_Fig2_D_stability_performance_curve_pce_11b8e1cae1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201800338_Fig2_D_stability_performance_curve_pce_d17290a63b,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_solr.201900011_Fig8_D_stability_performance_curve_pce_58fd97e971,IFO-Hill,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.201900029_Fig7_whole_stability_performance_curve_pce_88532050b8,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_solr.201900030_Fig6_C_stability_performance_curve_pce_55d1a9152b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201900030_Fig6_C_stability_performance_curve_pce_c258f90b53,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201900072_Fig6_A_stability_performance_curve_pce_4a0f4fb80e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201900119_Fig5_D_stability_performance_curve_c5ad9d2e79,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201900197_Fig2_C_stability_performance_curve_3257a47b10,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Valley
10.1002_solr.201900197_Fig2_C_stability_performance_curve_cf62eb18a1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201900207_Fig4_A_stability_performance_curve_pce_906e8c3140,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201900224_Fig2_F_stability_performance_curve_9ec82fc3ba,IFO-Hill,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.201900245_Fig6_A_stability_performance_curve_908d5474f3,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_solr.201900249_Fig1_C_stability_performance_curve_pce_d8f1c66f71,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.201900249_Fig6_E_stability_performance_curve_pce_959c72c275,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_solr.201900336_Fig5_D_stability_performance_curve_pce_88dbfa8782,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.201900380_Fig4_B_stability_performance_curve_pce_9c551075e0,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.201900457_Fig5_D_stability_performance_curve_pce_b812dd0d49,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000011_Fig5_E_jv_curve_stability_performance_pce_e59201351b,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202000113_Fig6_A_stability_performance_curve_pce_3ad269503c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000206_Fig7_A_stability_performance_curve_pce_1d3babf322,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202000292_Fig6_A_stability_performance_curve_pce_image_cabc798a13,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000376_Fig8_C_stability_performance_curve_pce_51d3e95750,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_solr.202000376_Fig8_C_stability_performance_curve_pce_f7adab6fb3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000491_Fig7_B_stability_performance_curve_de960b018f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000536_Fig5_B_stability_performance_curve_pce_fec728b96b,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_solr.202000573_Fig4_F_sem_curve_pce_a5e2b00f2d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000621_Fig6_A_stability_performance_curve_pce_2575f07e9a,IFO-Bridge,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.202000637_Fig5_B_stability_performance_curve_pce_0d9e892bab,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000681_Fig5_E_stability_performance_curve_pce_jsc_5e4e2a74d6,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_solr.202000801_Fig5_A_stability_performance_curve_3ee2d536d6,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202000819_Fig7_A_stability_performance_curve_pce_7c33b0651a,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.202000819_Fig7_B_pce_53bbf10034,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100040_Fig6_C_stability_performance_curve_pce_e2b9ee4229,IFO-Valley,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_solr.202100040_Fig6_D_pce_355e092bb4,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_solr.202100069_Fig5_B_stability_performance_curve_pce_858669b437,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.202100069_Fig5_B_stability_performance_curve_pce_cad2f84000,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100178_Fig3_D_stability_performance_curve_pce_d955b8e9b3,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202100236_Fig6_B_mppt_stability_performance_curve_pce_profile_1f66914992,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100249_Fig5_D_stability_performance_curve_pce_dba592846b,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Hill
10.1002_solr.202100257_Fig8_E_stability_performance_curve_pce_ea2ef7afb3,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202100285_Fig5_F_stability_performance_curve_848b3b4a92,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100344_Fig5_A_pce_3023d5dc66,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100347_Fig8_B_stability_performance_curve_pce_diagram_fe2de078e6,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100352_Fig6_F_stability_performance_curve_pce_3f1a1e5944,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_solr.202100404_Fig7_A_pce_19ffe790eb,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202100404_Fig7_A_pce_524fa43160,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_solr.202100555_Fig5_F_stability_performance_curve_structure_d9123a60c9,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Slope
10.1002_solr.202100622_Fig3_C_stability_performance_curve_pce_eqe_efc83f6912,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202101103_Fig7_A_pce_305a1de039,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_solr.202101103_Fig7_C_pce_3c4907c8ec,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_solr.202300091_Fig4_F_stability_performance_curve_pce_dc96ef3b18,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1007_s10853-021-06200-w_Fig7_A_stability_performance_curve_pce_7059691bc5,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s11426-016-0085-y_Fig5_A_stability_ae7e3049de,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s11426-020-9741-1_Fig5_D_stability_performance_curve_pce_4b3dee3f4b,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1007_s11426-020-9866-6_Fig4_A_stability_performance_curve_pce_83c5c355dd,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s11426-020-9866-6_Fig4_B_stability_performance_curve_pce_1868e0d044,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s11426-022-1403-6_Fig4_F_stability_performance_curve_pce_23566b39e6,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1007_s11426-022-1403-6_Fig4_F_stability_performance_curve_pce_f185fa1fc5,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1007_s11431-021-1861-y_Fig5_D_stability_performance_curve_pce_plot_8e1df4a7f4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s12274-020-2836-3_Fig5_F_stability_performance_curve_4a81269392,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s12274-021-3286-2_Fig5_F_stability_performance_curve_pce_decay_84b944bc2c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s12598-020-01641-9_Fig6_F_cv_curve_stability_performance_pce_5eaf8083d9,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Hill
10.1007_s13233-021-9020-9_Fig5_D_stability_performance_curve_01e9dbff07,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1007_s40820-020-00509-y_Fig5_A_stability_performance_curve_a09420ab02,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s40820-021-00636-0_Fig6_B_eis_plot_stability_f7f8b3a22e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s40820-021-00636-0_Fig6_D_eis_plot_stability_performance_curve_pce_e3f834ba9f,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1007_s40820-021-00675-7_Fig5_C_jv_curve_stability_performance_2c873d9606,IFO-Hill,IFO-Valley,IFO-Valley,IFO-Slope
10.1007_s40820-021-00688-2_Fig7_A_stability_performance_curve_f3bce9739f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40820-022-00916-3_Fig5_F_eis_plot_stability_performance_curve_pce_01e1e5191b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40820-023-01130-5_Fig5_A_stability_performance_curve_pce_6384409ed3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1007_s40820-023-01130-5_Fig5_B_mppt_stability_performance_curve_pce_mapping_21a1a121cf,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1007_s40820-023-01130-5_Fig5_C_mppt_stability_performance_curve_pce_mapping_7aff928a56,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1007_s40820-024-01400-w_Fig5_I_xrd_pattern_stability_performance_curve_pce_image_78b009a17f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40820-024-01538-7_Fig5_D_mppt_stability_performance_curve_pce_92e2c5e8df,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40820-025-01677-5_Fig4_G_mppt_stability_performance_curve_eqe_3b8ed1fb8a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40820-025-01817-x_Fig5_E_mppt_stability_performance_curve_pce_c5a07d10c1,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1007_s40820-025-01817-x_Fig5_F_mppt_stability_performance_curve_pce_808fce391d,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1007_s40843-019-1186-4_Fig8_D_stability_performance_curve_plot_99d03d6548,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s40843-020-1383-3_Fig7_B_stability_performance_curve_voc_4314158667,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1007_s40843-020-1581-4_Fig4_D_stability_performance_curve_6ad5fc131c,IFO-Hill,IFO-Slope,IFO-Hill,IFO-Hill
10.1007_s42114-024-01208-7_Fig5_A_statistics_stability_performance_curve_pce_17d83a1673,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1007_s42114-024-01208-7_Fig5_A_statistics_stability_performance_curve_pce_daeed4bc9a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.apsusc.2017.04.153_Fig5_D_pce_d2805f31c9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.apsusc.2019.145099_Fig6_whole_stability_7ab2e56780,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.apsusc.2020.145790_Fig7_F_stability_performance_curve_pce_6a1b1227fe,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.apsusc.2020.147949_Fig8_A_stability_performance_curve_pattern_ecab42bb93,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.apsusc.2021.149276_Fig5_D_stability_performance_curve_pce_7721a92428,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.apsusc.2023.157901_Fig5_A_stability_performance_curve_pce_bcbd4fd639,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.carbon.2021.05.008_Fig6_A_stability_performance_curve_pce_26294a4305,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2016.12.050_Fig11_whole_stability_49c9c9b7e4,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2019.04.099_Fig5_B_pce_b02e6039ad,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2020.125010_Fig6_A_stability_performance_curve_pce_d502020921,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2020.126548_Fig7_E_stability_performance_curve_retention_pce_8e8dcac43c,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1016_j.cej.2020.126548_Fig7_E_stability_performance_curve_retention_pce_eebde5d32c,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Slope
10.1016_j.cej.2020.126548_Fig7_F_stability_performance_curve_pce_55dba384b5,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Hill
10.1016_j.cej.2020.126548_Fig7_F_stability_performance_curve_pce_ecd1d5d819,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.cej.2020.126712_Fig5_B_stability_performance_curve_pce_pattern_0b9e145ee1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2020.126855_Fig5_whole_stability_4eb1248f65,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.cej.2020.126992_Fig9_whole_stability_def276ce45,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2020.126992_Fig9_whole_stability_f6d46862f2,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2020.127204_Fig6_A_stability_performance_curve_pce_4ef3aba030,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.cej.2020.127328_Fig2_F_stability_performance_curve_pce_9d518e3989,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2020.127579_Fig6_A_stability_performance_curve_pce_81a9ba3dac,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2020.127579_Fig6_B_stability_performance_curve_pce_3b92a97581,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.cej.2020.127997_Fig5_F_stability_performance_curve_pce_ec7b706755,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1016_j.cej.2021.128436_Fig8_A_stability_performance_curve_pce_7bd98b76a4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.128436_Fig8_A_stability_performance_curve_pce_86f481f829,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2021.128727_Fig7_F_stability_performance_curve_pce_0969ca6afd,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Slope
10.1016_j.cej.2021.128727_Fig7_F_stability_performance_curve_pce_4762bcba8d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.128727_Fig7_F_stability_performance_curve_pce_68a0a137dc,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.129482_Fig5_F_stability_performance_curve_pce_41abe587c1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.cej.2021.129735_Fig3_D_stability_performance_curve_pce_eqe_4299011baa,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.129735_Fig3_D_stability_performance_curve_pce_eqe_c312066587,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Hill
10.1016_j.cej.2021.130001_Fig5_I_stability_performance_curve_pce_4cd855b896,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.cej.2021.130001_Fig5_I_stability_performance_curve_pce_65124d2a96,IFO-Hill,IFO-Slope,IFO-Hill,IFO-Hill
10.1016_j.cej.2021.130324_Fig6_A_stability_performance_curve_pce_1601be55f2,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.130572_Fig5_A_stability_performance_curve_pce_5485630fba,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.cej.2021.130572_Fig5_B_stability_performance_curve_pce_ab2334da59,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.130685_Fig5_E_stability_performance_curve_pce_a37d36c33d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.130841_Fig7_A_stability_performance_curve_pce_ccd7407846,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.131185_Fig7_A_stability_performance_curve_plot_05d785c835,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.cej.2021.131357_Fig5_E_stability_performance_curve_pce_73f26ee69c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.131357_Fig5_F_stability_performance_curve_pce_0af282e032,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.131358_Fig5_A_stability_performance_curve_9d4dc0f834,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.131444_Fig4_B_stability_performance_curve_5cf73953d9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2021.131499_Fig5_B_stability_performance_curve_pce_7f6a6882c9,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.cej.2022.137851_Fig5_E_stability_performance_curve_69edcce52e,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2022.139047_Fig5_H_stability_performance_curve_6646f43169,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2022.139961_Fig5_F_stability_performance_curve_pce_image_a7518b57ff,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2023.144561_Fig5_C_stability_performance_curve_pce_033a062bbf,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.cej.2023.144561_Fig5_C_stability_performance_curve_pce_22a6b1e18c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.cej.2023.144561_Fig5_C_stability_performance_curve_pce_40f1cf25bf,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.ceramint.2020.07.260_Fig7_A_stability_performance_curve_pce_11dd60f2c3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.ceramint.2020.07.260_Fig7_A_stability_performance_curve_pce_4fcd5bcf6a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.ceramint.2020.07.260_Fig7_B_stability_performance_curve_pce_b3fb8f69c9,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.ceramint.2020.07.260_Fig7_B_stability_performance_curve_pce_eef7dbe1e1,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.dyepig.2019.01.002_Fig4_A_stability_performance_curve_pce_08e87038e5,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1016_j.dyepig.2019.01.002_Fig4_A_stability_performance_curve_pce_55a831f7e1,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.dyepig.2020.108301_Fig6_C_stability_performance_curve_3da0ccac0d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.dyepig.2021.109339_Fig7_whole_stability_06574250be,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.dyepig.2021.109718_Fig6_A_stability_performance_curve_pce_0515a20071,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.dyepig.2021.109718_Fig6_A_stability_performance_curve_pce_9da46242f7,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1016_j.electacta.2016.11.132_Fig6_A_stability_performance_curve_pce_223d2f282f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2016.11.132_Fig6_A_stability_performance_curve_pce_668bafbba6,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.electacta.2017.03.192_Fig6_E_eqe_plot_stability_performance_curve_972021bc89,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2017.03.192_Fig6_E_eqe_plot_stability_performance_curve_bdd4637439,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1016_j.electacta.2018.02.103_Fig5_A_stability_performance_curve_pce_2e2f3dc11f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2018.06.112_Fig7_A_pce_45f6e08eee,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2018.07.044_Fig4_H_stability_performance_curve_pce_57ee7b413f,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1016_j.electacta.2018.07.044_Fig4_H_stability_performance_curve_pce_c80b739546,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Valley
10.1016_j.electacta.2018.09.097_Fig8_A_stability_performance_curve_pce_254786b684,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2018.09.195_Fig6_D_stability_performance_curve_c95ce3e74b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1016_j.electacta.2019.06.102_Fig6_A_stability_performance_curve_pce_e5bec88805,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1016_j.electacta.2019.134924_Fig6_A_stability_performance_curve_31aac6a070,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
