curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
93,91,10.1002/ente.201800378,10.1002_ente.201800378,x_time_day,Fig9_C_jv_curve_stability_performance_pce_jsc,Fig9_C,Series_1,W_O_PVB,x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/accepted/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__W_O_PVB__Series_1.csv,14.218752348700693,73.5526351928711,Q5,Q2,absolute
165,162,10.1016/j.apsusc.2017.02.057,10.1016_j.apsusc.2017.02.057,x_time_day,Fig4_D_stability_performance_curve_pce,Fig4_D,Series_2,"c-Pbl,based","x_time_day/10.1016_j.apsusc.2017.02.057/Fig4_D_stability_performance_curve_pce/accepted/10.1016_j.apsusc.2017.02.057__Fig4__D__stability_performance_curve_pce__c-Pbl,based__Series_2.csv",7.3908804378684945,85.78128814697266,Q5,Q1,absolute
171,168,10.1016/j.carbon.2019.10.101,10.1016_j.carbon.2019.10.101,x_time_day,Fig4_D_stability_performance_curve_pce,Fig4_D,Series_2,CuSCN_Au_PSC,x_time_day/10.1016_j.carbon.2019.10.101/Fig4_D_stability_performance_curve_pce/accepted/10.1016_j.carbon.2019.10.101__Fig4__D__stability_performance_curve_pce__CuSCN_Au_PSC__Series_2.csv,0.9855621498977393,86.94546508789062,Q1,n/a,pre-normalised
211,208,10.1016/j.electacta.2017.07.040,10.1016_j.electacta.2017.07.040,x_time_day,Fig8_whole_stability_performance_curve_pce,Fig8,Series_3,MAPbI_3,x_time_day/10.1016_j.electacta.2017.07.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__MAPbI_3__Series_3.csv,0.9852773210297597,82.46755981445312,Q1,n/a,pre-normalised
243,240,10.1016/j.jpowsour.2019.227216,10.1016_j.jpowsour.2019.227216,x_time_day,Fig6_A_stability_performance_curve_pce,Fig6_A,Series_1,CH₃NH₃PbI₃_w_o_tBP,x_time_day/10.1016_j.jpowsour.2019.227216/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.jpowsour.2019.227216__Fig6__A__stability_performance_curve_pce__CH₃NH₃PbI₃_w_o_tBP__Series_1.csv,0.9953222617079929,99.57178497314453,Q1,n/a,pre-normalised
259,256,10.1016/j.jpowsour.2021.230302,10.1016_j.jpowsour.2021.230302,x_time_day,Fig7_B_pce,Fig7_B,Series_3,Pristine,x_time_day/10.1016_j.jpowsour.2021.230302/Fig7_B_pce/accepted/10.1016_j.jpowsour.2021.230302__Fig7__B__pce__Pristine__Series_3.csv,1.0018282451384022,81.10486602783203,Q3,n/a,pre-normalised
289,284,10.1016/j.nanoen.2020.104635,10.1016_j.nanoen.2020.104635,x_time_day,Fig4_A_stability_performance_curve_pce,Fig4_A,Series_2,Spiro-OMeTAD,x_time_day/10.1016_j.nanoen.2020.104635/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.104635__Fig4__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,0.992915962643042,85.75312805175781,Q1,n/a,pre-normalised
335,330,10.1016/j.solener.2019.10.034,10.1016_j.solener.2019.10.034,x_time_day,Fig1_B_pce,Fig1_B,Series_1,Spiro-OMeTAD,x_time_day/10.1016_j.solener.2019.10.034/Fig1_B_pce/accepted/10.1016_j.solener.2019.10.034__Fig1__B__pce__Spiro-OMeTAD__Series_1.csv,0.9789661718200895,87.57295227050781,Q1,n/a,pre-normalised
504,491,10.1039/c7ta06088b,10.1039_c7ta06088b,x_time_day,Fig6_A_stability_performance_curve_pce,Fig6_A,Series_2,perovskite_spiro-OMeTAD,x_time_day/10.1039_c7ta06088b/Fig6_A_stability_performance_curve_pce/accepted/10.1039_c7ta06088b__Fig6__A__stability_performance_curve_pce__perovskite_spiro-OMeTAD__Series_2.csv,0.9934001255209464,90.54405975341797,Q1,n/a,pre-normalised
511,498,10.1039/c8ra03162b,10.1039_c8ra03162b,x_time_day,Fig10_A_stability_performance_curve_plot,Fig10_A,Series_1,ZnO_NPs,x_time_day/10.1039_c8ra03162b/Fig10_A_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs__Series_1.csv,0.9708983693999707,76.9245834350586,Q1,n/a,pre-normalised
