kept_index,curve_id,som_cluster_id,som_coord,doi,figure_label,series_id,legend_hint,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute
0,0,0,"(0,0)",10.1002/adfm.201705545,Fig11_B,Series_1,PSC-0.1,0.9901769280905162,2.117431163787842,Q1,n/a
1,1,0,"(0,0)",10.1002/adfm.201705545,Fig11_B,Series_2,PSC-0,0.9927573608929325,9.365635871887207,Q1,n/a
2,2,0,"(0,0)",10.1002/adfm.201705545,Fig11_B,Series_3,PSC-0.25,1.000498659300182,0.0,Q2,n/a
3,3,0,"(0,0)",10.1002/adfm.201705545,Fig11_B,Series_4,PSC-0.5,1.000498659300182,0.276106595993042,Q2,n/a
4,4,2,"(1,0)",10.1002/adfm.201801654,Fig4_F,Series_1,Control_MAPbl,1.0035646390205453,19.353050231933594,Q3,n/a
5,5,0,"(0,0)",10.1002/adfm.201804128,Fig8_C,Series_1,V_oc,1.0021300391283965,14.922582626342773,Q3,n/a
6,6,2,"(1,0)",10.1002/adfm.201804128,Fig8_C,Series_2,PCE,0.9988690760244715,17.726463317871094,Q2,n/a
7,7,0,"(0,0)",10.1002/adfm.201804128,Fig8_C,Series_3,FF,1.0021300391283965,0.6434798240661621,Q3,n/a
8,8,0,"(0,0)",10.1002/adfm.201804128,Fig8_C,Series_4,J_sc,1.003760520680359,4.711472988128662,Q3,n/a
9,9,0,"(0,0)",10.1002/adfm.201807024,Fig6_D,Series_1,0_MASCN,0.9967099413295936,13.147270202636719,Q2,n/a
10,10,0,"(0,0)",10.1002/adfm.201807556,Fig6_A,Series_1,PTAA-controlled,14.786920046362956,3.488379716873169,Q5,Q2
11,11,0,"(0,0)",10.1002/adfm.201807556,Fig6_A,Series_2,PEDOT_PSS-controlled,13.656828618271103,10.23429012298584,Q5,Q2
12,12,0,"(0,0)",10.1002/adfm.201807556,Fig6_A,Series_3,TFB-controlled,20.28327381026425,4.806661605834961,Q5,Q4
13,13,0,"(0,0)",10.1002/adfm.201807604,Fig5_A,Series_1,AD-SnO₂,1.0015454534902426,16.13858985900879,Q3,n/a
14,14,0,"(0,0)",10.1002/adfm.201807604,Fig5_A,Series_2,TA-SnO2,1.0038295639006198,3.4118354320526123,Q3,n/a
15,15,2,"(1,0)",10.1002/adfm.201807850,Fig7_E,Series_1,w_o_NbF₅,1.000937061897242,26.801990509033203,Q2,n/a
16,16,0,"(0,0)",10.1002/adfm.201900221,Fig5_D,Series_1,PEAI,1.0032418745498535,10.327184677124023,Q3,n/a
17,17,0,"(0,0)",10.1002/adfm.201900221,Fig5_D,Series_2,F-PEAI,1.0052715843146118,2.020847797393799,Q4,n/a
