kept_index,curve_id,som_cluster_id,som_coord,doi,figure_label,series_id,legend_hint,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute
18,18,0,"(0,0)",10.1002/adfm.202000778,Fig6_C,Series_1,MAPbI₃,1.0025759555537936,1.861560344696045,Q3,n/a
19,19,1,"(0,1)",10.1002/adfm.202000778,Fig6_D,Series_2,MAPbI₃,1.0042767577597138,65.19796752929688,Q3,n/a
20,20,0,"(0,0)",10.1002/adfm.202001418,Fig6_A,Series_1,T—ITO_PCgBM,1.001511536120638,7.393246650695801,Q3,n/a
21,21,2,"(1,0)",10.1002/adfm.202001557,Fig4_B,Series_1,perovskite,107.03017785254426,17.70624542236328,Q5,Q5
22,22,2,"(1,0)",10.1002/adfm.202004209,Fig11_C,Series_2,SnO2,19.038434204796012,24.607961654663086,Q5,Q4
23,23,0,"(0,0)",10.1002/adfm.202008052,Fig7_G,Series_1,W_o_MoOx,0.9994251330081955,5.182278156280518,Q2,n/a
24,24,0,"(0,0)",10.1002/adfm.202008052,Fig7_G,Series_2,W_MoOx,1.007825524227444,2.342575788497925,Q4,n/a
25,25,0,"(0,0)",10.1002/adfm.202101568,Fig6_F,Series_2,Without_HOCP,17.13756203656498,5.722504615783691,Q5,Q3
26,26,0,"(0,0)",10.1002/adfm.202106560,Fig4_A,Series_1,FASnl-based_perovskite_with_HTL,1.0288206313551478,5.613595008850098,Q4,n/a
27,27,0,"(0,0)",10.1002/adfm.202111116,Fig5_A,Series_1,optimized_device,104.42840519383924,0.041550397872924805,Q5,Q5
28,28,0,"(0,0)",10.1002/adfm.202204450,Fig1_E,Series_2,Control,0.988275940752718,4.047947883605957,Q1,n/a
29,29,2,"(1,0)",10.1002/adfm.202204450,Fig1_F,Series_1,Control,0.9999927697563171,15.799236297607422,Q2,n/a
30,30,0,"(0,0)",10.1002/adma.201606806,Fig5_A,Series_1,Control,0.9993588442620445,11.1602783203125,Q2,n/a
31,31,0,"(0,0)",10.1002/adma.201606806,Fig5_A,Series_2,PCBM,1.0042162176987541,8.761954307556152,Q3,n/a
32,32,0,"(0,0)",10.1002/adma.201700607,Fig2_F,Series_1,ICBA-mixture,14.335473627131176,3.8463950157165527,Q5,Q2
33,33,2,"(1,0)",10.1002/adma.201706975,Fig4_A,Series_2,TiO2,11.921132097689918,27.065080642700195,Q5,Q1
34,34,2,"(1,0)",10.1002/adma.201900605,Fig5_F,Series_2,CsPbl,1.0041416395237504,32.814796447753906,Q3,n/a
35,35,0,"(0,0)",10.1002/adma.201902902,Fig6_D,Series_1,1TSnO₂,0.9967412138319963,0.3978550434112549,Q2,n/a
36,36,0,"(0,0)",10.1002/adma.201907623,Fig4_D,Series_1,0.0%PHCI,1.002712680127152,5.734741687774658,Q3,n/a
37,37,0,"(0,0)",10.1002/adma.201907864,Fig1_F,Series_2,Reference,1.0050737635685887,4.29106330871582,Q4,n/a
38,38,0,"(0,0)",10.1002/adma.201907864,Fig1_F,Series_3,1%_H₂O,1.0005188959643325,3.635406494140625,Q2,n/a
39,39,0,"(0,0)",10.1002/admi.201900939,Fig11_D,Series_2,Standard,0.9987181876360735,10.295891761779785,Q2,n/a
40,40,0,"(0,0)",10.1002/admi.202101463,Fig7_B,Series_1,Pristine,1.0024705108445546,12.094372749328613,Q3,n/a
41,41,2,"(1,0)",10.1002/advs.201801715,Fig5_A,Series_1,Control,1.0007567476236672,33.15354537963867,Q2,n/a
42,42,0,"(0,0)",10.1002/advs.202004662,Fig5_A,Series_2,pristine_TiO₂,0.9593391794318504,0.7277429103851318,Q1,n/a
43,43,0,"(0,0)",10.1002/advs.202101418,Fig5_A,Series_1,W_o_Ti₃C2C1x,0.9995074662377987,9.900546073913574,Q2,n/a
44,44,0,"(0,0)",10.1002/aenm.201501354,Fig9_C,Series_1,Device_based_on_C-PbI₂,0.992028174722042,10.11083698272705,Q1,n/a
45,45,0,"(0,0)",10.1002/aenm.201502206,Fig7_A,Series_1,S1,16.41136507550747,6.202149391174316,Q5,Q3
46,46,0,"(0,0)",10.1002/aenm.201502206,Fig7_A,Series_2,S3,15.632553086470814,9.368890762329102,Q5,Q2
47,47,0,"(0,0)",10.1002/aenm.201602556,Fig7_A,Series_1,doped_Spiro-OMeTAD,17.796818719076256,4.994499683380127,Q5,Q3
48,48,0,"(0,0)",10.1002/aenm.201700683,Fig5_A,Series_1,Spiro-OMeTAD,1.0294159515486225,8.837646484375,Q4,n/a
49,49,2,"(1,0)",10.1002/aenm.201702934,Fig4_A,Series_2,ZnO,15.252676929767457,17.361604690551758,Q5,Q2
50,50,0,"(0,0)",10.1002/aenm.201702960,Fig5_F,Series_1,Pristine,1.0188691095295228,6.835418701171875,Q4,n/a
51,51,2,"(1,0)",10.1002/aenm.201703392,Fig6_C,Series_1,Reference,1.0318698421537067,16.650592803955078,Q4,n/a
52,52,0,"(0,0)",10.1002/aenm.201800275,Fig4_D,Series_2,Reference,19.249191051091362,0.09884238243103027,Q5,Q4
53,53,0,"(0,0)",10.1002/aenm.201800715,Fig6_D,Series_1,W_OAQ310,1.00799993860745,13.192468643188477,Q4,n/a
54,54,0,"(0,0)",10.1002/aenm.201803587,Fig5_D,Series_1,Reference,19.456472497092314,0.8845150470733643,Q5,Q4
55,55,0,"(0,0)",10.1002/aenm.201803766,Fig4_F,Series_1,Control,0.996291331517482,4.097843170166016,Q2,n/a
56,56,0,"(0,0)",10.1002/aenm.201803766,Fig4_F,Series_2,SP1,0.996291331517482,3.114098310470581,Q2,n/a
57,57,0,"(0,0)",10.1002/aenm.201803766,Fig4_F,Series_3,SP3,0.996291331517482,1.576751470565796,Q2,n/a
58,58,0,"(0,0)",10.1002/aenm.201903013,Fig5_E,Series_1,Reference,0.9996265348837228,14.531272888183594,Q2,n/a
59,59,0,"(0,0)",10.1002/aenm.201903299,Fig6_C,Series_2,0%,1.0046818776047832,13.658493995666504,Q3,n/a
60,62,0,"(0,0)",10.1002/aenm.202101416,Fig4_F,Series_1,SnO₂,0.9388144631827761,16.10357666015625,Q1,n/a
61,63,0,"(0,0)",10.1002/anie.201806392,Fig3_H,Series_2,Spiro-OMeTAD,18.73317025807237,1.632910966873169,Q5,Q3
62,64,2,"(1,0)",10.1002/anie.201806392,Fig3_H,Series_3,Py-C,9.461791222563253,33.23219299316406,Q5,Q1
63,65,2,"(1,0)",10.1002/anie.201911796,Fig4_C,Series_2,−SnO2,19.004813010001087,25.851661682128906,Q5,Q4
64,66,0,"(0,0)",10.1002/anie.202105512,Fig4_D,Series_2,Control_Device,1.0008012337175969,5.737668037414551,Q2,n/a
65,67,2,"(1,0)",10.1002/chem.201703382,Fig5_A,Series_1,PCBM+PMMA2,1.0033985824247027,18.783414840698242,Q3,n/a
66,68,2,"(1,0)",10.1002/chem.201703382,Fig5_A,Series_2,PCBM,0.9874204457709884,16.79230308532715,Q1,n/a
67,69,0,"(0,0)",10.1002/chem.201703382,Fig5_A,Series_3,PCBM+PMMA3,1.0002029550939597,12.169188499450684,Q2,n/a
68,70,0,"(0,0)",10.1002/chem.201703382,Fig5_A,Series_4,PCBM+PMMA1,0.9970073277632169,12.5230073928833,Q2,n/a
69,71,0,"(0,0)",10.1002/chem.201704181,Fig5_D,Series_1,W_O_IPA,1.0070991664846023,1.53045654296875,Q4,n/a
70,72,1,"(0,1)",10.1002/cnma.201800064,Fig6_B,Series_1,(a)MAPbl₃,0.9869849678618438,52.31623840332031,Q1,n/a
71,73,2,"(1,0)",10.1002/cssc.201600887,Fig6,Series_1,−−D-0_in_glove_box,1.0008959916064761,33.346534729003906,Q2,n/a
72,74,1,"(0,1)",10.1002/cssc.201600887,Fig6,Series_3,D-0_in_ambient_atm,0.9718513151205798,67.51232147216797,Q1,n/a
73,75,2,"(1,0)",10.1002/cssc.201600887,Fig7_D,Series_2,D-0,1.0000092906967688,33.62736129760742,Q2,n/a
74,76,2,"(1,0)",10.1002/cssc.201600887,Fig7_D,Series_3,D-5,1.0000092906967688,21.798397064208984,Q2,n/a
75,77,2,"(1,0)",10.1002/cssc.201700271,Fig5_C,Series_2,Device_without_PVP,11.612689009428994,21.887128829956055,Q5,Q1
76,78,0,"(0,0)",10.1002/cssc.201700603,Fig5_B,Series_1,5,10.943102313755794,15.317911148071289,Q5,Q1
77,79,2,"(1,0)",10.1002/cssc.201700603,Fig5_B,Series_4,0,14.59471920743543,31.322723388671875,Q5,Q2
78,80,0,"(0,0)",10.1002/cssc.201702265,Fig3_A,Series_1,MAPbI₃_+_10%_F1_0.5_mmol,1.0001121807680406,2.133190631866455,Q2,n/a
79,81,0,"(0,0)",10.1002/cssc.201702265,Fig3_A,Series_2,Reference,0.9990826800909627,8.024633407592773,Q2,n/a
80,82,2,"(1,0)",10.1002/cssc.201702265,Fig3_B,Series_1,MAPbl+10%F20.5mmol3,0.999645042563824,18.372154235839844,Q2,n/a
81,83,1,"(0,1)",10.1002/cssc.201702265,Fig3_B,Series_2,Reference,0.9982737392916043,37.963539123535156,Q2,n/a
82,84,0,"(0,0)",10.1002/cssc.201702265,Fig3_B,Series_3,MAPbl+10%F3_0.5mmol3,1.001016345836044,4.395216941833496,Q3,n/a
83,85,0,"(0,0)",10.1002/cssc.201702265,Fig3_C,Series_1,MAPbI₃_+_5%_C₆₀,0.998299457395049,8.668804168701172,Q2,n/a
84,86,0,"(0,0)",10.1002/cssc.201702265,Fig3_C,Series_2,Reference,0.9880475009894221,6.012928485870361,Q1,n/a
85,87,0,"(0,0)",10.1002/cssc.201702265,Fig3_C,Series_3,MAPbI₃_+_10%_C₆₀,1.0002216992211042,6.848102569580078,Q2,n/a
86,88,2,"(1,0)",10.1002/cssc.201902165,Fig6_B,Series_2,TiO2_NPs,0.9999974189626701,27.478652954101562,Q2,n/a
87,89,0,"(0,0)",10.1002/cssc.201903025,Fig7_A,Series_1,NiO_NCs,1.0024098859315,7.818346977233887,Q3,n/a
88,90,0,"(0,0)",10.1002/cssc.201903025,Fig7_A,Series_2,NiO_NWs,1.0045284409799013,3.362804651260376,Q3,n/a
89,91,0,"(0,0)",10.1002/cssc.201903025,Fig7_A,Series_3,NiO_NWs_DEA,1.0066469960283024,1.0455846786499023,Q4,n/a
90,92,0,"(0,0)",10.1002/cssc.202001350,Fig8_B,Series_1,spiro-OMeTAD,16.720401246291004,0.8832752704620361,Q5,Q3
91,93,3,"(1,1)",10.1002/ente.201800378,Fig9_C,Series_1,W_O_PVB,14.218752348700693,73.5526351928711,Q5,Q2
92,94,2,"(1,0)",10.1002/ente.201800378,Fig9_C,Series_2,With_PVB,19.26432575594097,38.80473327636719,Q5,Q4
93,95,2,"(1,0)",10.1002/ente.201900990,Fig6,Series_1,Standard,1.0013372577399786,25.574403762817383,Q3,n/a
94,96,0,"(0,0)",10.1002/ente.202200761,Fig5_F,Series_1,Pristine,1.0024605863343317,4.536807537078857,Q3,n/a
95,97,0,"(0,0)",10.1002/ente.202200761,Fig5_F,Series_2,→—Brij_30,1.00386062541291,2.1061837673187256,Q3,n/a
96,98,2,"(1,0)",10.1002/pc.25527,Fig9_D,Series_1,based_on_PEDOT_PSS,1.0038158305992708,22.65530776977539,Q3,n/a
97,99,0,"(0,0)",10.1002/pc.25527,Fig9_D,Series_2,based_on_Ag_CuO_Nfs_PEDOT_PSS,1.0113623067787372,9.535676002502441,Q4,n/a
98,101,0,"(0,0)",10.1002/smll.201904387,Fig5_A,Series_1,0-Control,14.309136867926934,6.302094459533691,Q5,Q2
99,102,0,"(0,0)",10.1002/smll.202004778,Fig4_A,Series_1,TiO2CL,0.9920350649521608,6.922430038452148,Q1,n/a
100,103,0,"(0,0)",10.1002/smll.202004778,Fig4_A,Series_2,TiO2_CL+Ti_100-NaPA@TiO2,1.0014065158860754,3.4205198287963867,Q3,n/a
101,104,0,"(0,0)",10.1002/smll.202005671,Fig5_E,Series_1,P-SnO₂,1.0280755210699208,0.0,Q4,n/a
102,105,0,"(0,0)",10.1002/smtd.201900449,Fig5_C,Series_1,Ag,1.0022188350104357,4.345816612243652,Q3,n/a
103,106,0,"(0,0)",10.1002/smtd.201900476,Fig5_C,Series_2,SnO₂,17.96757426796644,1.9650816917419434,Q5,Q3
104,107,2,"(1,0)",10.1002/smtd.202001090,Fig5_E,Series_2,MAPbI₃,100.7179761675955,29.388124465942383,Q5,Q5
105,108,2,"(1,0)",10.1002/solr.201700096,Fig7,Series_1,BTPA-6,14.920785690224072,24.64816665649414,Q5,Q2
106,109,0,"(0,0)",10.1002/solr.201700096,Fig7,Series_2,BTPA-5,14.137605938286207,6.002712249755859,Q5,Q2
107,110,0,"(0,0)",10.1002/solr.201700096,Fig7,Series_3,BTPA-4,13.164564428302796,11.82233715057373,Q5,Q2
108,111,2,"(1,0)",10.1002/solr.201700096,Fig7,Series_4,spiro-OMeTAD,14.303734976576056,24.088191986083984,Q5,Q2
109,112,0,"(0,0)",10.1002/solr.201700125,Fig6_A,Series_1,3D_PSCs,18.487179376127578,13.13530158996582,Q5,Q3
110,113,0,"(0,0)",10.1002/solr.201700125,Fig6_A,Series_2,MDMC_PSCs_n=30,18.216097122179004,2.8698325157165527,Q5,Q3
111,114,1,"(0,1)",10.1002/solr.201800034,Fig10_B,Series_2,TU-0,106.1501089147764,60.09556198120117,Q5,Q5
112,115,0,"(0,0)",10.1002/solr.201800066,Fig5_A,Series_1,W_O_PbAc2,17.25357266996509,5.668539047241211,Q5,Q3
113,116,0,"(0,0)",10.1002/solr.201800205,Fig3_A,Series_1,FTO_PTCA,0.9958290976769892,5.716938018798828,Q2,n/a
114,117,1,"(0,1)",10.1002/solr.201800205,Fig3_A,Series_2,FTO,0.9885700506639453,67.52149200439453,Q1,n/a
115,118,2,"(1,0)",10.1002/solr.201800216,Fig4_C,Series_1,PEAI-1,0.993105632116122,22.391658782958984,Q1,n/a
116,119,0,"(0,0)",10.1002/solr.201800216,Fig4_C,Series_2,Pristine,0.9960723148339616,7.745110988616943,Q2,n/a
117,120,0,"(0,0)",10.1002/solr.201800232,Fig4_D,Series_1,Spiro-OMeTAD_Devices,1.0016500272812938,8.914637565612793,Q3,n/a
118,121,0,"(0,0)",10.1002/solr.201800240,Fig6_E,Series_1,ZnO_based_PSCs,1.0006392339739105,8.647847175598145,Q2,n/a
119,122,0,"(0,0)",10.1002/solr.201800338,Fig2_D,Series_1,"Pristine,_1cm²_device",1.001847181199189,0.4420816898345947,Q3,n/a
120,123,0,"(0,0)",10.1002/solr.201800338,Fig2_D,Series_2,"DMSO-molecule-control,_1cm²_device",1.007244300160329,0.2144157886505127,Q4,n/a
121,124,1,"(0,1)",10.1002/solr.201800352,Fig5_A,Series_1,Spiro-OMeTAD_(doped),0.9964655548377053,39.22541809082031,Q2,n/a
122,125,2,"(1,0)",10.1002/solr.201900207,Fig4_A,Series_1,PCBM,0.9986363081478362,24.61636734008789,Q2,n/a
123,126,0,"(0,0)",10.1002/solr.201900249,Fig1_C,Series_1,o—pero-pristine,1.0018032921551823,2.275305986404419,Q3,n/a
124,127,0,"(0,0)",10.1002/solr.201900249,Fig6_E,Series_1,pero-pristine,1.051303240019158,6.2648115158081055,Q4,n/a
125,128,0,"(0,0)",10.1002/solr.201900336,Fig5_D,Series_2,o—SnO₂,1.001634128444729,11.3743896484375,Q3,n/a
126,129,0,"(0,0)",10.1002/solr.201900457,Fig5_D,Series_1,CsPb0.5Sn0.5I2Br,1.0049958027923094,8.687459945678711,Q4,n/a
127,130,0,"(0,0)",10.1002/solr.202000206,Fig7_A,Series_2,PEDOT_PSS,13.858585119494617,7.054495811462402,Q5,Q2
128,131,0,"(0,0)",10.1002/solr.202000376,Fig8_C,Series_1,MAPbI3,1.0040800467714615,0.9479224681854248,Q3,n/a
129,132,0,"(0,0)",10.1002/solr.202000376,Fig8_C,Series_2,MAPbI3with_SDBS,1.0018598573782878,1.5578806400299072,Q3,n/a
130,133,1,"(0,1)",10.1002/solr.202000490,Fig2_F,Series_1,Pristine,1.0032766466020147,63.82603454589844,Q3,n/a
131,134,2,"(1,0)",10.1002/solr.202000490,Fig2_F,Series_3,PS,1.005240846630517,24.922555923461914,Q4,n/a
132,135,0,"(0,0)",10.1002/solr.202000491,Fig7_B,Series_1,C-PSC_without_M_TLC,0.9851489443262685,4.2167067527771,Q1,n/a
133,136,0,"(0,0)",10.1002/solr.202000536,Fig5_B,Series_1,PTAA,0.9925074504374232,2.9139935970306396,Q1,n/a
134,137,0,"(0,0)",10.1002/solr.202000573,Fig4_F,Series_1,Control,1.003544047132124,12.460189819335938,Q3,n/a
135,138,0,"(0,0)",10.1002/solr.202000637,Fig5_B,Series_1,Reference_PSCs,0.9950639062877349,10.12922477722168,Q1,n/a
136,139,0,"(0,0)",10.1002/solr.202000801,Fig5_A,Series_1,PMMA_Spiro,1.0038245169229774,3.2699406147003174,Q3,n/a
137,140,2,"(1,0)",10.1002/solr.202100058,Fig6_C,Series_1,SnO₂,1.001101953611772,25.45563507080078,Q3,n/a
138,141,2,"(1,0)",10.1002/solr.202100058,Fig6_C,Series_2,SnO₂-CNS,1.0033155845673511,17.456769943237305,Q3,n/a
139,142,0,"(0,0)",10.1002/solr.202100069,Fig5_B,Series_1,o—wlo_APZ,0.9981689067822668,8.614212036132812,Q2,n/a
140,143,0,"(0,0)",10.1002/solr.202100069,Fig5_B,Series_2,with_APZ,1.005500894524924,1.9414842128753662,Q4,n/a
141,144,0,"(0,0)",10.1002/solr.202100178,Fig3_D,Series_1,Control,1.0000025208765182,14.302074432373047,Q2,n/a
142,145,0,"(0,0)",10.1002/solr.202100344,Fig5_A,Series_2,Pristine,1.0030241961105444,3.3180952072143555,Q3,n/a
143,146,0,"(0,0)",10.1002/solr.202100404,Fig7_A,Series_1,With_BMIMBF₄,1.0069129251313724,3.287827968597412,Q4,n/a
144,147,2,"(1,0)",10.1002/solr.202100404,Fig7_A,Series_2,W_O_BMIMBF₄,1.0010473786743126,17.116863250732422,Q3,n/a
145,148,0,"(0,0)",10.1002/solr.202300091,Fig4_F,Series_1,w_o,1.008624479691331,0.0,Q4,n/a
146,149,0,"(0,0)",10.1007/s10853-021-06200-w,Fig7_A,Series_1,Two-steps,0.9709901714107693,4.893827438354492,Q1,n/a
147,150,1,"(0,1)",10.1007/s10854-021-06778-6,Fig4_A,Series_1,WithoutPCBM,1.0013275150536112,48.9903678894043,Q3,n/a
148,151,0,"(0,0)",10.1007/s11426-016-0085-y,Fig5_A,Series_1,PCE,1.0014629832405688,5.4171142578125,Q3,n/a
149,152,0,"(0,0)",10.1007/s11426-016-0085-y,Fig5_A,Series_2,FF,0.9992974524723468,3.46682071685791,Q2,n/a
150,153,0,"(0,0)",10.1007/s11426-022-1403-6,Fig4_F,Series_1,Control,1.0000872434298211,0.9898066520690918,Q2,n/a
151,154,0,"(0,0)",10.1007/s11426-022-1403-6,Fig4_F,Series_2,w_IDT-C1,0.9901809578749037,0.0,Q1,n/a
152,155,0,"(0,0)",10.1007/s11431-021-1861-y,Fig5_D,Series_1,Control,1.0021985333003547,4.565095901489258,Q3,n/a
153,156,1,"(0,1)",10.1007/s11664-018-6614-x,Fig5_D,Series_3,Sample_A,0.9164656593228114,36.19359588623047,Q1,n/a
154,157,1,"(0,1)",10.1007/s11664-018-6614-x,Fig5_D,Series_4,SampleB,1.0207726927232708,37.76203918457031,Q4,n/a
155,158,0,"(0,0)",10.1007/s12274-021-3286-2,Fig5_F,Series_1,Control,1.000608362979821,6.0700836181640625,Q2,n/a
156,159,0,"(0,0)",10.1007/s13233-021-9020-9,Fig5_D,Series_1,Spiro-OMeTAD,1.0004744081130412,1.438671350479126,Q2,n/a
157,160,0,"(0,0)",10.1007/s40843-019-1186-4,Fig8_D,Series_1,Tra-FAo.gMA0.1,100.43682118309262,4.264867305755615,Q5,Q5
158,161,1,"(0,1)",10.1007/s40843-019-1287-3,Fig4_D,Series_2,w_o_KF,0.9988141849061587,63.591861724853516,Q2,n/a
159,162,2,"(1,0)",10.1016/j.apsusc.2016.06.187,Fig9,Series_1,cl-TiO2,0.9731011975791829,19.63565444946289,Q1,n/a
160,163,0,"(0,0)",10.1016/j.apsusc.2016.06.187,Fig9,Series_2,cl-SnO2(SnO,0.9728281376821459,7.888972759246826,Q1,n/a
161,164,0,"(0,0)",10.1016/j.apsusc.2017.02.057,Fig4_D,Series_1,"In-Pbl,based",10.849750887177276,37.23223114013672,Q5,Q1
162,165,3,"(1,1)",10.1016/j.apsusc.2017.02.057,Fig4_D,Series_2,"c-Pbl,based",7.3908804378684945,85.78128814697266,Q5,Q1
163,166,0,"(0,0)",10.1016/j.apsusc.2017.04.153,Fig5_D,Series_2,spiro-OMeTAD,13.682571266821792,10.736715316772461,Q5,Q2
164,167,0,"(0,0)",10.1016/j.apsusc.2019.145099,Fig6,Series_1,SnO₂,18.347820394277512,15.201318740844727,Q5,Q3
165,168,0,"(0,0)",10.1016/j.apsusc.2020.145790,Fig7_F,Series_3,Reference,1.0050256629804508,12.062751770019531,Q4,n/a
166,169,0,"(0,0)",10.1016/j.apsusc.2020.147949,Fig8_A,Series_1,Pristine,14.26930986097448,1.1201858520507812,Q5,Q2
167,170,2,"(1,0)",10.1016/j.apsusc.2021.149276,Fig5_D,Series_1,MAPbl₃,0.9825768062942841,18.570858001708984,Q1,n/a
168,171,3,"(1,1)",10.1016/j.carbon.2019.10.101,Fig4_D,Series_2,CuSCN_Au_PSC,0.9855621498977393,86.94546508789062,Q1,n/a
169,172,2,"(1,0)",10.1016/j.carbon.2020.05.079,Fig8_D,Series_1,Control,15.011696954035767,33.06382369995117,Q5,Q2
170,173,2,"(1,0)",10.1016/j.carbon.2021.05.008,Fig6_A,Series_1,PC61BM,1.002624132239326,21.8165340423584,Q3,n/a
171,174,1,"(0,1)",10.1016/j.cclet.2020.02.004,Fig4_D,Series_2,PHJ_PSCs,1.000419874493343,49.4947509765625,Q2,n/a
172,175,0,"(0,0)",10.1016/j.cej.2020.125010,Fig6_A,Series_1,Reference_PSCs,17.484839936010772,3.9439857006073,Q5,Q3
173,176,2,"(1,0)",10.1016/j.cej.2020.126435,Fig4_F,Series_1,PSC-T-SnO₂_ETL,1.0035167528082143,18.219148635864258,Q3,n/a
174,177,0,"(0,0)",10.1016/j.cej.2020.126992,Fig9,Series_1,0—0.0%v_v,1.0015291897686869,6.062251091003418,Q3,n/a
175,178,0,"(0,0)",10.1016/j.cej.2020.126992,Fig9,Series_2,0—1.0%_v_v,1.0074507433573048,2.8000056743621826,Q4,n/a
176,179,0,"(0,0)",10.1016/j.cej.2021.128436,Fig8_A,Series_1,SnO₂,1.0037891526799725,13.107109069824219,Q3,n/a
177,180,0,"(0,0)",10.1016/j.cej.2021.128436,Fig8_A,Series_2,SnO2_2D_Bi2O2Se_(20_nm),1.0037891526799725,8.623022079467773,Q3,n/a
178,181,0,"(0,0)",10.1016/j.cej.2021.128727,Fig7_F,Series_1,Pristine,1.0079394521950493,7.443314552307129,Q4,n/a
179,182,0,"(0,0)",10.1016/j.cej.2021.128727,Fig7_F,Series_2,wloHTM,1.0079394521950493,3.8538873195648193,Q4,n/a
180,183,0,"(0,0)",10.1016/j.cej.2021.128727,Fig7_F,Series_3,w_Br-GO_HTM,1.0079394521950493,1.381683349609375,Q4,n/a
181,184,2,"(1,0)",10.1016/j.cej.2021.129482,Fig5_E,Series_2,Control,0.9653809751597089,32.85110092163086,Q1,n/a
182,185,0,"(0,0)",10.1016/j.cej.2021.129482,Fig5_F,Series_1,Control,0.9995058566200254,3.746849298477173,Q2,n/a
183,186,0,"(0,0)",10.1016/j.cej.2021.129735,Fig3_D,Series_1,。—TB(Na),1.0057229882116803,4.0721235275268555,Q4,n/a
184,187,0,"(0,0)",10.1016/j.cej.2021.129735,Fig3_D,Series_2,DTB(Na),1.0057229882116803,1.3005852699279785,Q4,n/a
185,188,0,"(0,0)",10.1016/j.cej.2021.130001,Fig5_I,Series_1,withPPPDE,1.037145834367908,5.711972713470459,Q4,n/a
186,189,0,"(0,0)",10.1016/j.cej.2021.130001,Fig5_I,Series_2,wlo_PPPDE,1.0129705834185148,6.9576263427734375,Q4,n/a
187,190,0,"(0,0)",10.1016/j.cej.2021.131108,Fig11_E,Series_2,"SGT-405(3,6)",1.0017910390138856,5.477094650268555,Q3,n/a
188,191,0,"(0,0)",10.1016/j.cej.2021.131108,Fig11_E,Series_3,spiro-OMeTAD,1.0030768717449947,7.472479343414307,Q3,n/a
189,192,0,"(0,0)",10.1016/j.cej.2021.131357,Fig5_E,Series_1,NiOx,1.0026531572697235,9.517633438110352,Q3,n/a
190,193,0,"(0,0)",10.1016/j.cej.2021.131357,Fig5_F,Series_1,→NiOx,1.0053637007175724,9.2662992477417,Q4,n/a
191,194,0,"(0,0)",10.1016/j.cej.2021.131358,Fig5_A,Series_1,Control,1.0001860973223087,7.475834846496582,Q2,n/a
192,195,0,"(0,0)",10.1016/j.cej.2021.131444,Fig4_B,Series_2,DC-SnO₂_PSCs,1.0011318650981356,1.7141520977020264,Q3,n/a
193,196,0,"(0,0)",10.1016/j.ceramint.2020.07.260,Fig7_A,Series_1,Cell_B,0.982152554306522,15.844165802001953,Q1,n/a
