curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
513,500,10.1039/c8ra03162b,10.1039_c8ra03162b,x_time_day,Fig10_B_stability_performance_curve_plot,Fig10_B,Series_2,ZnO_sol-gel_TiO2,x_time_day/10.1039_c8ra03162b/Fig10_B_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__B__stability_performance_curve_plot__ZnO_sol-gel_TiO2__Series_2.csv,1.3079351371850232,26.098472595214844,Q5,n/a,pre-normalised
515,502,10.1039/c8ta00457a,10.1039_c8ta00457a,x_time_day,Fig9_H_pce,Fig9_H,Series_2,WithoutOTAB,x_time_day/10.1039_c8ta00457a/Fig9_H_pce/accepted/10.1039_c8ta00457a__Fig9__H__pce__WithoutOTAB__Series_2.csv,0.9957513151747335,25.148725509643555,Q2,n/a,pre-normalised
520,507,10.1039/c8ta12100a,10.1039_c8ta12100a,x_time_day,Fig5_C_stability_performance_curve_pce,Fig5_C,Series_2,PEDOT_PSS,x_time_day/10.1039_c8ta12100a/Fig5_C_stability_performance_curve_pce/accepted/10.1039_c8ta12100a__Fig5__C__stability_performance_curve_pce__PEDOT_PSS__Series_2.csv,0.981833060506231,32.576908111572266,Q1,n/a,pre-normalised
530,516,10.1039/c9ta01893j,10.1039_c9ta01893j,x_time_day,Fig7_E_stability_performance_curve_pce,Fig7_E,Series_1,w_o_GA,x_time_day/10.1039_c9ta01893j/Fig7_E_stability_performance_curve_pce/accepted/10.1039_c9ta01893j__Fig7__E__stability_performance_curve_pce__w_o_GA__Series_1.csv,0.9385695737573472,33.05497741699219,Q1,n/a,pre-normalised
532,518,10.1039/c9ta03022k,10.1039_c9ta03022k,x_time_day,Fig1_F_stability_performance_curve_pce,Fig1_F,Series_2,PTAA,x_time_day/10.1039_c9ta03022k/Fig1_F_stability_performance_curve_pce/accepted/10.1039_c9ta03022k__Fig1__F__stability_performance_curve_pce__PTAA__Series_2.csv,1.0092636505166008,25.99979019165039,Q4,n/a,pre-normalised
535,521,10.1039/c9ta08177a,10.1039_c9ta08177a,x_time_day,Fig6_B_stability_performance_curve,Fig6_B,Series_1,without_PEVCNT,x_time_day/10.1039_c9ta08177a/Fig6_B_stability_performance_curve/accepted/10.1039_c9ta08177a__Fig6__B__stability_performance_curve__without_PEVCNT__Series_1.csv,1.0072847720840887,17.971689224243164,Q4,n/a,pre-normalised
536,522,10.1039/c9ta08177a,10.1039_c9ta08177a,x_time_day,Fig6_B_stability_performance_curve,Fig6_B,Series_2,withPEVCNT,x_time_day/10.1039_c9ta08177a/Fig6_B_stability_performance_curve/accepted/10.1039_c9ta08177a__Fig6__B__stability_performance_curve__withPEVCNT__Series_2.csv,1.0039954051627793,24.546873092651367,Q3,n/a,pre-normalised
541,527,10.1039/c9tc03120k,10.1039_c9tc03120k,x_time_day,Fig7_D_stability_performance_curve_pce,Fig7_D,Series_1,NPB,x_time_day/10.1039_c9tc03120k/Fig7_D_stability_performance_curve_pce/accepted/10.1039_c9tc03120k__Fig7__D__stability_performance_curve_pce__NPB__Series_1.csv,0.9990344443170375,27.519208908081055,Q2,n/a,pre-normalised
563,549,10.1039/d0tc02535f,10.1039_d0tc02535f,x_time_day,Fig6_whole_stability,Fig6,Series_2,Control,x_time_day/10.1039_d0tc02535f/Fig6_whole_stability/accepted/10.1039_d0tc02535f__Fig6__whole__stability__Control__Series_2.csv,1.006389747477243,24.99178695678711,Q4,n/a,pre-normalised
564,550,10.1039/d0tc03133j,10.1039_d0tc03133j,x_time_day,Fig6_D_stability_performance_curve_pce,Fig6_D,Series_1,Without_CB,x_time_day/10.1039_d0tc03133j/Fig6_D_stability_performance_curve_pce/accepted/10.1039_d0tc03133j__Fig6__D__stability_performance_curve_pce__Without_CB__Series_1.csv,1.0020449800829057,15.964555740356445,Q3,n/a,pre-normalised
575,561,10.1039/d1ra05399j,10.1039_d1ra05399j,x_time_day,Fig5_C_stability_performance_curve_pce,Fig5_C,Series_2,Control,x_time_day/10.1039_d1ra05399j/Fig5_C_stability_performance_curve_pce/accepted/10.1039_d1ra05399j__Fig5__C__stability_performance_curve_pce__Control__Series_2.csv,1.005234610364729,17.562580108642578,Q4,n/a,pre-normalised
581,567,10.1039/d2cp02033e,10.1039_d2cp02033e,x_time_day,Fig5_A_stability_performance_curve_pce,Fig5_A,Series_2,PEDOT_PSS_PCBM,x_time_day/10.1039_d2cp02033e/Fig5_A_stability_performance_curve_pce/accepted/10.1039_d2cp02033e__Fig5__A__stability_performance_curve_pce__PEDOT_PSS_PCBM__Series_2.csv,1.0026317440109853,17.803787231445312,Q3,n/a,pre-normalised
582,568,10.1039/d2ra03411e,10.1039_d2ra03411e,x_time_day,Fig8_F_stability_performance_curve_pce,Fig8_F,Series_1,NiOx,x_time_day/10.1039_d2ra03411e/Fig8_F_stability_performance_curve_pce/accepted/10.1039_d2ra03411e__Fig8__F__stability_performance_curve_pce__NiOx__Series_1.csv,0.9785965678130429,23.73538589477539,Q1,n/a,pre-normalised
588,571,10.1039/d3ta01935g,10.1039_d3ta01935g,x_time_day,Fig5_E_stability_performance_curve_pce,Fig5_E,Series_1,Pure_iso-BA,x_time_day/10.1039_d3ta01935g/Fig5_E_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_iso-BA__Series_1.csv,1.001838340541796,24.40776824951172,Q3,n/a,pre-normalised
589,572,10.1039/d3ta01935g,10.1039_d3ta01935g,x_time_day,Fig5_E_stability_performance_curve_pce,Fig5_E,Series_3,Pure_F-PEA,x_time_day/10.1039_d3ta01935g/Fig5_E_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_F-PEA__Series_3.csv,1.001838340541796,21.201461791992188,Q3,n/a,pre-normalised
592,575,10.1039/d4sc02020k,10.1039_d4sc02020k,x_time_day,Fig4_A_stability_performance_curve_image,Fig4_A,Series_1,PTAA_Li-TFSI,x_time_day/10.1039_d4sc02020k/Fig4_A_stability_performance_curve_image/accepted/10.1039_d4sc02020k__Fig4__A__stability_performance_curve_image__PTAA_Li-TFSI__Series_1.csv,1.0001006956233862,19.338834762573242,Q2,n/a,pre-normalised
594,577,10.1039/d5sc04440e,10.1039_d5sc04440e,x_time_day,Fig4_A_stability_performance_curve_pce,Fig4_A,Series_1,PTAA_Li-TFSI,x_time_day/10.1039_d5sc04440e/Fig4_A_stability_performance_curve_pce/accepted/10.1039_d5sc04440e__Fig4__A__stability_performance_curve_pce__PTAA_Li-TFSI__Series_1.csv,1.0003719742145072,24.694257736206055,Q2,n/a,pre-normalised
605,588,10.1142/s0218625x18501378,10.1142_s0218625x18501378,x_time_day,Fig9_whole_pce,Fig9,Series_1,x=0,x_time_day/10.1142_s0218625x18501378/Fig9_whole_pce/accepted/10.1142_s0218625x18501378__Fig9__whole__pce__x=0__Series_1.csv,1.0011035742258592,19.92350196838379,Q3,n/a,pre-normalised
