curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
19,19,10.1002/adfm.202000778,10.1002_adfm.202000778,x_time_day,Fig6_D_stability_performance_curve_pce,Fig6_D,Series_2,MAPbI₃,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,1.0042767577597138,65.19796752929688,Q3,n/a,pre-normalised
72,70,10.1002/cnma.201800064,10.1002_cnma.201800064,x_time_day,Fig6_B_stability_performance_curve,Fig6_B,Series_1,(a)MAPbl₃,x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,0.9869849678618438,52.31623840332031,Q1,n/a,pre-normalised
74,72,10.1002/cssc.201600887,10.1002_cssc.201600887,x_time_day,Fig6_whole_stability,Fig6,Series_3,D-0_in_ambient_atm,x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,0.9718513151205798,67.51232147216797,Q1,n/a,pre-normalised
83,81,10.1002/cssc.201702265,10.1002_cssc.201702265,x_time_day,Fig3_B_pce,Fig3_B,Series_2,Reference,x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__Reference__Series_2.csv,0.9982737392916043,37.963539123535156,Q2,n/a,pre-normalised
114,111,10.1002/solr.201800034,10.1002_solr.201800034,x_time_day,Fig10_B_stability_performance_curve_pce,Fig10_B,Series_2,TU-0,x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,106.1501089147764,60.09556198120117,Q5,Q5,absolute
117,114,10.1002/solr.201800205,10.1002_solr.201800205,x_time_day,Fig3_A_stability_performance_curve_pce,Fig3_A,Series_2,FTO,x_time_day/10.1002_solr.201800205/Fig3_A_stability_performance_curve_pce/accepted/10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2.csv,0.9885700506639453,67.52149200439453,Q1,n/a,pre-normalised
124,121,10.1002/solr.201800352,10.1002_solr.201800352,x_time_day,Fig5_A_stability_performance_curve_pce,Fig5_A,Series_1,Spiro-OMeTAD_(doped),x_time_day/10.1002_solr.201800352/Fig5_A_stability_performance_curve_pce/accepted/10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1.csv,0.9964655548377053,39.22541809082031,Q2,n/a,pre-normalised
133,130,10.1002/solr.202000490,10.1002_solr.202000490,x_time_day,Fig2_F_stability_performance_curve_pce,Fig2_F,Series_1,Pristine,x_time_day/10.1002_solr.202000490/Fig2_F_stability_performance_curve_pce/accepted/10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1.csv,1.0032766466020147,63.82603454589844,Q3,n/a,pre-normalised
150,147,10.1007/s10854-021-06778-6,10.1007_s10854-021-06778-6,x_time_day,Fig4_A_stability_performance_curve_pce,Fig4_A,Series_1,WithoutPCBM,x_time_day/10.1007_s10854-021-06778-6/Fig4_A_stability_performance_curve_pce/accepted/10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1.csv,1.0013275150536112,48.9903678894043,Q3,n/a,pre-normalised
156,153,10.1007/s11664-018-6614-x,10.1007_s11664-018-6614-x,x_time_day,Fig5_D_stability_performance_curve_pce,Fig5_D,Series_3,Sample_A,x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3.csv,0.9164656593228114,36.19359588623047,Q1,n/a,pre-normalised
157,154,10.1007/s11664-018-6614-x,10.1007_s11664-018-6614-x,x_time_day,Fig5_D_stability_performance_curve_pce,Fig5_D,Series_4,SampleB,x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4.csv,1.0207726927232708,37.76203918457031,Q4,n/a,pre-normalised
161,158,10.1007/s40843-019-1287-3,10.1007_s40843-019-1287-3,x_time_day,Fig4_D_stability_performance_curve_pce,Fig4_D,Series_2,w_o_KF,x_time_day/10.1007_s40843-019-1287-3/Fig4_D_stability_performance_curve_pce/accepted/10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2.csv,0.9988141849061587,63.591861724853516,Q2,n/a,pre-normalised
174,171,10.1016/j.cclet.2020.02.004,10.1016_j.cclet.2020.02.004,x_time_day,Fig4_D_charge_density,Fig4_D,Series_2,PHJ_PSCs,x_time_day/10.1016_j.cclet.2020.02.004/Fig4_D_charge_density/accepted/10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2.csv,1.000419874493343,49.4947509765625,Q2,n/a,pre-normalised
