cluster_id,n_curves,fraction,pce_0h_mean,pce_20h_mean,pce_50h_mean,pce_100h_mean,pce_200h_mean,initial_gain_mean,peak_time_h_median,recovery_mean,dominant_rule_shape,dominant_rule_shape_fraction,mean_bmu_distance,median_bmu_distance
0,330,0.23060796645702306,0.9961365927310967,0.985891930102172,0.9682125967531823,0.9381153598531835,0.8774543669734745,0.0038626485971936823,0.0,0.0017589080763819093,moderate_decay,0.5696969696969697,0.1519538787512462,0.13975776923000913
1,149,0.10412299091544375,0.9971481691439931,0.9625220896397402,0.9080255685844834,0.8247431393681804,0.6813776923880228,0.0028495831704385697,0.0,0.000993103593068766,rapid_decay,0.4563758389261745,0.25807296881148173,0.2447211872503855
2,84,0.05870020964360587,0.9972548658811066,0.9446508958077889,0.8560416264321861,0.7271349574560707,0.5242224865711406,0.0027421650338521446,0.0,0.00042696821788426066,rapid_decay,0.6785714285714286,0.3889616308290915,0.37492598792709264
3,23,0.01607267645003494,1.0,0.7974221320848105,0.6951181749046322,0.6397158165782867,0.5347838511645516,0.0,0.0,0.0087836025302625,early_drop,0.9565217391304348,0.48095858364974686,0.467455274768848
4,42,0.029350104821802937,0.9981735732573837,0.9464707849925215,0.8507999666402528,0.6504086660874757,0.2847384670680219,0.0018243838863775939,0.0,0.0,rapid_decay,0.5952380952380952,0.47217007310778397,0.42074407501398225
5,480,0.33542976939203356,0.9881192905450841,0.9902747525482629,0.9890460553818023,0.980776219590566,0.9521705054080823,0.011879559868850458,0.0,0.008805106936280904,stable,0.75625,0.1449728424763267,0.11813736351148726
6,227,0.1586303284416492,0.9952391945549934,0.9767252906176837,0.9460975955336657,0.8903211126555738,0.7806290837503554,0.004759383018482894,0.0,0.0010408205491219413,moderate_decay,0.8105726872246696,0.20837563936801223,0.18395454364518973
7,42,0.029350104821802937,0.9896903479490159,0.8936332465877685,0.8272798399040411,0.786550250649574,0.7377939276516707,0.010309607956761028,0.0,0.012077976329386357,early_drop,0.8095238095238095,0.37341010978630973,0.32237795603469216
8,19,0.013277428371767994,1.0,0.7045641668141428,0.5046169992066007,0.30445937570487286,0.20789750024060066,0.0,0.0,0.0532561642478229,early_drop,0.8421052631578947,0.9625053741702304,0.7181544854073486
9,35,0.02445842068483578,1.0,0.849108955561871,0.6754162630655266,0.5041889660220166,0.29193496885849624,0.0,0.0,0.000191003683208205,early_drop,1.0,0.5344012647129996,0.511695144234053
