time_hours,node_0_member_mean,node_0_som_weight,node_1_member_mean,node_1_som_weight,node_2_member_mean,node_2_som_weight,node_3_member_mean,node_3_som_weight,node_4_member_mean,node_4_som_weight,node_5_member_mean,node_5_som_weight
0.16666666666666666,0.9457683952979816,0.9459176397211172,0.9567836311629663,0.9578236533505232,0.997279035723526,0.9973700951602572,0.9987914630164302,0.9989280118418266,1.000232723837007,1.0002396760031707,0.9994114660746359,0.9994809078372091
0.3333333333333333,0.9456161948752725,0.9457672102501269,0.9569418750491294,0.9579708431748108,0.997280316123632,0.9973715023863952,0.9986586608051795,0.9988037379848878,0.999573175035867,0.9995835073707969,0.9987082582137825,0.9987691645169252
0.5,0.9454660871878304,0.9456188471684015,0.9570999652361062,0.9581179302722007,0.9972815211834739,0.997372830631357,0.9985250120681272,0.9986784199963696,0.9989154189081648,0.998928871201636,0.9980041546000061,0.9980565210515887
0.6666666666666666,0.9453180722356554,0.9454725504759419,0.9572579017238964,0.9582649146426929,0.9972826509030519,0.9973740798951433,0.9983905168052725,0.9985520578762723,0.9982594554539016,0.998275767495688,0.997299155233307,0.997342977441199
0.8333333333333334,0.9451721500187474,0.9453283201727468,0.9574156845124996,0.9584117962862876,0.9972837052823664,0.997375250177753,0.9982551750166162,0.9984246516245958,0.9976052846730759,0.9976241962529528,0.9965932601136851,0.9966285336857564
1.0,0.9450283205371065,0.9451861562588171,0.9575733136019166,0.9585585752029845,0.9972846843214158,0.9973763414791871,0.9981189867021577,0.9982962012413398,0.9969529065656885,0.9969741574734299,0.9958864692411404,0.995913189785261
1.1666666666666667,0.9448865837907329,0.9450460587341526,0.9577307889921466,0.9587052513927835,0.9972855880202017,0.997377353799445,0.9979819518618974,0.9981667067265044,0.9963023211317391,0.9963256511571201,0.9951787826156727,0.995196945739713
1.3333333333333333,0.9447469397796261,0.944908027598753,0.95788811068319,0.9588518248556848,0.9972864163787238,0.9973782871385268,0.9978440704958345,0.9980361680800899,0.9956535283712278,0.9956786773040227,0.9944702002372824,0.9944798015491118
1.5,0.9446093885037866,0.9447720628526188,0.9580452786750466,0.9589982955916888,0.997287169396982,0.9973791414964326,0.99770534260397,0.9979045853020959,0.9950065282841554,0.9950332359141384,0.9937607221059691,0.9937617572134577
1.6666666666666667,0.9444739299632139,0.94463816449575,0.9582022929677165,0.9591446636007946,0.9972878470749761,0.9973799168731624,0.9975657681863034,0.9977719583925228,0.9943613208705202,0.9943893269874665,0.9930503482217332,0.9930428127327509
1.8333333333333333,0.9443405641579085,0.9445063325281455,0.9583591535611999,0.9592909288830029,0.997288449412706,0.9973806132687162,0.9974253472428348,0.99763828735137,0.9937179061303234,0.9937469505240074,0.9923390785845743,0.9923229681069913
2.0,0.94420929108787,0.9443765669498069,0.9585158604554966,0.9594370914383135,0.9972889764101714,0.997381230683094,0.9972840797735643,0.9975035721786383,0.9930762840635652,0.9931061065237613,0.9916269131944927,0.9916022233361785
