k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
11,0.8,101,0.028349885917138433,11,-0.09840736389861575,dtw_0,0.12751150096837816,-0.08701286643464974
12,0.8,11,0.030760124455014255,12,-0.13204890311241949,dtw_0,0.1263315085543829,-0.11941109195118793
12,0.8,29,0.02826010148686939,12,-0.11620920714256669,dtw_0,0.12217280039106908,-0.10261656272751479
12,0.8,47,0.028720845174597612,12,-0.11445299249152717,dtw_0,0.1236507357529825,-0.1432076344197447
12,0.8,71,0.028183974532136166,12,-0.09514336814762507,dtw_0,0.12097493498522333,-0.0967241259537917
12,0.8,101,0.034677830362758275,12,-0.14790714403229305,dtw_0,0.12467843474116036,-0.11451258461257958
13,0.8,11,0.027820213488852826,13,-0.07687306046837852,dtw_0,0.11694582159975848,-0.08015810252669882
13,0.8,29,0.02816530973419198,13,-0.10760825188173893,dtw_0,0.12108250075456531,-0.12323194824894519
13,0.8,47,0.027550698000993332,13,-0.06561193567494018,dtw_0,0.1236731652732174,-0.07109675003830639
13,0.8,71,0.027476445538582864,13,-0.09010743276674513,dtw_0,0.12404584159803593,-0.09819887948863032
13,0.8,101,0.026793187589115943,13,-0.13790092028195447,dtw_0,0.11650954003634505,-0.09532691155134809
14,0.8,11,0.02790523886194041,14,-0.09921114470741309,dtw_0,0.11788250000034338,-0.12335534397259225
14,0.8,29,0.027985644717872415,14,-0.10438059886617228,dtw_0,0.12036626646024481,-0.13862043347184044
14,0.8,47,0.02880626103251193,14,-0.12353440712672363,dtw_0,0.1188580062289908,-0.11207364664796428
14,0.8,71,0.03413062011298233,14,-0.13831627020273604,dtw_0,0.12374676832350213,-0.14745701278755702
14,0.8,101,0.02869409419809096,14,-0.14477245374729816,dtw_0,0.12497147488583281,-0.13624260876436434
15,0.8,11,0.0287705289121889,15,-0.1361684311641784,dtw_0,0.12002022438197722,-0.15575722806767964
15,0.8,29,0.02905123610309117,15,-0.11721483077277321,dtw_0,0.11798192768176456,-0.14360800679219682
15,0.8,47,0.028701709481915454,15,-0.1334734050434384,dtw_0,0.1208923417560387,-0.12225668544103337
15,0.8,71,0.02870816378339602,15,-0.13450901144521207,dtw_0,0.11592579037110667,-0.12978425347165834
15,0.8,101,0.02749097760900029,15,-0.12910752396573838,dtw_0,0.11590653083801467,-0.11184283452507969
16,0.8,11,0.027865308275863046,16,-0.1255281311323667,dtw_0,0.11673071973961874,-0.12019954912174194
16,0.8,29,0.028663856571435293,16,-0.14744577686175556,dtw_0,0.11826442171554595,-0.1730970283501978
16,0.8,47,0.028065843694719744,16,-0.11577345274344167,dtw_0,0.11671666512248803,-0.1200864539254533
16,0.8,71,0.02788921383290466,16,-0.11327364289393088,dtw_0,0.11977092084470373,-0.10060193545698719
16,0.8,101,0.027785472376372036,16,-0.12172240705379234,dtw_0,0.11661557759290288,-0.13600653971496166
1,0.3,11,0.08808180464140179,1,,dtw_0.25,0.1945852055076173,
1,0.3,29,0.08808180464140179,1,,dtw_0.25,0.1945852055076173,
1,0.3,47,0.08808180464140179,1,,dtw_0.25,0.1945852055076173,
1,0.3,71,0.08808180464140179,1,,dtw_0.25,0.1945852055076173,
1,0.3,101,0.08808180464140179,1,,dtw_0.25,0.1945852055076173,
2,0.3,11,0.07000459009988463,2,0.577703108229036,dtw_0.25,0.1633285449170549,0.4565558949881626
2,0.3,29,0.07000459009988463,2,0.577703108229036,dtw_0.25,0.1633285449170549,0.4565558949881626
2,0.3,47,0.07000459009988463,2,0.577703108229036,dtw_0.25,0.1633285449170549,0.4565558949881626
2,0.3,71,0.07000459009988463,2,0.577703108229036,dtw_0.25,0.1633285449170549,0.4565558949881626
2,0.3,101,0.07005279145839037,2,0.6151055415615138,dtw_0.25,0.16730349716876286,0.4657165877704141
3,0.3,11,0.05909642632854246,3,0.31719863232448675,dtw_0.25,0.12977897555306564,0.3500022821840622
3,0.3,29,0.06564276124430149,3,0.4211596617637409,dtw_0.25,0.15767908994024452,0.33650974859572186
3,0.3,47,0.06036949068136143,3,0.30954616292690323,dtw_0.25,0.13247688002359986,0.3344744743668446
3,0.3,71,0.05931800497610304,3,0.31073456898377183,dtw_0.25,0.12955842186804786,0.34731377950777187
3,0.3,101,0.06036949068136143,3,0.30954616292690323,dtw_0.25,0.13247688002359986,0.3344744743668446
4,0.3,11,0.053046074377091225,4,0.2650711141500302,dtw_0.25,0.11246563052043282,0.2895122759741382
4,0.3,29,0.056548496808587465,4,0.31130592131298146,dtw_0.25,0.12660707586612524,0.3081385435856992
4,0.3,47,0.053145064118734,4,0.26534655624371156,dtw_0.25,0.11218339435416039,0.29050446848845124
4,0.3,71,0.05411052104838697,4,0.2453098079195014,dtw_0.25,0.11447804542978485,0.26238335448607486
4,0.3,101,0.057123981265739594,4,0.31918249886744127,dtw_0.25,0.12745117642712922,0.3224999901272228
5,0.3,11,0.05126051177268446,5,0.19979615936269313,dtw_0.25,0.10571063827145177,0.21696423934927367
5,0.3,29,0.05103480265513655,5,0.26675455206126253,dtw_0.25,0.10961638758088724,0.27572606327907945
5,0.3,47,0.05114453021541898,5,0.2709092520691355,dtw_0.25,0.10907531255114256,0.2961249920234466
