window_hours,n_curves,n_time_points,requested_clusters,occupied_clusters,grid_x,grid_y,sigma,learning_rate,iterations,seed,quantization_error,topographic_error,cluster_sizes,elapsed_seconds,selection_note
150,103,900,2,2,1,2,0.5,0.3,50000,42,0.914480593755586,0.0,"[26, 77]",0.6220507621765137,IFO morphology not used in fitting or selection
150,103,900,3,3,1,3,0.5,0.3,50000,42,0.7713449854422578,0.0,"[23, 18, 62]",0.8410229682922363,IFO morphology not used in fitting or selection
150,103,900,4,4,2,2,0.5,0.3,50000,42,0.5409688351250773,0.0,"[22, 4, 49, 28]",0.8558180332183838,IFO morphology not used in fitting or selection
150,103,900,5,5,1,5,0.5,0.3,50000,42,0.49702243389438766,0.14563106796116504,"[8, 21, 4, 24, 46]",0.8871500492095947,IFO morphology not used in fitting or selection
150,103,900,6,6,2,3,0.5,0.3,50000,42,0.4623376311948406,0.0,"[21, 19, 38, 4, 6, 15]",0.9358980655670166,IFO morphology not used in fitting or selection
150,103,900,7,7,1,7,0.5,0.3,50000,42,0.4164424461610151,0.0,"[44, 20, 12, 6, 12, 5, 4]",0.9897720813751221,IFO morphology not used in fitting or selection
150,103,900,8,8,2,4,0.5,0.3,50000,42,0.38325814221601395,0.0,"[34, 17, 6, 12, 15, 10, 4, 5]",1.1449811458587646,IFO morphology not used in fitting or selection
150,103,900,9,9,3,3,0.5,0.3,50000,42,0.36895016384691304,0.27184466019417475,"[34, 13, 2, 15, 4, 5, 10, 16, 4]",1.2324790954589844,IFO morphology not used in fitting or selection
150,103,900,10,10,2,5,0.5,0.3,50000,42,0.33868715133220234,0.0,"[5, 14, 6, 4, 4, 30, 13, 10, 11, 6]",1.1233842372894287,IFO morphology not used in fitting or selection
300,94,1800,2,2,1,2,0.5,0.3,50000,42,1.5860209254989988,0.0,"[75, 19]",0.7648720741271973,IFO morphology not used in fitting or selection
300,94,1800,3,3,1,3,0.5,0.3,50000,42,1.0660697703241322,0.0,"[52, 24, 18]",0.9118931293487549,IFO morphology not used in fitting or selection
300,94,1800,4,4,2,2,0.5,0.3,50000,42,0.9194412249264757,0.0,"[16, 2, 52, 24]",1.1410589218139648,IFO morphology not used in fitting or selection
300,94,1800,5,5,1,5,0.5,0.3,50000,42,0.843702837016988,0.19148936170212766,"[2, 16, 9, 47, 20]",1.2470688819885254,IFO morphology not used in fitting or selection
300,94,1800,6,6,2,3,0.5,0.3,50000,42,0.7473880824736696,0.0,"[19, 9, 2, 33, 15, 16]",1.3441112041473389,IFO morphology not used in fitting or selection
300,94,1800,7,7,1,7,0.5,0.3,50000,42,0.6975514648980408,0.14893617021276595,"[19, 33, 15, 8, 2, 10, 7]",1.4626340866088867,IFO morphology not used in fitting or selection
300,94,1800,8,8,2,4,0.5,0.3,50000,42,0.659300195377614,0.010638297872340425,"[33, 13, 4, 7, 19, 6, 2, 10]",1.6841850280761719,IFO morphology not used in fitting or selection
300,94,1800,9,9,3,3,0.5,0.3,50000,42,0.6276651217610598,0.05319148936170213,"[32, 18, 5, 9, 10, 2, 5, 11, 2]",1.621286153793335,IFO morphology not used in fitting or selection
300,94,1800,10,10,2,5,0.5,0.3,50000,42,0.5869642667601128,0.031914893617021274,"[16, 12, 4, 2, 5, 32, 10, 2, 6, 5]",1.7831981182098389,IFO morphology not used in fitting or selection
500,86,3000,2,2,1,2,0.5,0.3,50000,42,2.1599137606974423,0.0,"[24, 62]",1.0377540588378906,IFO morphology not used in fitting or selection
500,86,3000,3,3,1,3,0.5,0.3,50000,42,1.6894674922709838,0.0,"[14, 15, 57]",1.2281951904296875,IFO morphology not used in fitting or selection
500,86,3000,4,4,2,2,0.5,0.3,50000,42,1.3899371644388472,0.0,"[42, 13, 19, 12]",1.4172139167785645,IFO morphology not used in fitting or selection
500,86,3000,5,5,1,5,0.5,0.3,50000,42,1.206521640611637,0.12790697674418605,"[41, 19, 10, 4, 12]",1.6876070499420166,IFO morphology not used in fitting or selection
500,86,3000,6,6,2,3,0.5,0.3,50000,42,1.2205929807234503,0.0,"[12, 6, 26, 11, 14, 17]",1.8470542430877686,IFO morphology not used in fitting or selection
500,86,3000,7,7,1,7,0.5,0.3,50000,42,1.029821359694502,0.37209302325581395,"[8, 15, 26, 12, 9, 12, 4]",1.9955220222473145,IFO morphology not used in fitting or selection
500,86,3000,8,8,2,4,0.5,0.3,50000,42,0.9826511540261098,0.16279069767441862,"[2, 12, 8, 3, 12, 15, 26, 8]",2.2670750617980957,IFO morphology not used in fitting or selection
500,86,3000,9,9,3,3,0.5,0.3,50000,42,0.9138892978206361,0.19767441860465115,"[15, 26, 7, 9, 6, 7, 2, 5, 9]",2.31295108795166,IFO morphology not used in fitting or selection
500,86,3000,10,10,2,5,0.5,0.3,50000,42,0.8969985979262107,0.27906976744186046,"[3, 5, 7, 8, 8, 10, 3, 11, 22, 9]",2.6286962032318115,IFO morphology not used in fitting or selection
