curve_id,included,exclusion_reason,source_file,relative_source,validation_file,doi,record_id,legend,x_axis_name,x_axis_unit,y_axis_name,y_axis_unit,time_factor_to_hours,time_factor_source,n_original_points,duration_hours,raw_min,raw_max,normalizer,smoothing_applied,cluster,bmu_distance,assignment_margin,uncertain_bottom_10pct_margin
C545e0110ca,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.xcrp.2021.100395/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.xcrp.2021.100395__Fig6__D__stability_performance_curve_pce__RH_0%__Series_2.csv,x_time_h/10.1016_j.xcrp.2021.100395/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.xcrp.2021.100395__Fig6__D__stability_performance_curve_pce__RH_0%__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.xcrp.2021.100395/Fig6_D_stability_performance_curve_pce/validation_result.json,10.1016/j.xcrp.2021.100395,10.1016_j.xcrp.2021.100395__Fig6__D__stability_performance_curve_pce,RH 0%,Time,(hour),Norm. PCE,(a.u.),1.0,axis_metadata:hour,35,895.292783539485,0.1524196397408677,0.899617357420057,0.899617357420057,False,2,2.032535172615195,0.7071033635921002,False
C85de47e57e,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.2c00923/Fig4_E_stability_performance_curve/accepted/10.1021_acsaem.2c00923__Fig4__E__stability_performance_curve__Control__Series_1.csv,x_time_h/10.1021_acsaem.2c00923/Fig4_E_stability_performance_curve/accepted/10.1021_acsaem.2c00923__Fig4__E__stability_performance_curve__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.2c00923/Fig4_E_stability_performance_curve/validation_result.json,10.1021/acsaem.2c00923,10.1021_acsaem.2c00923__Fig4__E__stability_performance_curve,Control,Time (h),h,Normalized PCE,,1.0,axis_metadata:hour,77,504.016511979941,0.1968953637088994,0.7289384665217327,0.7289384665217327,False,2,2.0093134538468647,0.440037802529279,False
C89746262bd,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.9b00603/Fig5_A_stability_performance_curve_pce_2/accepted/10.1021_acsaem.9b00603__Fig5__A__stability_performance_curve_pce_2__Spiro-OMeTAD__Series_2.csv,x_time_h/10.1021_acsaem.9b00603/Fig5_A_stability_performance_curve_pce_2/accepted/10.1021_acsaem.9b00603__Fig5__A__stability_performance_curve_pce_2__Spiro-OMeTAD__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.9b00603/Fig5_A_stability_performance_curve_pce_2/validation_result.json,10.1021/acsaem.9b00603,10.1021_acsaem.9b00603__Fig5__A__stability_performance_curve_pce_2,Spiro-OMeTAD,Time,(h),Normalized PCE,(%),1.0,axis_metadata:hour,42,991.4961389647474,7.604631456485677,98.82785763120523,98.82785763120523,False,2,2.025563154452288,0.7147687604602234,False
C7d5b3f379c,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c06823/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c06823__Fig4__A__stability_performance_curve_pce__Control__Series_3.csv,x_time_h/10.1021_acsami.0c06823/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c06823__Fig4__A__stability_performance_curve_pce__Control__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c06823/Fig4_A_stability_performance_curve_pce/validation_result.json,10.1021/acsami.0c06823,10.1021_acsami.0c06823__Fig4__A__stability_performance_curve_pce,Control,Time,(h),Normalized PCE,,1.0,axis_metadata:hour,65,936.2701574288126,0.0108660557635351,0.9441503180241864,0.9441503180241864,False,2,2.646706408953966,0.6647997422108464,False
Ca23989e384,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c06823/Fig4_B_stability_performance_curve_pce/accepted/10.1021_acsami.0c06823__Fig4__B__stability_performance_curve_pce__Control__Series_2.csv,x_time_h/10.1021_acsami.0c06823/Fig4_B_stability_performance_curve_pce/accepted/10.1021_acsami.0c06823__Fig4__B__stability_performance_curve_pce__Control__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c06823/Fig4_B_stability_performance_curve_pce/validation_result.json,10.1021/acsami.0c06823,10.1021_acsami.0c06823__Fig4__B__stability_performance_curve_pce,Control,Time (h),(h),Normalized PCE,,1.0,axis_metadata:hour,40,570.7489076638207,0.0143833358713563,0.975552144572732,0.975552144572732,False,2,4.035356682123605,0.5509310139413132,False
C19f8469215,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c13116/Fig5_A_stability_performance_curve_pce_decay/accepted/10.1021_acsami.0c13116__Fig5__A__stability_performance_curve_pce_decay__reference__Series_3.csv,x_time_h/10.1021_acsami.0c13116/Fig5_A_stability_performance_curve_pce_decay/accepted/10.1021_acsami.0c13116__Fig5__A__stability_performance_curve_pce_decay__reference__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c13116/Fig5_A_stability_performance_curve_pce_decay/validation_result.json,10.1021/acsami.0c13116,10.1021_acsami.0c13116__Fig5__A__stability_performance_curve_pce_decay,reference,Time,(h),Normalized PCE,,1.0,axis_metadata:hour,67,502.30035785321064,0.1203237391606595,1.016523924416717,1.016523924416717,False,2,2.461512214972219,0.48488187823818507,False
C1f90a83fbf,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.6b03724/Fig5_D_chart/accepted/10.1021_acsami.6b03724__Fig5__D__chart__wlo__Series_2.csv,x_time_h/10.1021_acsami.6b03724/Fig5_D_chart/accepted/10.1021_acsami.6b03724__Fig5__D__chart__wlo__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.6b03724/Fig5_D_chart/validation_result.json,10.1021/acsami.6b03724,10.1021_acsami.6b03724__Fig5__D__chart,wlo,Time,(h),Normalized PCE,,1.0,axis_metadata:hour,62,652.0301364539539,0.2835049075835197,0.9492101488864684,0.9492101488864684,False,2,1.3230649211281529,0.6862097512890813,False
C673205d0fa,True,,"/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&PCBM__Series_1.csv","x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&PCBM__Series_1.csv",/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/validation_result.json,10.1021/acsami.8b02035,10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce,"NiO,&PCBM",Time,(hour),Normalized PCE,,1.0,axis_metadata:hour,79,622.4379636433041,0.3107915582415542,1.0175925998314097,1.0175925998314097,False,2,2.2372218223361893,0.3743647499161372,False
Cc1718fee99,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsenergylett.1c01817/Fig5_D_stability_performance_curve/accepted/10.1021_acsenergylett.1c01817__Fig5__D__stability_performance_curve__Ref__Series_2.csv,x_time_h/10.1021_acsenergylett.1c01817/Fig5_D_stability_performance_curve/accepted/10.1021_acsenergylett.1c01817__Fig5__D__stability_performance_curve__Ref__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsenergylett.1c01817/Fig5_D_stability_performance_curve/validation_result.json,10.1021/acsenergylett.1c01817,10.1021_acsenergylett.1c01817__Fig5__D__stability_performance_curve,Ref,Time,h,Normalized PCE,%,1.0,axis_metadata:hour,44,582.3107911280256,0.3283981426572353,96.53178681022123,96.53178681022123,False,2,5.189458463643771,0.495858410272936,False
Cbf6e942b02,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsmaterialslett.0c00134/Fig7_whole_mppt/accepted/10.1021_acsmaterialslett.0c00134__Fig7__whole__mppt__spiro-OMeTAD__Series_1.csv,x_time_h/10.1021_acsmaterialslett.0c00134/Fig7_whole_mppt/accepted/10.1021_acsmaterialslett.0c00134__Fig7__whole__mppt__spiro-OMeTAD__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsmaterialslett.0c00134/Fig7_whole_mppt/validation_result.json,10.1021/acsmaterialslett.0c00134,10.1021_acsmaterialslett.0c00134__Fig7__whole__mppt,spiro-OMeTAD,Time,[h],Normalized PCE,,1.0,axis_metadata:hour,71,502.31531405055665,0.3555988476774803,0.9677978243082836,0.9677978243082836,False,2,1.9186333466502006,0.6300203159606664,False
Cf4149fc95b,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/accepted/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_spiro-MeOTAD__Series_3.csv,x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/accepted/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_spiro-MeOTAD__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/validation_result.json,10.1021/jacs.6b10227,10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter,MAPbI₃/spiro-MeOTAD,Time (hours),hours,Normalized PCE (a.u.),a.u.,1.0,axis_metadata:hour,12,2014.4564273267374,0.0971937011135497,0.9986394735974056,0.9986394735974056,False,2,3.3930868845177202,0.049795576394706415,True
C46f61965d3,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c5nr05271h/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c5nr05271h__Fig7__A__stability_performance_curve_pce__GO_PEDOT__Series_1.csv,x_time_h/10.1039_c5nr05271h/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c5nr05271h__Fig7__A__stability_performance_curve_pce__GO_PEDOT__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c5nr05271h/Fig7_A_stability_performance_curve_pce/validation_result.json,10.1039/c5nr05271h,10.1039_c5nr05271h__Fig7__A__stability_performance_curve_pce,GO/PEDOT,Time (h),(h),Normalized PCE (%),(%),1.0,axis_metadata:hour,88,520.3633070984696,0.1742569067554664,1.0591270391449958,1.0591270391449958,False,2,3.5118578241567473,0.13672289456364914,True
Cddccde607a,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c7ta09946k/Fig5_A_stability_performance_curve/accepted/10.1039_c7ta09946k__Fig5__A__stability_performance_curve__Spiro-OMeTAD__Series_2.csv,x_time_h/10.1039_c7ta09946k/Fig5_A_stability_performance_curve/accepted/10.1039_c7ta09946k__Fig5__A__stability_performance_curve__Spiro-OMeTAD__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c7ta09946k/Fig5_A_stability_performance_curve/validation_result.json,10.1039/c7ta09946k,10.1039_c7ta09946k__Fig5__A__stability_performance_curve,Spiro-OMeTAD,Aging Time (hours),(hours),PCE (%),(%),1.0,axis_metadata:hour,84,504.2265768325599,5.95946527796041,17.4554530853501,17.4554530853501,False,2,3.6361105912015343,0.43051319114174724,False
C08e44a8c11,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8ta02121j/Fig6_B_stability_performance_curve_pce/accepted/10.1039_c8ta02121j__Fig6__B__stability_performance_curve_pce__Without_CH₃CONH₂__Series_2.csv,x_time_h/10.1039_c8ta02121j/Fig6_B_stability_performance_curve_pce/accepted/10.1039_c8ta02121j__Fig6__B__stability_performance_curve_pce__Without_CH₃CONH₂__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8ta02121j/Fig6_B_stability_performance_curve_pce/validation_result.json,10.1039/c8ta02121j,10.1039_c8ta02121j__Fig6__B__stability_performance_curve_pce,Without CH₃CONH₂,Time,(h),Normalized PCE,,1.0,axis_metadata:hour,60,668.6165549607722,0.0991388093394517,0.9943380212625416,0.9943380212625416,False,2,0.9202986538510517,0.8039795649946706,False
Cb3bd071eb5,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8ta11524a/Fig4_I_stability_performance_curve_pce/accepted/10.1039_c8ta11524a__Fig4__I__stability_performance_curve_pce__Control__Series_2.csv,x_time_h/10.1039_c8ta11524a/Fig4_I_stability_performance_curve_pce/accepted/10.1039_c8ta11524a__Fig4__I__stability_performance_curve_pce__Control__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8ta11524a/Fig4_I_stability_performance_curve_pce/validation_result.json,10.1039/c8ta11524a,10.1039_c8ta11524a__Fig4__I__stability_performance_curve_pce,Control,Time,h,Normalized PCE,,1.0,axis_metadata:hour,25,912.5389824150277,0.019602708514923,0.8964400215189918,0.8964400215189918,False,2,3.7988201717487047,0.5437442650169029,False
C1febaa2def,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_d0ee02859b/Fig3_D_stability_performance_curve/accepted/10.1039_d0ee02859b__Fig3__D__stability_performance_curve__85_°C__Series_2.csv,x_time_h/10.1039_d0ee02859b/Fig3_D_stability_performance_curve/accepted/10.1039_d0ee02859b__Fig3__D__stability_performance_curve__85_°C__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_d0ee02859b/Fig3_D_stability_performance_curve/validation_result.json,10.1039/d0ee02859b,10.1039_d0ee02859b__Fig3__D__stability_performance_curve,85 °C,Time,(h),Norm. PCE,(a.u.),1.0,axis_metadata:hour,75,1001.0454372319672,0.0622441872044419,0.9923679511126174,0.9923679511126174,False,2,7.501163363679559,0.4009851647834045,False
C2739c3d03e,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1088_1361-6463_aa7905/Fig6_D_chart/accepted/10.1088_1361-6463_aa7905__Fig6__D__chart__ISOS-0-1__Series_2.csv,x_time_h/10.1088_1361-6463_aa7905/Fig6_D_chart/accepted/10.1088_1361-6463_aa7905__Fig6__D__chart__ISOS-0-1__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1088_1361-6463_aa7905/Fig6_D_chart/validation_result.json,10.1088/1361-6463_aa7905,10.1088_1361-6463_aa7905__Fig6__D__chart,ISOS-0-1,Time,(h),Normalized PCE,,1.0,axis_metadata:hour,32,549.6432457128781,0.0184800050462365,0.9799959779062104,0.9799959779062104,False,2,3.097991513640165,0.6228443371534609,False
Cb70367bdb9,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1126_science.aax8018/Fig4_E_stability_performance_curve/accepted/10.1126_science.aax8018__Fig4__E__stability_performance_curve__Control__Series_1.csv,x_time_h/10.1126_science.aax8018/Fig4_E_stability_performance_curve/accepted/10.1126_science.aax8018__Fig4__E__stability_performance_curve__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1126_science.aax8018/Fig4_E_stability_performance_curve/validation_result.json,10.1126/science.aax8018,10.1126_science.aax8018__Fig4__E__stability_performance_curve,—Control,Time,(h),Normalized Efficiency Decay,,1.0,axis_metadata:hour,47,985.5812666962879,0.3341706643977343,0.999675815898364,0.999675815898364,False,2,1.9705782737437365,0.505271780605733,False
