curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片208_08d5eeed94,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_2__Series_2.csv,图片208,samples_test__unknown__unknown__图片208__Series_2__Series_2,,,Norm. PCE,,,37,
图片208_5b29eab76c,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_3__Series_3.csv,图片208,samples_test__unknown__unknown__图片208__Series_3__Series_3,,,Norm. PCE,,,43,
图片208_ea1f3aee53,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_4__Series_4.csv,图片208,samples_test__unknown__unknown__图片208__Series_4__Series_4,,,Norm. PCE,,,43,
图片210_e4de2ce681,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_1__Series_1.csv,图片210,samples_test__unknown__unknown__图片210__Series_1__Series_1,,,,,,40,
图片210_2c4cee339a,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_2__Series_2.csv,图片210,samples_test__unknown__unknown__图片210__Series_2__Series_2,,,,,,23,
图片210_7a4d91cd3b,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_3__Series_3.csv,图片210,samples_test__unknown__unknown__图片210__Series_3__Series_3,,,,,,41,
图片31_17a7f4b089,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_1__Series_1.csv,图片31,samples_test__unknown__unknown__图片31__Series_1__Series_1,,,,,,50,
图片31_553954da9b,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_2__Series_2.csv,图片31,samples_test__unknown__unknown__图片31__Series_2__Series_2,,,,,,50,
图片31_ecc2d60ecd,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_3__Series_3.csv,图片31,samples_test__unknown__unknown__图片31__Series_3__Series_3,,,,,,50,
图片31_264e1a2bad,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_4__Series_4.csv,图片31,samples_test__unknown__unknown__图片31__Series_4__Series_4,,,,,,50,
图片4_a802b6b796,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_1__Series_1.csv,图片4,samples_test__unknown__unknown__图片4__Series_1__Series_1,,,,,,32,
图片4_c840bf00dc,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_2__Series_2.csv,图片4,samples_test__unknown__unknown__图片4__Series_2__Series_2,,,,,,32,
图片4_70ca9d1b12,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_3__Series_3.csv,图片4,samples_test__unknown__unknown__图片4__Series_3__Series_3,,,,,,32,
图片51_67812c0804,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_1__Series_1.csv,图片51,samples_test__unknown__unknown__图片51__Series_1__Series_1,,,Normalized PCE,(a.u.),,17,
图片51_e7efb6e8fa,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_2__Series_2.csv,图片51,samples_test__unknown__unknown__图片51__Series_2__Series_2,,,Normalized PCE,(a.u.),,48,
图片52_0767a9abac,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_1__Series_1.csv,图片52,samples_test__unknown__unknown__图片52__Series_1__Series_1,,,,,,49,
图片52_64665d803b,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_2__Series_2.csv,图片52,samples_test__unknown__unknown__图片52__Series_2__Series_2,,,,,,48,
图片55_dc559d5a53,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_1__Series_1.csv,图片55,samples_test__unknown__unknown__图片55__Series_1__Series_1,,,,,,44,
图片55_f07a4993f5,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_2__Series_2.csv,图片55,samples_test__unknown__unknown__图片55__Series_2__Series_2,,,,,,44,
图片57_216860fddd,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_1__Series_1.csv,图片57,samples_test__unknown__unknown__图片57__Series_1__Series_1,,,,,,53,
图片57_89f946ae99,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_2__Series_2.csv,图片57,samples_test__unknown__unknown__图片57__Series_2__Series_2,,,,,,53,
图片6_f3dd652d25,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_1__Series_1.csv,图片6,samples_test__unknown__unknown__图片6__Series_1__Series_1,Cycle (numbers),(numbers),Normalized PCE,,,64,
图片6_7f105dcfce,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_2__Series_2.csv,图片6,samples_test__unknown__unknown__图片6__Series_2__Series_2,Cycle (numbers),(numbers),Normalized PCE,,,63,
图片6_03838814d9,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_3__Series_3.csv,图片6,samples_test__unknown__unknown__图片6__Series_3__Series_3,Cycle (numbers),(numbers),Normalized PCE,,,62,
