mode,ARI_to_multivariate,silhouette,dunn,min_cluster,max_fraction
classic,1.0,0.673428687997088,0.4348090576336758,7,0.9230769230769231
derivative,-0.018164661476763388,0.6956082927616511,0.5816846800286773,1,0.989010989010989
multivariate,1.0,0.6673535246745771,0.44398254666471104,7,0.9230769230769231
