K,mode,replicate,ARI
3,bootstrap90,15,0.8410095633345362
4,bootstrap90,15,0.8731904984552197
5,bootstrap90,15,0.6090094823488204
6,bootstrap90,15,0.6065530799475753
7,bootstrap90,15,0.46858499090918987
8,bootstrap90,15,0.8161639157655094
9,bootstrap90,15,0.8876085119459168
10,bootstrap90,15,0.8826215417673919
2,bootstrap90,16,1.0
3,bootstrap90,16,0.6844384664429907
4,bootstrap90,16,1.0
5,bootstrap90,16,1.0
6,bootstrap90,16,0.8577044476327116
7,bootstrap90,16,0.85632668495203
8,bootstrap90,16,0.9341180534335933
9,bootstrap90,16,0.8154827968923418
10,bootstrap90,16,0.7352856914083218
2,bootstrap90,17,1.0
3,bootstrap90,17,0.749675688749148
4,bootstrap90,17,0.7971227302488769
5,bootstrap90,17,0.7361608910866521
6,bootstrap90,17,0.8098753840901332
7,bootstrap90,17,0.8104533956323635
8,bootstrap90,17,1.0
9,bootstrap90,17,0.7096910829293723
10,bootstrap90,17,0.7097257616124175
2,bootstrap90,18,1.0
3,bootstrap90,18,0.7193304756072668
4,bootstrap90,18,0.769436241270485
5,bootstrap90,18,0.7505548586316704
6,bootstrap90,18,0.7566215609568396
7,bootstrap90,18,0.7574660869112402
8,bootstrap90,18,0.8665130361236072
9,bootstrap90,18,0.9985385080972556
10,bootstrap90,18,0.9970805933178025
2,bootstrap90,19,1.0
3,bootstrap90,19,0.7636835551814244
4,bootstrap90,19,1.0
5,bootstrap90,19,0.8976883188565784
6,bootstrap90,19,0.835356838851306
7,bootstrap90,19,0.6494466011278989
8,bootstrap90,19,0.8700591782045556
9,bootstrap90,19,0.9966515874209023
10,bootstrap90,19,0.47037283496685955
2,bootstrap90,20,1.0
3,bootstrap90,20,0.8396997307832924
4,bootstrap90,20,0.9941511283907963
5,bootstrap90,20,0.8670505285175651
6,bootstrap90,20,0.6836308655054002
7,bootstrap90,20,0.6818802495210963
8,bootstrap90,20,0.2803919076486094
9,bootstrap90,20,0.31295553212430544
10,bootstrap90,20,0.3121252664310693
2,bootstrap90,21,1.0
3,bootstrap90,21,0.8429627550333552
4,bootstrap90,21,0.8344999051432337
5,bootstrap90,21,0.7821791487935923
6,bootstrap90,21,0.7847459817930976
7,bootstrap90,21,0.7989355410999409
8,bootstrap90,21,0.936188724813956
9,bootstrap90,21,0.9935348106079813
10,bootstrap90,21,0.7376701966717095
2,bootstrap90,22,0.859235887489676
3,bootstrap90,22,0.7553444667842928
4,bootstrap90,22,0.740080431011988
5,bootstrap90,22,0.6717938473831402
6,bootstrap90,22,0.7665557042410028
7,bootstrap90,22,0.7776642576331835
8,bootstrap90,22,0.9968651488232807
9,bootstrap90,22,0.8708231604271676
10,bootstrap90,22,0.763140684042244
2,bootstrap90,23,1.0
3,bootstrap90,23,0.8824092763774198
4,bootstrap90,23,0.8130617588559631
5,bootstrap90,23,0.645618556701031
6,bootstrap90,23,0.6559235882254371
7,bootstrap90,23,0.6571195319409484
8,bootstrap90,23,0.8090622305725691
9,bootstrap90,23,0.9971637842948137
10,bootstrap90,23,0.9985832356227037
2,bootstrap90,24,1.0
3,bootstrap90,24,1.0
4,bootstrap90,24,0.9920514563614495
5,bootstrap90,24,0.7496263602078391
6,bootstrap90,24,0.7513594765462664
7,bootstrap90,24,0.6312916919345057
8,bootstrap90,24,0.5782738558668233
9,bootstrap90,24,0.692744102717229
10,bootstrap90,24,0.6966260892514622
2,bootstrap90,25,1.0
3,bootstrap90,25,0.9928775953610843
4,bootstrap90,25,0.5514084178072594
5,bootstrap90,25,0.48678623514177427
6,bootstrap90,25,0.4830065919013783
7,bootstrap90,25,0.48698391666749596
8,bootstrap90,25,0.9058670860717254
9,bootstrap90,25,0.43305154076902097
10,bootstrap90,25,0.43328528933729954
2,bootstrap90,26,1.0
3,bootstrap90,26,1.0
4,bootstrap90,26,0.9923812077451976
