candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score,bootstrap90,bootstrap95,drop05,drop10,stability_mean,stability_worst,warp_mean_time,warp_p95_max_time,turn_collapse_mean,selection_score,extreme_warp
M006913,coverage090_z_classic_l0_r0.2,coverage090,47.80591738392364,28,0.208955223880597,z,classic,0.0,0.2,average,2,0.6978566220807949,0.7053495582057613,5,0.8214285714285714,True,0.865354938271605,1.0,1.0,1.0,1.0,1.0,1.0,0.053737428453379955,0.20982866893395302,0.0,0.7346366325904783,False
M007399,coverage090_z_multivariate_l0.5_r0.2,coverage090,47.80591738392364,28,0.208955223880597,z,multivariate,0.5,0.2,average,2,0.6894906770065533,0.7980188576267363,5,0.8214285714285714,True,0.8645833333333333,0.9916666666666666,1.0,1.0,1.0,0.9979166666666667,0.9916666666666666,0.055468241579632295,0.23177772972245722,0.031868131868131866,0.7325169617869441,False
M020638,coverage060_z_derivative_l1_r0.1,coverage060,605.7960715706885,80,0.5970149253731343,z,derivative,1.0,0.1,complete,2,0.6669904532952411,0.4049125933497412,4,0.95,True,0.8982032627865961,0.9548236537946218,0.9740165055758782,0.9168367230903052,0.8468227661145592,0.9231249121438411,0.8468227661145592,0.048907970800299724,0.1732887754131052,0.013034188034188033,0.7278866369892735,False
M011881,coverage080_z_multivariate_l0.5_r0.1,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,0.5,0.1,average,2,0.632722129083241,0.46974006461678003,12,0.8421052631578947,True,0.7962687389770722,0.8549727864070911,0.9100450085596856,0.9304723763421857,0.9422253447815304,0.9094288790226233,0.8549727864070911,0.04320516918948248,0.167204832142092,0.0045045045045045045,0.7255805799563876,False
M012367,coverage080_z_multivariate_l4_r0.1,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,4.0,0.1,average,2,0.6227638665702836,0.4702499298322487,12,0.8421052631578947,True,0.787147266313933,0.855313291166662,0.9106210912861958,0.9137782478598229,0.9328938238906117,0.9031516135508231,0.855313291166662,0.04325517332100724,0.167204832142092,0.0045045045045045045,0.7245026186588999,False
M037594,coverage020_ymax_derivative_l1_r0.02,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,derivative,1.0,0.02,complete,2,0.6877696089260694,0.7662425881645171,3,0.8846153846153846,True,0.8928295855379189,0.96,0.944974305649743,0.9833120904439195,0.9579702287461707,0.9615641562099584,0.944974305649743,0.023134259919627014,0.0933440424034775,0.04854797979797979,0.7137713925553386,False
M007507,coverage090_z_multivariate_l1_r0.1,coverage090,47.80591738392364,28,0.208955223880597,z,multivariate,1.0,0.1,average,2,0.6566148459284286,0.7628632978462091,5,0.8214285714285714,True,0.8127204585537919,0.9485201017786588,0.978730730019992,1.0,1.0,0.9818127079496627,0.9485201017786588,0.04729025150049107,0.18137379712814725,0.016483516483516484,0.709518000071838,False
M011422,coverage080_z_classic_l0_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,z,classic,0.0,0.15,average,2,0.6447528213460982,0.45331589918251963,11,0.8552631578947368,True,0.7990520282186948,0.8151696011778208,0.8679638889802558,0.8784325287506211,0.9088466906306977,0.8676031773848488,0.8151696011778208,0.05181683735187787,0.20104777513913089,0.0,0.7066817266782119,False
M011746,coverage080_z_multivariate_l0.25_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,0.25,0.15,average,2,0.6447378589666528,0.45331667396250763,11,0.8552631578947368,True,0.798941798941799,0.8117742304336798,0.8679638889802558,0.8784325287506211,0.9125750056894794,0.867686413463509,0.8117742304336798,0.051691419687989654,0.20104777513913089,0.01126126126126126,0.705177059761127,False
M011908,coverage080_z_multivariate_l0.5_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,0.5,0.15,average,2,0.6445834305772693,0.4533189962386812,11,0.8552631578947368,True,0.798831569664903,0.8117742304336798,0.8679638889802558,0.8784325287506211,0.9126751748699847,0.8677114557586354,0.8117742304336798,0.051691419687989654,0.20104777513913089,0.01126126126126126,0.7051578661618024,False
