window_hours,n_curves,fraction_of_axis_valid
150,1984,0.92970946579194
200,1850,0.8669165885660731
300,1635,0.7661668228678538
500,1229,0.5759137769447048
750,798,0.3739456419868791
1000,500,0.23430178069353327
1500,210,0.09840674789128398
2000,143,0.06701030927835051
