quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_separation_ratio,cluster_sizes,variant_id,setting_id,k,seed,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
0.5031583429433433,0.06289479286791791,0.0,0.6489312700340709,2,0,343,0.21572327044025158,0.0494342639171473,0.2608897202400133,5.27750793805672,1247;343,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,2,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.5031575569339316,0.06289469461674145,0.0,0.6489312700340709,2,0,343,0.21572327044025158,0.04943426391714529,0.2608879413176138,5.277471952441726,343;1247,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,2,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.5031291933449891,0.06289114916812363,0.0,0.6489312700340709,2,0,343,0.21572327044025158,0.049434263434151894,0.260809625978427,5.275887772062354,1247;343,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,2,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.3661882350566508,0.04577352938208135,0.0,0.5853889782315689,3,0,143,0.08993710691823899,0.03630356906624846,0.14933114738689504,4.113401277716666,143;435;1012,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,3,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.36572033914908,0.045715042393635,0.15345911949685534,0.5837565469299826,3,0,148,0.0930817610062893,0.03625348793430927,0.14729427070794732,4.062899298704148,432;1010;148,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,3,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.36599597838493453,0.045749497298116816,0.0,0.585101087191949,3,0,144,0.09056603773584905,0.036237248752524716,0.14880353387480766,4.106369522888624,144;436;1010,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,3,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.3104215718955735,0.03880269648694669,0.0,0.5148229191174416,4,0,96,0.06037735849056604,0.031575826294813814,0.09971454251415102,3.157939291278998,241;96;401;852,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,4,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.3029286458445633,0.03786608073057041,0.0,0.49692594014272956,4,0,118,0.07421383647798742,0.0289506230348359,0.08442290696458431,2.916099831775062,414;118;281;777,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,4,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.30106716643374337,0.03763339580421792,0.0,0.4902250338833767,4,0,120,0.07547169811320754,0.028458064722685663,0.07948891504558014,2.7931946819778464,302;419;120;749,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,4,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.29446954847049744,0.03680869355881218,0.38805031446540883,0.4219024407814021,5,0,48,0.03018867924528302,0.02625553836161896,0.03805893750795572,1.449558450575964,321;443;48;644;134,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,5,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.2664494061425072,0.0333061757678134,0.6867924528301886,0.42511702700467574,5,0,120,0.07547169811320754,0.021413923313553636,0.045645149636539685,2.1315640747399933,516;255;120;305;394,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,5,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.26904883547043723,0.033631104433804654,0.0,0.4647892472917302,5,0,68,0.042767295597484274,0.025741605630477837,0.06904691657456083,2.6823080721168213,680;430;285;127;68,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,5,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.2676952627439706,0.033461907842996325,0.34779874213836476,0.38372000289545766,6,0,44,0.027672955974842768,0.020355829490948302,0.026012734230161632,1.2779009688822018,132;339;399;374;44;302,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,6,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.2647756930738512,0.0330969616342314,0.41823899371069184,0.45249284554327474,6,0,31,0.01949685534591195,0.024087683149206753,0.0529378247915634,2.197713431443448,76;161;604;31;306;412,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,6,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.26810686820597274,0.03351335852574659,0.0006289308176100629,0.3873529937024617,6,0,29,0.018238993710691823,0.020562881112409497,0.03554988029041981,1.7288375152466826,339;133;29;305;405;379,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,6,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.23331913837596663,0.02916489229699583,0.6855345911949685,0.3880487549656084,7,0,76,0.04779874213836478,0.020501090425062117,0.04183210580844723,2.040481990912442,537;174;361;194;133;76;115,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,7,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.22761854000912882,0.028452317501141102,0.7616352201257862,0.3482511388621188,7,0,63,0.03962264150943396,0.0181463287046692,0.02816557025283742,1.5521360110730305,342;293;250;321;63;223;98,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,7,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.2517146179714846,0.031464327246435574,0.5754716981132075,0.40092482817603,7,0,36,0.022641509433962263,0.022450997927410957,0.039034620892484724,1.738658611833364,182;561;36;138;101;194;378,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,7,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.24201699070400864,0.03025212383800108,0.25471698113207547,0.3616069618998108,8,0,34,0.021383647798742137,0.019979847385768544,0.041801464037452746,2.092181347948401,341;34;189;167;509;102;76;172,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,8,11,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.23408436647086425,0.02926054580885803,0.2522012578616352,0.3298318423556832,8,0,43,0.027044025157232705,0.01801396128898152,0.026213829170518357,1.4551951538331107,170;43;261;161;354;316;104;181,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,8,37,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.2341877310913058,0.029273466386413226,0.40314465408805034,0.3187967796994969,8,0,59,0.03710691823899371,0.015840407257449837,0.020138822097249782,1.2713575963463326,234;59;258;109;304;200;224;202,w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,8,71,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.5082282079576252,0.06352852599470316,0.0,0.649601279625475,2,0,338,0.21257861635220127,0.051916796421381216,0.2548380905405198,4.908586586645775,1252;338,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,2,11,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.49848872977705844,0.062311091222132305,0.0,0.6471010763378569,2,0,358,0.22515723270440252,0.04770606604401926,0.25749407564169413,5.397512245061291,358;1232,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,2,37,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.5126310498622348,0.06407888123277936,0.0,0.6532683614903813,2,0,317,0.19937106918238995,0.051906528778920755,0.26912992663729635,5.18489548354089,1273;317,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,2,71,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.3668198512191135,0.045852481402389185,0.0,0.5853054841232196,3,0,144,0.09056603773584905,0.036506077415446675,0.14876367525369238,4.075038617725375,144;429;1017,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,3,11,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.3655169720449466,0.045689621505618325,0.15786163522012578,0.5834459202060729,3,0,148,0.0930817610062893,0.03583265454919879,0.14669041401009528,4.093763519657561,434;1008;148,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,3,37,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
0.36643264113757873,0.04580408014219734,0.0,0.5850741199843631,3,0,144,0.09056603773584905,0.036618433023709554,0.14202385579435775,3.878479881936025,144;437;1009,w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,3,71,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
