variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,seed_ari,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,som_rank_sum
w0300_coverage_maxabs_level,sigma2_lr0.5_sequential,5,0.4273143583250716,2.0,0.5,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2974050252564958,0.03717562815706198,0.0,0.3814895624361971,1.0,5.0,0.0,0.12389937106918239,1.2114657025134394,True,48.0,32.0,47.5,124.0,1.0,95.5,16.0,364.0
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,4,0.4110955648231543,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3029286458445633,0.03786608073057041,0.0,0.49692594014272956,0.8065392376549712,4.0,0.0,0.07421383647798742,2.916099831775062,True,14.5,109.5,47.5,22.0,52.5,95.5,29.0,370.5
w0300_coverage_maxabs_level,sigma0.3_lr0.03_sequential,4,0.41132034179955995,0.3,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3029287178449787,0.03786608973062234,0.0,0.49692594014272956,0.8065392376549712,4.0,0.0,0.07421383647798742,2.9160993041818646,True,14.5,109.5,47.5,23.0,52.5,95.5,28.0,370.5
w0300_coverage_maxabs_level,sigma1.2_lr0.1_sequential,5,0.33610159498644177,1.2,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.26943549206158646,0.03367943650769831,0.0,0.42665298165358023,1.0,5.0,0.0,0.0830188679245283,2.2719735863310846,True,38.0,32.0,47.5,38.0,35.5,95.5,86.0,372.5
w0300_coverage_maxabs_level,sigma2_lr0.03_random,5,0.426263316735904,2.0,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2895518216716894,0.03619397770896118,0.0,0.4073796914403293,0.8829313929510197,5.0,0.0,0.10314465408805032,1.5166395671793254,True,46.0,85.0,47.5,83.0,8.0,95.5,17.0,382.0
w0300_coverage_maxabs_level,sigma1.2_lr0.3_sequential,5,0.32080630446514524,1.2,0.3,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2730621992838332,0.03413277491047915,0.0,0.43630550095161397,1.0,5.0,0.0,0.07672955974842767,2.425783298559903,True,37.0,32.0,47.5,36.0,46.5,95.5,109.0,403.5
w0300_coverage_maxabs_level,sigma0.2_lr0.1_sequential,4,0.3393322087607051,0.2,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.31202364782452796,0.039002955978065995,0.0,0.5149244532411018,0.9186370274641691,4.0,0.0,0.05786163522012579,3.3232170504083984,True,9.0,75.5,47.5,3.0,94.0,95.5,82.0,406.5
w0300_coverage_maxabs_level,sigma0.3_lr0.1_sequential,4,0.3395590565222046,0.3,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3120236660888328,0.0390029582611041,0.0,0.5149244532411018,0.9186370274641691,4.0,0.0,0.05786163522012579,3.3232170503618694,True,9.0,75.5,47.5,4.0,94.0,95.5,81.0,406.5
w0300_coverage_maxabs_level,sigma0.5_lr0.1_random,4,0.34265808626247624,0.5,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3129446755812196,0.03911808444765245,0.0,0.515985060280854,0.9041487652860275,4.0,0.0,0.05660377358490566,3.269590440433564,True,7.0,78.0,47.5,8.0,99.5,95.5,76.0,411.5
w0300_coverage_maxabs_level,sigma1.2_lr0.3_random,4,0.344734438472216,1.2,0.3,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3109297179394085,0.03886621474242606,0.0,0.4719579973795257,0.7873809860151971,4.0,0.0,0.09685534591194969,2.6323412449835875,True,32.0,121.0,47.5,35.0,16.5,95.5,75.0,422.5
