quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_overlap_ratio,cluster_sizes,setting,source,k,layout,sigma,learning_rate,random_order,seed,iterations
1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2,0,244,0.20299500831946754,0.058750978863336994,0.3016656634472512,5.134649145911818,244;958,paper_main,paper,2,1x2,0.5,0.1,False,0,10000
1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2,0,244,0.20299500831946754,0.058750978863336994,0.3016656634472512,5.134649145911818,958;244,paper_main,paper,2,1x2,0.5,0.1,False,11,10000
1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2,0,244,0.20299500831946754,0.058750978863336994,0.3016656634472512,5.134649145911818,958;244,paper_main,paper,2,1x2,0.5,0.1,False,23,10000
1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2,0,244,0.20299500831946754,0.058750978863336994,0.3016656634472512,5.134649145911818,958;244,paper_main,paper,2,1x2,0.5,0.1,False,42,10000
1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2,0,244,0.20299500831946754,0.058750978863336994,0.3016656634472512,5.134649145911818,244;958,paper_main,paper,2,1x2,0.5,0.1,False,77,10000
1.2533858389890196,0.05599714958133092,0.0,0.569446835828803,3,0,81,0.06738768718801996,0.047959083860314125,0.18415765538326803,3.839891018681814,81;307;814,paper_main,paper,3,1x3,0.5,0.1,False,0,10000
1.2533858389890196,0.05599714958133092,0.0,0.569446835828803,3,0,81,0.06738768718801996,0.047959083860314125,0.18415765538326803,3.839891018681814,81;307;814,paper_main,paper,3,1x3,0.5,0.1,False,11,10000
1.2533856878780354,0.05599714283019003,0.14226289517470883,0.569446835828803,3,0,81,0.06738768718801996,0.0479590838020829,0.18415765197747827,3.8398909523296663,81;814;307,paper_main,paper,3,1x3,0.5,0.1,False,23,10000
1.2533856502493625,0.055997141149064907,0.8577371048252912,0.569446835828803,3,0,81,0.06738768718801996,0.04795908384437576,0.1841576648418012,3.839891217178824,814;81;307,paper_main,paper,3,1x3,0.5,0.1,False,42,10000
1.2533856502493625,0.055997141149064907,0.8577371048252912,0.569446835828803,3,0,81,0.06738768718801996,0.04795908384437576,0.1841576648418012,3.839891217178824,814;81;307,paper_main,paper,3,1x3,0.5,0.1,False,77,10000
