curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片1_8cff72a9ff,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,samples_test__unknown__unknown__图片1__Series_1__Series_1,Thermal cycles,,Normalized PCE,,,64,0,,,
图片1_a0090d31b6,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,samples_test__unknown__unknown__图片1__Series_2__Series_2,Thermal cycles,,Normalized PCE,,,64,0,,,
图片102_3dfd74212a,True,,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102,samples_test__unknown__unknown__图片102__Control__Series_1,Time,(h),Normalized PCE,,1.0,30,0,0.2808468239687869,213.12665721311737,212.8458103891486
图片102_d8c245ba7a,True,,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,samples_test__unknown__unknown__图片102__Target__Series_2,Time,(h),Normalized PCE,,1.0,30,0,0.2808468239687869,213.12665721311737,212.8458103891486
图片103_2b72774534,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,samples_test__unknown__unknown__图片103__Control__Series_2,Time,(h),Normalized PCE,,1.0,63,0,-1.3105387035323872,1000.5625722547218,1001.8731109582542
图片103_bcfcaf0360,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,samples_test__unknown__unknown__图片103__。Target__Series_1,Time,(h),Normalized PCE,,1.0,65,0,-2.8759654394046663,998.9971455188496,1001.8731109582543
图片105_457cd7852f,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,samples_test__unknown__unknown__图片105__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,27,0,-3.2457655094714823,503.2663791762418,506.5121446857133
图片105_32d68f1b45,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,samples_test__unknown__unknown__图片105__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,56,0,-5.193889142878078,1066.2741092307465,1071.4679983736246
图片107_b2f4df4336,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,33,0,14.493093149841345,1324.2144817280746,1309.7213885782332
图片107_f3230ee0e8,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,33,0,6.307334471227364,1316.0287230494607,1309.7213885782335
图片11_fe30bf81d3,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11,samples_test__unknown__unknown__图片11__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,50,0,-0.8167830047531695,275.4154280601935,276.2322110649467
图片11_803413880f,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,图片11,samples_test__unknown__unknown__图片11__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,50,0,-0.8167830047531695,275.4154280601935,276.2322110649467
图片113_5031dc5ac2,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,samples_test__unknown__unknown__图片113__Series_1__Series_1,Time (h),h,Normalized PCE,,1.0,50,6,0.351036024886298,996.1977183860802,995.8466823611939
图片113_5b5ce508bd,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,samples_test__unknown__unknown__图片113__Series_2__Series_2,Time (h),h,Normalized PCE,,1.0,49,0,14.577417201474788,990.100697881828,975.5232806803532
图片114_22f5dc923d,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,samples_test__unknown__unknown__图片114__Series_1__Series_1,Time,hr,Normalized PCE,,1.0,52,0,1.9695087968972729,607.7655803675857,605.7960715706885
图片114_5d05de147f,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,samples_test__unknown__unknown__图片114__Series_2__Series_2,Time,hr,Normalized PCE,,1.0,84,0,1.9695087968972729,987.8729193923314,985.9034105954341
图片114_2c13d60cfd,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,samples_test__unknown__unknown__图片114__Series_3__Series_3,Time,hr,Normalized PCE,,1.0,84,0,7.908685969158924,993.812096564593,985.9034105954341
