curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id
10.1021_acsami.7b01282_Fig8_whole_sem_stability_8f02e3413f,lab/data_all/x_time_h/10.1021_acsami.7b01282/Fig8_whole_sem_stability/accepted/10.1021_acsami.7b01282__Fig8__whole__sem_stability__Spin-coated_ETL__Series_1.csv,10.1021/acsami.7b01282,Fig8_whole_sem_stability,10.1021_acsami.7b01282__Fig8__whole__sem_stability__Spin-coated_ETL__Series_1,Time (hours),(hours),Normalized PCE (%),(%),1.0,298.4812152702205,131,131,99.42560670257706,26dab7b325886bcccec9591ec39ed5fc4600976fcbd5b07802623e1d238e7dc5,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1021_acsami.7b02223_Fig5_A_chart_d4827e8d5a,lab/data_all/x_time_h/10.1021_acsami.7b02223/Fig5_A_chart/accepted/10.1021_acsami.7b02223__Fig5__A__chart__O-PEDOT_PSS__Series_1.csv,10.1021/acsami.7b02223,Fig5_A_chart,10.1021_acsami.7b02223__Fig5__A__chart__O-PEDOT_PSS__Series_1,Time (h),h,Normalized PCE,,1.0,288.4163697057213,60,60,1.0021302555595093,efba1b52686b17ad890cb23d35df412b08e1fb715a68c17b578d57cc71a2ad71,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1021_acsami.7b06681_Fig6_D_stability_performance_curve_pce_cc993db4f2,lab/data_all/x_time_h/10.1021_acsami.7b06681/Fig6_D_stability_performance_curve_pce/accepted/10.1021_acsami.7b06681__Fig6__D__stability_performance_curve_pce__Bphen__Series_2.csv,10.1021/acsami.7b06681,Fig6_D_stability_performance_curve_pce,10.1021_acsami.7b06681__Fig6__D__stability_performance_curve_pce__Bphen__Series_2,Time,(h),PCE/PCE₀,,1.0,173.09162226677373,69,69,0.9996361172721376,0a78b8dd306e5feb3f84934c0626a933b676241a5d14e53df1b454177edd1774,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1021_acsami.8b02035_Fig5_A_stability_performance_curve_pce_8601597159,lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO(m)&BSO_PCBM__Series_4.csv,10.1021/acsami.8b02035,Fig5_A_stability_performance_curve_pce,10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO(m)&BSO_PCBM__Series_4,Time,(hour),Normalized PCE,,1.0,638.3979114290298,79,61,1.006068669805488,38ba4a5d284823df88c8d5a627def7707c0bce0194a2618917a2b765498c6497,high,clear_match,,500.0,0.08834646228848542,0.9885847186044533,0.9125388319792972,-0.0760458866251561,-0.8607688939126598,0.011335952485677203,0.12831246653273934,0.0873818391108333,0.9890813604453991,0.04762065566733886,0.5390216476562353,0.03628470318166166,0.4107091811234959,0.0,0.0,0.03976118344349444,0.45005971278916385,0.043333333333333335,0.4,0.4,0.4,-0.14941175024714035,-0.03724937429927299,0.7233333333333334,True,IFO-Slope,0.03670368608659394,4.011121074054027,0.8665493878621009,S660
10.1021_acsami.8b02035_Fig5_A_stability_performance_curve_pce_23a2b5df6b,lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO(m)&PCBM__Series_2.csv,10.1021/acsami.8b02035,Fig5_A_stability_performance_curve_pce,10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO(m)&PCBM__Series_2,Time,(hour),Normalized PCE,,1.0,638.3979114290298,81,63,1.006068669805488,d6135c034d7029132ec3594833266f013b4f1c50700f202d9905810f80d575ef,high,boundary_candidate,早期下降速度不足末段1.5倍,500.0,0.4594681499991382,0.9865682945143854,0.5414633578009126,-0.44510493671347284,-0.9687394800146816,0.013384354684404798,0.029130103325834232,0.45848929139787764,0.9978695833405158,0.20955195270139937,0.45607503523757287,0.19616759801699457,0.4269449319117386,0.0,0.0,0.24893733869647827,0.5417945481029429,0.043333333333333335,0.4,0.4,0.4,-0.15872158723978105,-0.28961872120792187,0.9566666666666667,True,IFO-Slope,0.19883833598519743,0.54803635130283,0.8516836470973455,S661
10.1021_acsami.8b02035_Fig5_A_stability_performance_curve_pce_52c14ca5d3,"lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&BSO_PCBM__Series_3.csv",10.1021/acsami.8b02035,Fig5_A_stability_performance_curve_pce,"10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&BSO_PCBM__Series_3",Time,(hour),Normalized PCE,,1.0,638.3979114290298,81,63,1.0041480148011677,d6772f58d2e91bbd6c67d9442f71a7c9248794ecfa76c6854ad5b331d0ec82e9,unresolved_other_shape,other_or_unresolved_shape,,500.0,0.16006403397768842,0.9875563875527679,0.8408703818482461,-0.14668600570452173,-0.916420772732546,0.012419202355425152,0.0775889626595084,0.15910520805994688,0.9940097353920544,0.06674772592987233,0.4170063959476143,0.054328523574447174,0.33941743328810586,0.0,0.0,0.09235748213007455,0.5770033394444402,0.09,0.4,0.4,0.4,0.15150330716958593,-0.09530071957726512,0.8666666666666667,True,,,,,
10.1021_acsami.8b02035_Fig5_A_stability_performance_curve_pce_4a514c16a4,"lab/data_all/x_time_h/10.1021_acsami.8b02035/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&PCBM__Series_1.csv",10.1021/acsami.8b02035,Fig5_A_stability_performance_curve_pce,"10.1021_acsami.8b02035__Fig5__A__stability_performance_curve_pce__NiO,&PCBM__Series_1",Time,(hour),Normalized PCE,,1.0,622.4379636433041,79,63,1.0175925998314097,43c64a7264dfc8f39e24eecb01f0e7cfbc1c7482b38a7cfdcb6b064d4239c363,high,clear_match,,500.0,0.6812660574101856,0.9990012358679149,0.31966146202635765,-0.6793397738415572,-0.9971724944349185,0.000943038333405477,0.001384243825371855,0.6802828121749627,0.9985567382602903,0.4065765068515227,0.5967954845675304,0.4056334685181172,0.5954112407421585,0.0,0.0,0.27370630532344004,0.40176125369276006,0.006666666666666667,0.4,0.4,0.4,-1.2788041673658412,-0.22588538266321267,0.9733333333333334,True,IFO-Slope,0.40603900571325113,5.66129668192162,0.8945932555191172,S662
10.1021_acsami.8b02256_Fig8_whole_stability_performance_curve_pce_322b4552ca,lab/data_all/x_time_h/10.1021_acsami.8b02256/Fig8_whole_stability_performance_curve_pce/accepted/10.1021_acsami.8b02256__Fig8__whole__stability_performance_curve_pce__w_o__Series_1.csv,10.1021/acsami.8b02256,Fig8_whole_stability_performance_curve_pce,10.1021_acsami.8b02256__Fig8__whole__stability_performance_curve_pce__w_o__Series_1,Time,(h),Normalized PCE,,1.0,330.61820225811107,62,62,1.0039232311789053,5008c4c9bfb329d33636d6de870fe7f650dfbd39a98ba1001aea9836445928a9,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1021_acsami.8b03543_Fig4_E_stability_performance_curve_pce_745c2c4217,lab/data_all/x_time_h/10.1021_acsami.8b03543/Fig4_E_stability_performance_curve_pce/accepted/10.1021_acsami.8b03543__Fig4__E__stability_performance_curve_pce__PEDOT_PSS__Series_2.csv,10.1021/acsami.8b03543,Fig4_E_stability_performance_curve_pce,10.1021_acsami.8b03543__Fig4__E__stability_performance_curve_pce__PEDOT_PSS__Series_2,Time (hours),hours,Normalized PCE,,1.0,287.6257590363009,66,66,0.99742491873487,04ea49f82501c95b693dd36db5d21fe1a12c40c7c7c58f8cf91d290a61899e4b,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1021_acsami.8b04003_Fig7_B_stability_performance_curve_retention_86aa58025b,lab/data_all/x_time_h/10.1021_acsami.8b04003/Fig7_B_stability_performance_curve_retention/accepted/10.1021_acsami.8b04003__Fig7__B__stability_performance_curve_retention__YN1__Series_2.csv,10.1021/acsami.8b04003,Fig7_B_stability_performance_curve_retention,10.1021_acsami.8b04003__Fig7__B__stability_performance_curve_retention__YN1__Series_2,Time,(h),PCE,(%),1.0,989.1518374345326,76,38,17.914144880776803,ae6ed44f0b0b61080f8353893e8b8ab4f25500a5a023a59dd1d6a320c3069c60,high,boundary_candidate,早期下降速度不足末段1.5倍,500.0,0.3991728412630017,0.9994989783110396,0.6225664203684661,-0.3769325579425735,-0.9442840769175106,0.0005122189945908628,0.0012832010138018855,0.3774447769371644,0.9455672779313125,0.39803456563212813,0.9971484141374148,0.3986606222684108,0.9987167989861981,0.08798758839124199,0.22042478669852666,0.0662595240654047,0.16599206462983915,0.0,0.39666666666666667,0.49333333333333335,0.4,-0.09909614458671955,-0.12251354067297628,0.8833333333333333,True,IFO-Slope,0.3988604600097444,0.8088587109831029,0.9011975294082158,S663
