curve_id,window_hours,point_count,max_abs_before_normalization,max_abs_after_normalization,all_finite
图片103_2b72774534,500,3000,0.996539823579448,1.0,True
图片103_bcfcaf0360,500,3000,1.0036953156333352,1.0,True
图片105_32d68f1b45,500,3000,0.9951544843417754,1.0,True
图片105_457cd7852f,500,3000,1.0098511249854132,1.0,True
图片107_b2f4df4336,500,3000,0.9987738917773843,1.0,True
图片107_f3230ee0e8,500,3000,1.0215766008851734,1.0,True
图片113_5031dc5ac2,500,3000,1.004408910587709,1.0,True
图片113_5b5ce508bd,500,3000,1.0043249956343516,1.0,True
图片114_22f5dc923d,500,3000,0.974768506769387,1.0,True
图片114_2c13d60cfd,500,3000,1.0134412887478532,1.0,True
图片114_5d05de147f,500,3000,1.01968270187836,1.0,True
图片115_01afabb0c0,500,3000,0.9920719517046227,1.0,True
图片115_8cc5d1e2b8,500,3000,1.0129473069693182,1.0,True
图片116_1a8fb0bddd,500,3000,0.6987151671905634,1.0,True
图片116_1c8227d681,500,3000,0.9716249390282904,1.0,True
图片116_4ac59c593b,500,3000,0.9245665388257398,1.0,True
图片116_65eb56ddd1,500,3000,0.92028059055583,1.0,True
图片121_09e036200a,500,3000,21.626067037540146,1.0,True
图片121_6f2a55d713,500,3000,25.028638744448827,1.0,True
图片122_631af03b05,500,3000,0.9794747793005607,1.0,True
图片122_fb8750c673,500,3000,1.0068434121266538,1.0,True
图片127_90c3584dc3,500,3000,1.0028096548677328,1.0,True
图片127_cfb6747cd0,500,3000,0.9992750485627341,1.0,True
图片127_fae8afb771,500,3000,0.9849544610206639,1.0,True
图片12_8ead6ff972,500,3000,1.0002763818118199,1.0,True
图片132_1d81c7ef0c,500,3000,1.0036341667154303,1.0,True
图片132_55073daea0,500,3000,0.9925362827369292,1.0,True
图片135_416420e73b,500,3000,1.0006783941067179,1.0,True
图片135_d4e290896b,500,3000,0.9962285976244789,1.0,True
图片136_2e27e42dd3,500,3000,1.0223332963043252,1.0,True
图片136_4d4220d0f1,500,3000,1.065868555800956,1.0,True
图片141_7315da2cdf,500,3000,1.005207206050539,1.0,True
图片141_939b548eee,500,3000,1.002619601281597,1.0,True
图片141_a8a78a6cbb,500,3000,1.0126216032844921,1.0,True
图片141_c22163c53e,500,3000,1.0053883821139424,1.0,True
图片157_4e9fe149dd,500,3000,24.24063327877059,1.0,True
图片160_68218de2a7,500,3000,1.0144873991123198,1.0,True
图片160_d690ea710f,500,3000,1.004305373637008,1.0,True
图片162_44a16a7876,500,3000,1.0386819586015614,1.0,True
图片162_d2a80a5e00,500,3000,0.9650746992775658,1.0,True
图片162_d9ab854a2e,500,3000,1.0214160423953067,1.0,True
图片163_9302500777,500,3000,0.9893397253176529,1.0,True
图片163_c3cef6f5fd,500,3000,0.9766588345159462,1.0,True
图片16_92ce9de464,500,3000,0.9103456262788158,1.0,True
图片16_a271af3c1b,500,3000,1.0129854837602559,1.0,True
图片16_d266b445b6,500,3000,0.6522109068058649,1.0,True
图片17_9cc1fbc4c1,500,3000,1.0595549466154015,1.0,True
图片17_b497897586,500,3000,1.0185326358260025,1.0,True
图片184_507faa5323,500,3000,0.9791761300765904,1.0,True
图片184_6dd94ccd86,500,3000,1.0086399496647316,1.0,True
图片190_46e98c994b,500,3000,18.695219338913393,1.0,True
图片197_80552e30c2,500,3000,22.169653491841665,1.0,True
图片197_d52078c7d4,500,3000,23.244675805230443,1.0,True
图片19_357d04a2ef,500,3000,1.00180362596591,1.0,True
图片19_b6c1315f5c,500,3000,0.9999264843014278,1.0,True
图片203_16a7222a72,500,3000,0.9678859218290266,1.0,True
图片203_d202464f39,500,3000,1.0058597466151689,1.0,True
图片204_1ffdd0ff20,500,3000,1.0078905472146962,1.0,True
图片204_6b1b2d067d,500,3000,1.0153442576284422,1.0,True
图片205_1de446d485,500,3000,1.0029731888256481,1.0,True
图片205_b3846cfa76,500,3000,0.9968035626953227,1.0,True
图片33_093a67ddfe,500,3000,12.187148509335408,1.0,True
图片35_3575e71e8c,500,3000,116.01796550975217,1.0,True
图片39_52020a09a1,500,3000,24.90076552663606,1.0,True
图片39_6dfc311fc6,500,3000,25.7220341961841,1.0,True
图片47_2e11cc21a9,500,3000,23.133009318175827,1.0,True
图片47_eb2fe59862,500,3000,23.320494266827765,1.0,True
图片48_1a4520b70c,500,3000,23.370585856147564,1.0,True
