curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片115_9640dfe869,True,,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,samples_test__unknown__unknown__图片115__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,31,1332.9183360625989,5.031707514333846,1337.9500435769328,0.6549987121716392,1.013111479284185
图片116_91935f1b71,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,samples_test__unknown__unknown__图片116__Series_1__Series_1,Times,(h),Normalized MPPT,,1.0,43,988.4424698001794,0.489345608014986,988.9318154081944,0.5063897787021453,0.9199509760980016
图片116_ee1732337d,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,samples_test__unknown__unknown__图片116__Series_2__Series_2,Times,(h),Normalized MPPT,,1.0,55,1007.0923277209376,19.139203528773095,1026.2315312497108,0.5157888968247785,0.6990717002161239
图片116_fdb42055b2,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,samples_test__unknown__unknown__图片116__Series_3__Series_3,Times,(h),Normalized MPPT,,1.0,56,1025.7421856416954,4.2193171921666135,1029.961502833862,0.9246505351593184,0.9716461257724838
图片116_d9761adfd7,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,samples_test__unknown__unknown__图片116__Series_4__Series_4,Times,(h),Normalized MPPT,,1.0,52,1007.0923277209378,0.489345608014986,1007.5816733289528,0.7977624405037714,0.9246505351593184
图片12_5b45ab6a7c,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12,samples_test__unknown__unknown__图片12__Control__Series_1,Time,(h),Normalized PCE,,1.0,8,218.663222659814,2.884146323021099,221.5473689828351,0.9112130208843316,0.9940302181025646
图片12_353c32e27e,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,samples_test__unknown__unknown__图片12__Target__Series_2,Time,(h),Normalized PCE,,1.0,51,1561.8801618558145,-9.610894971825417,1552.269266883989,0.9315266730322,1.0002805726096011
图片120_a9464bae85,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120,samples_test__unknown__unknown__图片120__Series_1__Series_1,Impact cycles,,Normalized PCE,,,40,,0.5427690784540484,48.45309986044446,0.8995544351961344,1.0064670527620452
图片120_d4cbddb567,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120,samples_test__unknown__unknown__图片120__Series_2__Series_2,Impact cycles,,Normalized PCE,,,40,,0.4199220764489464,48.33025285843936,0.5039777502022648,1.0011214218837496
图片121_3847c97967,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,samples_test__unknown__unknown__图片121__2PaCz__Series_1,Time,hours,PCE,%,1.0,50,855.9214488670177,3.535423831538054,859.4568726985558,17.104731940533462,21.61526350583913
