curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片55_6be8b50d62,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_1__Series_1.csv,图片55,samples_test__unknown__unknown__图片55__Series_1__Series_1,,,,,,44,,-0.7157516392977925,501.69024838317387,10.48917541506181,18.375812420707177
图片55_73c99b7dec,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_2__Series_2.csv,图片55,samples_test__unknown__unknown__图片55__Series_2__Series_2,,,,,,44,,-0.7157516392977925,501.69024838317387,14.778399049711044,18.929260631629656
图片57_9aec25191a,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_1__Series_1.csv,图片57,samples_test__unknown__unknown__图片57__Series_1__Series_1,,,,,,53,,-1.1484394790660415,236.25980287339044,17.574339107084292,21.544433530497933
图片57_324f05e0c3,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_2__Series_2.csv,图片57,samples_test__unknown__unknown__图片57__Series_2__Series_2,,,,,,53,,-0.2353308546335171,237.17291149782292,21.60458647630723,22.506880663446697
图片6_5ced3711d4,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_1__Series_1.csv,图片6,samples_test__unknown__unknown__图片6__Series_1__Series_1,Cycle (numbers),(numbers),Normalized PCE,,,64,,-0.2960563520629762,199.22623331099257,0.9709921481828312,1.050962316104393
图片6_1b676eeac5,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_2__Series_2.csv,图片6,samples_test__unknown__unknown__图片6__Series_2__Series_2,Cycle (numbers),(numbers),Normalized PCE,,,63,,0.020645695021237,196.3759148872346,1.0034124865294105,1.0466396043248491
图片6_624a96dcbf,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_3__Series_3.csv,图片6,samples_test__unknown__unknown__图片6__Series_3__Series_3,Cycle (numbers),(numbers),Normalized PCE,,,62,,0.020645695021237,193.20889441639247,1.0055738424191822,1.048800960214621
图片6_d2de58b3e2,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_4__Series_4.csv,图片6,samples_test__unknown__unknown__图片6__Series_4__Series_4,Cycle (numbers),(numbers),Normalized PCE,,,63,,0.3373477421054538,196.69261693431883,1.0012511306396383,1.1136416369077795
图片60_a97e914c07,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_1__Series_1.csv,图片60,samples_test__unknown__unknown__图片60__Series_1__Series_1,,,,,,43,,23.35173480128236,3778.1590376172016,0.7835244812386686,0.9776259608307594
图片60_580dd1eefa,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_2__Series_2.csv,图片60,samples_test__unknown__unknown__图片60__Series_2__Series_2,,,,,,17,,14.41171741362541,1444.8144994387376,0.7668872115593466,0.9665344477112112
图片60_2f597aa0ec,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_3__Series_3.csv,图片60,samples_test__unknown__unknown__图片60__Series_3__Series_3,,,,,,52,,5.47170002596846,5011.881437113861,0.9277141517927932,0.9665344477112112
