curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original,final_class,strict_topology_match,strict_class,rule_ensemble_stability,confidence_level,review_recommended,final_status
10.1002_solr.201900363_Fig4_F_stability_fb82ebf25f,True,,lab/data_all/x_time_h/10.1002_solr.201900363/Fig4_F_stability/accepted/10.1002_solr.201900363__Fig4__F__stability__ZnO__Series_2.csv,10.1002/solr.201900363,Fig4_F_stability,10.1002_solr.201900363__Fig4__F__stability__ZnO__Series_2,Time (h),(h),PCE (%),(%),1.0,31,398.4909949759823,163.3244828243845,561.8154778003668,0.4243234508230138,8.419498044957017,,,,,,,insufficient_duration_for_selected_window
10.1021_acsami.0c00142_Fig4_F_stability_2ee767122e,True,,lab/data_all/x_time_h/10.1021_acsami.0c00142/Fig4_F_stability/accepted/10.1021_acsami.0c00142__Fig4__F__stability__NbOₓ__Series_1.csv,10.1021/acsami.0c00142,Fig4_F_stability,10.1021_acsami.0c00142__Fig4__F__stability__NbOₓ__Series_1,Time,h,Normalized PCE,,1.0,12,137.73683930002366,0.35878706840532,138.09562636842898,0.2655579467743009,0.9922061339813631,,,,,,,insufficient_duration_for_selected_window
10.1002_aelm.202000604_Fig4_F_stability_performance_curve_f7e279072c,True,,lab/data_all/x_time_h/10.1002_aelm.202000604/Fig4_F_stability_performance_curve/accepted/10.1002_aelm.202000604__Fig4__F__stability_performance_curve__WithoutMI__Series_1.csv,10.1002/aelm.202000604,Fig4_F_stability_performance_curve,10.1002_aelm.202000604__Fig4__F__stability_performance_curve__WithoutMI__Series_1,Time,(h),Normalized PCE,(a. u.),1.0,55,566.1983702664257,26.774671484802525,592.9730417512283,0.5852734809739708,1.0027906283532713,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_aenm.202101416_Fig4_F_stability_performance_curve_d2620b11fc,True,,lab/data_all/x_time_day/10.1002_aenm.202101416/Fig4_F_stability_performance_curve/accepted/10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1.csv,10.1002/aenm.202101416,Fig4_F_stability_performance_curve,10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1,Time(Days),Days,Normalized PCE (a.u.),a.u.,24.0,54,745.3063351175336,0.446760942765164,31.501191572662396,0.7040467714450429,0.938814463182776,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1016_j.jpowsour.2020.228857_Fig4_F_stability_performance_curve_bacb191b33,True,,lab/data_all/x_time_day/10.1016_j.jpowsour.2020.228857/Fig4_F_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228857__Fig4__F__stability_performance_curve__Pristine__Series_1.csv,10.1016/j.jpowsour.2020.228857,Fig4_F_stability_performance_curve,10.1016_j.jpowsour.2020.228857__Fig4__F__stability_performance_curve__Pristine__Series_1,Time (day),day,Normalized PCE (a.u.),a.u.,24.0,47,753.6449135500412,0.0373659807704083,31.43923737868879,0.7062174561054628,0.9919731980931412,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1016_j.nanoen.2018.11.021_Fig4_F_stability_performance_curve_6e61d39c14,True,,lab/data_all/x_time_h/10.1016_j.nanoen.2018.11.021/Fig4_F_stability_performance_curve/accepted/10.1016_j.nanoen.2018.11.021__Fig4__F__stability_performance_curve__Before__Series_1.csv,10.1016/j.nanoen.2018.11.021,Fig4_F_stability_performance_curve,10.1016_j.nanoen.2018.11.021__Fig4__F__stability_performance_curve__Before__Series_1,Time,(h),Normalized PCE,,1.0,41,230.82624427285094,3.3518887746549737,234.17813304750592,0.398867313341197,1.013886424843054,,,,,,,insufficient_duration_for_selected_window
10.1016_j.orgel.2020.106052_Fig4_F_stability_performance_curve_92c0db9a86,True,,lab/data_all/x_time_h/10.1016_j.orgel.2020.106052/Fig4_F_stability_performance_curve/accepted/10.1016_j.orgel.2020.106052__Fig4__F__stability_performance_curve__Control__Series_2.csv,10.1016/j.orgel.2020.106052,Fig4_F_stability_performance_curve,10.1016_j.orgel.2020.106052__Fig4__F__stability_performance_curve__Control__Series_2,Time,(h),Normalized PCE,,1.0,54,797.9734200378883,-9.601390768891946,788.3720292689964,0.5786082960078716,1.002814120632072,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1021_acsami.0c15042_Fig4_F_stability_performance_curve_a42756fb89,True,,lab/data_all/x_time_day/10.1021_acsami.0c15042/Fig4_F_stability_performance_curve/accepted/10.1021_acsami.0c15042__Fig4__F__stability_performance_curve__w_o_F8IC__Series_1.csv,10.1021/acsami.0c15042,Fig4_F_stability_performance_curve,10.1021_acsami.0c15042__Fig4__F__stability_performance_curve__w_o_F8IC__Series_1,Time,(days),Normalized PCE,,24.0,49,697.220962269647,0.6136835128072615,29.66455694070922,0.5100650800130586,1.007560236754161,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.3390_nano13233032_Fig4_F_stability_performance_curve_1bdc541c36,True,,lab/data_all/x_time_h/10.3390_nano13233032/Fig4_F_stability_performance_curve/accepted/10.3390_nano13233032__Fig4__F__stability_performance_curve__REF-CsPbI₃__Series_1.csv,10.3390/nano13233032,Fig4_F_stability_performance_curve,10.3390_nano13233032__Fig4__F__stability_performance_curve__REF-CsPbI₃__Series_1,Time,hours,Normalized PCE,,1.0,60,205.94229836337738,-1.7999673513835646,204.1423310119938,0.4146559387355389,1.0025627186644268,,,,,,,insufficient_duration_for_selected_window
10.1039_c5ta06008g_Fig4_F_stability_performance_curve_decay_973b65b254,True,,lab/data_all/x_time_day/10.1039_c5ta06008g/Fig4_F_stability_performance_curve_decay/accepted/10.1039_c5ta06008g__Fig4__F__stability_performance_curve_decay__Without_PEI__Series_2.csv,10.1039/c5ta06008g,Fig4_F_stability_performance_curve_decay,10.1039_c5ta06008g__Fig4__F__stability_performance_curve_decay__Without_PEI__Series_2,Time,(day),Normalized PCE,,24.0,27,332.61412097815,-0.045577811260828,13.813343896162092,0.3197645425600544,0.9975469562316532,,,,,,,insufficient_duration_for_selected_window
10.1002_solr.201900319_Fig4_F_stability_performance_curve_eqe_3230169b3f,True,,lab/data_all/x_time_h/10.1002_solr.201900319/Fig4_F_stability_performance_curve_eqe/accepted/10.1002_solr.201900319__Fig4__F__stability_performance_curve_eqe__FB-OMeTPA__Series_1.csv,10.1002/solr.201900319,Fig4_F_stability_performance_curve_eqe,10.1002_solr.201900319__Fig4__F__stability_performance_curve_eqe__FB-OMeTPA__Series_1,Time,(h),Normalized PCE,%,1.0,44,119.93690860118254,-0.9453237073892992,118.99158489379325,77.80353585760469,100.08028160840075,,,,,,,insufficient_duration_for_selected_window
10.1021_acsami.8b06619_Fig4_F_stability_performance_curve_ff_087d007225,True,,lab/data_all/x_time_h/10.1021_acsami.8b06619/Fig4_F_stability_performance_curve_ff/accepted/10.1021_acsami.8b06619__Fig4__F__stability_performance_curve_ff__0.0%__Series_1.csv,10.1021/acsami.8b06619,Fig4_F_stability_performance_curve_ff,10.1021_acsami.8b06619__Fig4__F__stability_performance_curve_ff__0.0%__Series_1,Time,(h),Normorized PCE,,1.0,35,594.714855805013,-5.9876598695726955,588.7271959354404,0.6317527906615882,1.019242331425949,IFO-Slope,False,unresolved_other_shape,1.0,unresolved_other_shape,True,assigned_four_way_but_unresolved_topology
10.1002_adfm.202107710_Fig4_F_stability_performance_curve_jsc_e13925223e,True,,lab/data_all/x_time_h/10.1002_adfm.202107710/Fig4_F_stability_performance_curve_jsc/accepted/10.1002_adfm.202107710__Fig4__F__stability_performance_curve_jsc__FASnl₃__Series_1.csv,10.1002/adfm.202107710,Fig4_F_stability_performance_curve_jsc,10.1002_adfm.202107710__Fig4__F__stability_performance_curve_jsc__FASnl₃__Series_1,Time,(h),Normalized PCE,,1.0,30,548.9984899303174,-2.660336078380652,546.3381538519368,0.4445275229933434,1.0214107676779096,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1039_d0ta06033j_Fig4_F_stability_performance_curve_pattern_aba636b85d,True,,lab/data_all/x_time_h/10.1039_d0ta06033j/Fig4_F_stability_performance_curve_pattern/accepted/10.1039_d0ta06033j__Fig4__F__stability_performance_curve_pattern__0%CTAC__Series_2.csv,10.1039/d0ta06033j,Fig4_F_stability_performance_curve_pattern,10.1039_d0ta06033j__Fig4__F__stability_performance_curve_pattern__0%CTAC__Series_2,Time,(Hour),PCE,(%),1.0,43,168.97547104108733,-1.7005968553305664,167.27487418575677,0.5991669491121634,17.784313945528766,,,,,,,insufficient_duration_for_selected_window
10.1002_adfm.201801654_Fig4_F_stability_performance_curve_pce_04386fa072,True,,lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654,Fig4_F_stability_performance_curve_pce,10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,Time,(day),Normalized PCE,,24.0,47,472.3744498688373,-0.0097415114201053,19.67252723311478,0.4191540677348719,1.0035646390205453,,,,,,,insufficient_duration_for_selected_window
10.1002_adma.201606608_Fig4_F_stability_performance_curve_pce_5b795e9eb1,True,,lab/data_all/x_time_h/10.1002_adma.201606608/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.201606608__Fig4__F__stability_performance_curve_pce__MAPbI₃_device__Series_2.csv,10.1002/adma.201606608,Fig4_F_stability_performance_curve_pce,10.1002_adma.201606608__Fig4__F__stability_performance_curve_pce__MAPbI₃_device__Series_2,Time,hours,Normalized PCE,,1.0,55,970.8006649928134,9.51776061291224,980.3184256057256,0.7250114721439167,0.9862339877371272,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
