dataset,n_nodes,topology,qe_primary_seed,qe_mean_across_seeds,qe_std_across_seeds,te_primary_seed,te_mean_across_seeds,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,max_centroid_correlation,min_centroid_rmse,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction
paper_aligned_min4,2,1x2,2.075003965087883,2.075003965087883,0.0,0.0,0.0,1.0,1.0,0.6919210616992569,0.585408555533759,3184.407513610077,0.9869378376325038,0.3168899196918445,0,272,0.1523809523809524,1513,0.8476190476190476
paper_aligned_min4,3,1x3,1.4999954889510088,1.4999954735863608,1.2545182630321584e-08,0.0,0.0752941176470588,1.0,1.0,0.5982305837660322,0.6336390587130668,3599.558712777176,0.9909934377569816,0.1485620724829726,0,136,0.0761904761904762,1176,0.6588235294117647
paper_aligned_min4,4,2x2,1.281064516884003,1.281064518364616,1.8133731360920438e-09,0.0,0.0,1.0,1.0,0.5478038351836436,0.7204520738872547,3591.636730143192,0.999424246573643,0.1094672904877807,0,78,0.0436974789915966,1014,0.5680672268907563
paper_aligned_min4,5,1x5,1.109606323258153,1.1096063202888435,2.810555628281843e-09,0.0,0.2498599439775909,1.0,1.0,0.4878562373115631,0.7814197588074061,3434.128953503367,0.9996656120207368,0.0747568849896571,0,66,0.0369747899159663,843,0.4722689075630252
paper_aligned_min4,6,2x3,1.0369711141005815,1.036971110551797,2.331828440524315e-09,0.0,0.04593837535014,1.0,1.0,0.481329425389438,0.816134395145951,3369.1076881419513,0.999326689268618,0.0717247983666016,0,24,0.0134453781512605,823,0.4610644257703081
paper_aligned_min4,7,1x7,0.94945119618328,0.9494511959501126,6.206736690757575e-10,0.2621848739495798,0.3085714285714286,1.0,1.0,0.4260177644181669,0.8627711365002776,3149.694509326329,0.9995175791071674,0.0522333480841083,0,22,0.0123249299719887,664,0.3719887955182073
paper_aligned_min4,8,2x4,0.8823621563926971,0.8843389118228083,0.0024210208638909,0.0,0.0,0.975485299172174,0.9591421652869568,0.3885003182908181,0.9287440125623414,2932.023755451365,0.9995349831271434,0.038507892987347,0,21,0.0117647058823529,540,0.3025210084033613
paper_aligned_min4,9,3x3,0.8615820686334792,0.8558895306551586,0.0069138381084119,0.2330532212885154,0.2014565826330532,0.9414066164823026,0.8804596001574905,0.391659386674844,0.907694823418124,2893.9629755180235,0.9997097498797064,0.0385109797815175,0,17,0.0095238095238095,540,0.3025210084033613
paper_aligned_min4,10,2x5,0.8190609469351566,0.8192424251628241,0.0002415994984235,0.0,0.0209523809523809,0.998660459721829,0.9975659471935951,0.3860299997988096,0.9356729803894858,2803.416216031319,0.9999348382200866,0.0371088461687226,0,17,0.0095238095238095,529,0.2963585434173669
paper_aligned_min4,16,4x4,0.6986980447155481,0.6965917519137921,0.0018873558365094451,0.16414565826330532,0.2959103641456583,0.7296757172236233,0.5595588213776751,0.3092294581976396,1.0291631062724234,2338.539837731835,0.9997346128557291,0.021938348691646892,0,4,0.002240896358543417,348,0.1949579831932773
