,c0,c1,c2,c3,c4,c5,c6,c7,c8
c0,0.0,4.558387168966056,12.772502061894343,1.5345436182583903,2.060922630228088,19.44469616655284,2.7323986722051528,5.3243170141990745,7.946290605138607
c1,4.558387168966056,0.0,8.22621401242282,6.088264230446987,2.501814197626249,14.97133334491531,7.282164919668219,7.36525699014158,3.4021585548283557
c2,12.772502061894343,8.22621401242282,0.0,14.292492958368351,10.712174765577227,6.904312417078933,15.4772179842286,14.121536242862,4.828625785214189
c3,1.5345436182583903,6.088264230446987,14.292492958368351,0.0,3.5874117482734906,20.932025420463372,1.1994021254647456,5.272679897971794,9.468337257405386
c4,2.060922630228088,2.501814197626249,10.712174765577227,3.5874117482734906,0.0,17.40187732691337,4.781193502848133,5.851653210416846,5.886203977535566
c5,19.44469616655284,14.97133334491531,6.904312417078933,20.932025420463372,17.40187732691337,0.0,22.091355904456485,19.97791202697121,11.594637944164365
c6,2.7323986722051528,7.282164919668219,15.4772179842286,1.1994021254647456,4.781193502848133,22.091355904456485,0.0,5.482675959155358,10.655510334983902
c7,5.3243170141990745,7.36525699014158,14.121536242862,5.272679897971794,5.851653210416846,19.97791202697121,5.482675959155358,0.0,9.83004401953494
c8,7.946290605138607,3.4021585548283557,4.828625785214189,9.468337257405386,5.886203977535566,11.594637944164365,10.655510334983902,9.83004401953494,0.0
