model,sigma,learning_rate,quantisation_error,ARI_vs_main,NMI_vs_main
sigma0.3_lr0.1,0.3,0.1,1.284634705626934,1.0,1.0
sigma0.5_lr0.3,0.5,0.3,1.2941458278017195,0.9620441777602694,0.9395171627664897
