k,wcss_inertia
2,12711.077835871685
3,7101.767557663943
4,5111.360708174249
5,4171.301126334399
6,3526.330291590688
7,3177.176914698154
8,2857.1089149267955
9,2626.904645610428
10,2420.3596412104985
