metadata_source,query_ids,best_query_rank,openalex_id,doi,title,abstract,publication_date,year,type,venue,publisher,authors,cited_by_count,landing_url,open_pdf_url,is_oa,dedup_key,screen_status,relevance_score,core_perovskite_pv,has_stability_terms,has_curve_time_terms,has_nonmonotonic_terms,has_clustering_terms,is_review_title,doi_url
OpenAlex,oa_light_soaking_recovery,66,https://openalex.org/W2993405996,10.1021/acsami.9b14619,Effect of Metal Electrodes on Aging-Induced Performance Recovery in Perovskite Solar Cells,"For commercialization of perovskite solar cells (PSCs), it is important to substitute the alternative electrode for Au to decrease the unit cost. From the early stage, Ag exhibits a potential to be a good counter electrode in PSCs; however, there is an abnormal s-shaped J – V curve with the Ag electrode, and it is recovered as time passes. The perception of the aging-induced recovery process and refutation of the raised stability issues are required for commercial application of Ag electrodes. Herein, we compared the aging effect of PSCs with Ag and Au electrodes and found that only devices with Ag electrodes have a dramatical aging-induced recovery process. We observed the change of photoelectronic properties only in the devices with Ag electrodes as time passes, which mainly contributes to recovery of the s-shaped J – V curve. We verified the work function change of an aged Ag electrode and its mechanism by photoelectron spectroscopy analysis. By comparing the light stability under 1 sun intensity illumination, we can assure the practical stability of Ag electrodes in case of being encapsulated. This work suggests the profound understanding of the aging-induced recovery process of PSCs and the possibility of commercial application of Ag electrodes.",2019-12-04,2019,article,ACS Applied Materials & Interfaces,,Dong Geon Lee; Min‐cheol Kim; Shen Wang; Byeong Jo Kim; Ying Shirley Meng; Hyun Suk Jung,37,https://doi.org/10.1021/acsami.9b14619,,True,doi:10.1021/acsami.9b14619,A_curve_likely_original,37,True,True,True,True,True,False,https://doi.org/10.1021/acsami.9b14619
Crossref,cr_reversible_degradation,8,,10.1002/solr.202200281,Reversible Degradation in Hole Transport Layer‐Free Carbon‐Based Perovskite Solar Cells,"The rationale for ambient degradation behaviors in hole transport layer (HTL)‐free carbon‐based perovskite solar cells (PSCs) still remains a mystery, although carbon‐based PSCs have been the frontrunner among the emerging next‐generation photovoltaics owing to their low cost of materials and fabrication process, as well as the exceptional durability. Herein, the long‐term stability of HTL‐free carbon‐based PSCs (H‐C‐PSCs) in the ambient air environment is investigated to thoroughly understand and identify the governing chemistry during the degradation. Specifically, a reversible degradation phenomenon is observed along with an anomalous S‐shape of current–voltage curves involving only reduction of fill factor (FF), almost without impact for short‐circuit current density and open‐circuit voltage. Furthermore, a minute‐heating treatment will eliminate the reversible degradation which can be attributed to the reversible formation of intermediate hydrate at the interface between perovskite and carbon contact. This provides a new perspective for the stability issue of H‐C‐PSCs.",2022-05-08,2022,journal-article,Solar RRL,Wiley,Yuan-Bo Yang; Peng Chen; Hong-Shi Li; Qian Zhao; Tian-Tian Li; Yue Wu; Yu Zhang; Xue-Ping Gao; Guo-Ran Li,5,https://doi.org/10.1002/solr.202200281,,False,doi:10.1002/solr.202200281,A_curve_likely_original,35,True,True,True,True,True,False,https://doi.org/10.1002/solr.202200281
OpenAlex,oa_operational_stability;oa_pce_time_curve,35,https://openalex.org/W4378194809,10.1126/science.ade9463,Lead-chelating hole-transport layers for efficient and stable perovskite minimodules,"The defective bottom interfaces of perovskites and hole-transport layers (HTLs) limit the performance of p-i-n structure perovskite solar cells. We report that the addition of lead chelation molecules into HTLs can strongly interact with lead(II) ion (Pb 2+ ), resulting in a reduced amorphous region in perovskites near HTLs and a passivated perovskite bottom surface. The minimodule with an aperture area of 26.9 square centimeters has a power conversion efficiency (PCE) of 21.8% (stabilized at 21.1%) that is certified by the National Renewable Energy Laboratory (NREL), which corresponds to a minimal small-cell efficiency of 24.6% (stabilized 24.1%) throughout the module area. Small-area cells and large-area minimodules with lead chelation molecules in HTLs had a light soaking stability of 3010 and 2130 hours, respectively, at an efficiency loss of 10% from the initial value under 1-sun illumination and open-circuit voltage conditions.",2023-05-25,2023,article,Science,,Chengbin Fei; Nengxu Li; Mengru Wang; Xiaoming Wang; Hangyu Gu; Bo Chen; Zhao Zhang; Zhenyi Ni; Haoyang Jiao; Wenzhan Xu; Zhifang Shi; Yanfa Yan; Jinsong Huang,362,https://doi.org/10.1126/science.ade9463,,True,doi:10.1126/science.ade9463,A_curve_likely_original,34,True,True,True,True,False,False,https://doi.org/10.1126/science.ade9463
OpenAlex,oa_pce_time_curve,171,https://openalex.org/W2890564463,10.1038/s41467-018-06204-2,In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,"Abstract Long-term operational stability is the foremost issue delaying the commercialization of perovskite solar cells (PSCs). Here we demonstrate an in-situ cross-linking strategy for operationally stable inverted MAPbI3 PSCs through the incorporation of a cross-linkable organic small molecule additive trimethylolpropane triacrylate (TMTA) into perovskite films. TMTA can chemically anchor to grain boundaries and then in-situ cross-link to a robust continuous network polymer after thermal treatment, thus enhancing the thermal, water-resisting and light-resisting properties of organic/perovskite films. As a result, the cross-linked PSCs exhibit 590-fold improvement in operational stability, retaining nearly 80% of their initial efficiency after continuous power output for 400 h at maximum power point under full-sun AM 1.5 G illumination of Xenon lamp without any UV-filter. In addition, under moisture or thermal (85 °C) conditions, cross-linked TMTA-based PSCs also show excellent stability with over 90% of their initial or post burn-in efficiency after aging for over 1000 h.",2018-09-12,2018,article,Nature Communications,,Xiaodong Li; Wenxiao Zhang; Ying‐Chiao Wang; Wenjun Zhang; Hai-Qiao Wang; Junfeng Fang,330,https://doi.org/10.1038/s41467-018-06204-2,https://www.nature.com/articles/s41467-018-06204-2.pdf,True,doi:10.1038/s41467-018-06204-2,A_curve_likely_original,34,True,True,True,True,False,False,https://doi.org/10.1038/s41467-018-06204-2
OpenAlex,oa_curve_clustering;oa_pce_time_curve,29,https://openalex.org/W3179866831,10.1126/sciadv.abg0633,Efficient and stable inverted perovskite solar cells with very high fill factors via incorporation of star-shaped polymer,"Stabilizing high-efficiency perovskite solar cells (PSCs) at operating conditions remains an unresolved issue hampering its large-scale commercial deployment. Here, we report a star-shaped polymer to improve charge transport and inhibit ion migration at the perovskite interface. The incorporation of multiple chemical anchor sites in the star-shaped polymer branches strongly controls the crystallization of perovskite film with lower trap density and higher carrier mobility and thus inhibits the nonradiative recombination and reduces the charge-transport loss. Consequently, the modified inverted PSCs show an optimal power conversion efficiency of 22.1% and a very high fill factor (FF) of 0.862, corresponding to 95.4% of the Shockley-Queisser limited FF (0.904) of PSCs with a 1.59-eV bandgap. The modified devices exhibit excellent long-term operational and thermal stability at the maximum power point for 1000 hours at 45°C under continuous one-sun illumination without any significant loss of efficiency.",2021-07-07,2021,article,Science Advances,,Qi Cao; Yongjiang Li; Hong Zhang; Jiabao Yang; Jian Han; Ting Xu; Shuangjie Wang; Zishuai Wang; Bingyu Gao; Junsong Zhao; Xiaoqiang Li; Xiaoyan Ma; Xiaoyan Ma; Shaik M. Zakeeruddin; Wei E. I. Sha; Xuanhua Li; Xuanhua Li; Michaël Grätzel,323,https://doi.org/10.1126/sciadv.abg0633,https://www.science.org/doi/pdf/10.1126/sciadv.abg0633?download=true,True,doi:10.1126/sciadv.abg0633,A_curve_likely_original,34,True,True,True,False,True,False,https://doi.org/10.1126/sciadv.abg0633
OpenAlex,oa_operational_stability,45,https://openalex.org/W4399500807,10.1038/s41467-024-49395-7,Silver coordination-induced n-doping of PCBM for stable and efficient inverted perovskite solar cells,"Abstract The bidirectional migration of halides and silver causes irreversible chemical corrosion to the electrodes and perovskite layer, affecting long-term operation stability of perovskite solar cells. Here we propose a silver coordination-induced n-doping of [6,6]-phenyl-C 61 -butyric acid methyl ester strategy to safeguard Ag electrode against corrosion and impede the migration of iodine within the PSCs. Meanwhile, the coordination between DCBP and silver induces n-doping in the PCBM layer, accelerating electron extraction from the perovskite layer. The resultant PSCs demonstrate an efficiency of 26.03% (certified 25.51%) with a minimal non-radiative voltage loss of 126 mV. The PCE of resulting devices retain 95% of their initial value after 2500 h of continuous maximum power point tracking under one-sun irradiation, and > 90% of their initial value even after 1500 h of accelerated aging at 85 °C and 85% relative humidity.",2024-06-10,2024,article,Nature Communications,,Cheng Gong; Jing Li; Huaxin Wang; Cong Zhang; Qixin Zhuang; Awen Wang; Zhiyuan Xu; Wensi Cai; Ru Li; Xiong Li; Zhigang Zang,140,https://doi.org/10.1038/s41467-024-49395-7,,True,doi:10.1038/s41467-024-49395-7,A_curve_likely_original,34,True,True,True,True,False,False,https://doi.org/10.1038/s41467-024-49395-7
OpenAlex,oa_operational_stability,105,https://openalex.org/W4399964114,10.1038/s41586-024-07705-5,Water- and heat-activated dynamic passivation for perovskite photovoltaics,"Abstract Further improvements in perovskite solar cells require better control of ionic defects in the perovskite photoactive layer during the manufacturing stage and their usage 1–5 . Here we report a living passivation strategy using a hindered urea/thiocarbamate bond 6–8 Lewis acid–base material (HUBLA), where dynamic covalent bonds with water and heat-activated characteristics can dynamically heal the perovskite to ensure device performance and stability. Upon exposure to moisture or heat, HUBLA generates new agents and further passivates defects in the perovskite. This passivation strategy achieved high-performance devices with a power conversion efficiency (PCE) of 25.1 per cent. HUBLA devices retained 94 per cent of their initial PCE for approximately 1,500 hours of ageing at 85 degrees Celsius in nitrogen and maintained 88 per cent of their initial PCE after 1,000 hours of ageing at 85 degrees Celsius and 30 per cent relative humidity in air.",2024-06-24,2024,article,Nature,,Wei‐Ting Wang; Philippe Holzhey; Ning Zhou; Qiang Zhang; Suer Zhou; Elisabeth A. Duijnstee; Kevin J. Rietwyk; Jeng‐Yu Lin; Yijie Mu; Yanfeng Zhang; Udo Bach; Chun‐Guey Wu; Hin‐Lap Yip; Henry J. Snaith; Shien‐Ping Feng,103,https://doi.org/10.1038/s41586-024-07705-5,https://www.nature.com/articles/s41586-024-07705-5.pdf,True,doi:10.1038/s41586-024-07705-5,A_curve_likely_original,34,True,True,True,True,False,False,https://doi.org/10.1038/s41586-024-07705-5
OpenAlex,oa_pce_time_curve,128,https://openalex.org/W2598902929,10.1039/c7nr00784a,Gold and iodine diffusion in large area perovskite solar cells under illumination,"Operational stability is the main issue hindering the commercialisation of perovskite solar cells. Here, a long term light soaking test was performed on large area hybrid halide perovskite solar cells to investigate the morphological and chemical changes associated with the degradation of photovoltaic performance occurring within the devices. Using Scanning Transmission Electron Microscopy (STEM) in conjunction with EDX analysis on device cross sections, we observe the formation of gold clusters in the perovskite active layer as well as in the TiO2 mesoporous layer, and a severe degradation of the perovskite due to iodine migration into the hole transporter. All these phenomena are associated with a drastic drop of all the photovoltaic parameters. The use of advanced electron microscopy techniques and data processing provides new insights on the degradation pathways, directly correlating the nanoscale structure and chemistry to the macroscopic properties of hybrid perovskite devices.",2017-01-01,2017,article,Nanoscale,,S. Cacovich; Lucio Cinà; Fabio Matteocci; Giorgio Divitini; Paul A. Midgley; Aldo Di Carlo; Caterina Ducati,169,https://doi.org/10.1039/c7nr00784a,,True,doi:10.1039/c7nr00784a,B_perovskite_stability_related,33,True,True,False,True,True,False,https://doi.org/10.1039/c7nr00784a
OpenAlex,oa_reversible_degradation,61,https://openalex.org/W4393971126,10.1002/adma.202400852,Dynamic Reversible Oxidation‐Reduction of Iodide Ions for Operationally Stable Perovskite Solar Cells under ISOS‐L‐3 Protocol,"Abstract Despite rapid advancements in the photovoltaic efficiencies of perovskite solar cells (PSCs), their operational stability remains a significant challenge for commercialization. This instability mainly arises from light‐induced halide ion migration and subsequent oxidation into iodine (I 2 ). The situation is exacerbated when considering the heat effects at elevated temperatures, leading to the volatilization of I 2 and resulting in irreversible device degradation. Mercaptoethylammonium iodide (ESAI) is thus incorporated into perovskite as an additive to inhibit the oxidation of iodide anion (I − ) and the light‐induced degradation pathway of FAPbI 3 →FAI+PbI 2 . Additionally, the formation of a thiol‐disulfide/I − ‐I 2 redox pair within the perovskite film provides a dynamic mechanism for the continuous reduction of I 2 under light and thermal stresses, facilitating the healing of iodine‐induced degradations. This approach significantly enhances the operational stability of PSCs. Under the ISOS‐L‐3 testing protocol (maximum power point (MPP) tracking in an environment with relative humidity of ≈50% at ≈65 °C), the treated PSCs maintain 97% of their original power conversion efficieney (PCE) after 300 h of aging. In contrast, control devices exhibit almost complete degradation, primarily due to rapid thermal‐induced I 2 volatilization. These results demonstrate a promising strategy to overcome critical stability challenges in PSCs, particularly in scenarios involving thermal effects.",2024-04-05,2024,article,Advanced Materials,,Xiaoyi Lü; Kexuan Sun; Yaohua Wang; Chang Liu; Yuanyuan Meng; Xiting Lang; Chuanxiao Xiao; Ruijia Tian; Zhenhua Song; Zewei Zhu; Ming Yang; Yang Bai; Ziyi Ge,94,https://doi.org/10.1002/adma.202400852,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400852,True,doi:10.1002/adma.202400852,A_curve_likely_original,33,True,True,True,True,False,False,https://doi.org/10.1002/adma.202400852
OpenAlex,oa_curve_clustering;oa_operational_stability,104,https://openalex.org/W4406275628,10.1038/s41467-025-55815-z,Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,"Suppressing deep-level defects at the perovskite bulk and surface is indispensable for reducing the non-radiative recombination losses and improving efficiency and stability of perovskite solar cells (PSCs). In this study, two Lewis bases based on chalcogen-thiophene (n-Bu4S) and selenophene (n-Bu4Se) having tetra-pyridine as bridge are developed to passivate defects in perovskite film. The uncoordinated Pb2+ and iodine vacancy defects can interact with chalcogen-concave group and pyridine group through the formation of the Lewis acid-base adduct, particularly both the defects can be surrounded by concave molecules, resulting in effective suppression charge recombination. This approach enables a power conversion efficiency (PCE) as high as 25.37% (25.18% certified) for n-i-p PSCs with stable operation at 65 °C and 1-sun illumination for 1300 hours in N2 (ISOS-L-2 protocol), retaining 94% of the initial efficiency. Our work provides insight into the bowl-shaped Lewis base in defects passivation by coordinated strategy for high-performance photovoltaic devices. Suppressing deep-level defects at the perovskite bulk and surface is critical to reduce the non-radiative recombination losses in perovskite solar cells. Here, authors employ concave-shaped chalcogen molecules for defect passivation, achieving certified efficiency of 25.18% for stable n-i-p devices.",2025-01-11,2025,article,Nature Communications,,Muhammad Azam; Yao Ma; Boxue Zhang; Xiangfeng Shao; Zhongquan Wan; Huaibiao Zeng; Haomiao Yin; Junsheng Luo; Chunyang Jia,67,https://doi.org/10.1038/s41467-025-55815-z,https://www.nature.com/articles/s41467-025-55815-z.pdf,True,doi:10.1038/s41467-025-55815-z,A_curve_likely_original,33,True,True,True,False,True,False,https://doi.org/10.1038/s41467-025-55815-z
OpenAlex,oa_light_soaking_recovery,46,https://openalex.org/W3139542098,10.1021/acssuschemeng.0c09015,Impact of P3HT Regioregularity and Molecular Weight on the Efficiency and Stability of Perovskite Solar Cells,"High Resolution Image Download MS PowerPoint Slide The commercialization of perovskite solar cells (PSCs) has seen an important limitation in the instability that afflicts the hole-transporting layer (HTL), namely, spiro-OMeTAD, used in high-efficiency devices. The latter is, in turn, relatively expensive, undermining the sustainability of the device. Its replacement with polymeric scaffolds, such as poly(3-hexylthiophene) (P3HT), will solve these issues. In this work, we adopted various sustainable synthetic methods to obtain four different homemade P3HTs with different molecular weights (MWs) and regioregularities (RRs), leading to different structural properties. They are implemented as HTLs in PSCs, and the effect of their properties on the efficiency and thermal stability of devices is thoroughly discussed. The highest efficiency is obtained with the highest MW and low-RR polymer (17.6%) owing to the more sustainable approach, but a very promising value is also reached with a lower-MW but fully regioregular polymer (15%). Finally, large-area devices with an efficiency of 16.7%, fabricated with a high-MW P3HT, show more than 1000 h (T80 = 1108 h) of stability under accelerated thermal stress tests (85 °C) out of glovebox while keeping over 85% of the initial efficiency of an unencapsulated device after more than 3000 min under continuous light soaking (AM 1.5G).",2021-04-01,2021,article,ACS Sustainable Chemistry & Engineering,,Narges Yaghoobi Nia; Matteo Bonomo; Mahmoud Zendehdel; Enrico Lamanna; Mohamed M. H. Desoky; Barbara Paci; Francesca Zurlo; Amanda Generosi; Claudia Barolo; Guido Viscardi; Pierluigi Quagliotto; Aldo Di Carlo,66,https://doi.org/10.1021/acssuschemeng.0c09015,https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.0c09015,True,doi:10.1021/acssuschemeng.0c09015,A_curve_likely_original,33,True,True,True,True,False,False,https://doi.org/10.1021/acssuschemeng.0c09015
Crossref,cr_light_soaking_recovery,55,,10.1002/adma.202006910,Stabilizing Fullerene for Burn‐in‐Free and Stable Perovskite Solar Cells under Ultraviolet Preconditioning and Light Soaking,"Abstract It is crucial to make perovskite solar cells sustainable and have a stable operation under natural light soaking before they become commercially acceptable. Herein, a small amount of the small molecule bathophenanthroline (Bphen) is introduced into [6,6]‐phenyl‐C 61 ‐butyric acid methyl ester and it is found that Bphen can stabilize the C 60 ‐cage well through formation of much more thermodynamically stable charge‐transfer complexes. Such a strengthened complex is used as an interlayer at the in‐light perovskite/SnO 2 side to achieve a champion device with efficiency of 23.09% (certified 22.85%). Most importantly, the stability of the resulting devices can be close to meeting the requirements of the International Electrotechnical Commission 61215 standard under simulated UV preconditioning and light‐soaking testing. They can retain over 95% and 92% of their initial efficiencies after 1100 h UV irradiation and 1000 h continuous illumination of maximum power point tracking at 60 °C, respectively.",2021-02-04,2021,journal-article,Advanced Materials,Wiley,Pengjie Hang; Jiangsheng Xie; Chenxia Kan; Biao Li; Yiqiang Zhang; Pingqi Gao; Deren Yang; Xuegong Yu,64,https://doi.org/10.1002/adma.202006910,,False,doi:10.1002/adma.202006910,A_curve_likely_original,33,True,True,True,True,False,False,https://doi.org/10.1002/adma.202006910
OpenAlex,oa_operational_stability,123,https://openalex.org/W4410809570,10.1126/sciadv.adu3493,Efficient perovskite solar modules enabled by a UV-stable and high-conductivity hole transport material,"Ultraviolet (UV) radiation poses a substantial challenge to the stability of prevalent p-i-n (positive-intrinsic-negative) perovskite solar cells (PSCs), demanding more robust hole-transport layers (HTLs) due to light incident from the HTL side. Here, we unveil that commonly used self-assembled monolayer (SAM)-type HTLs suffer from poor UV stability that causes irreversible damage to hole extraction and impairs device stability. To address this issue, we develop a polymeric and UV-stable HTL named Poly-2PACz, which exhibits strong binding to substrates and exceptional UV resistance over SAM-type HTLs. The PSCs blade-coated under ambient conditions using Poly-2PACz HTL achieved a remarkable efficiency of 26.0% and outstanding UV stability. Our cells retain 80% of the initial PCE even after about 500 hours of high-intensity UV illumination [7.7 times higher than that of air mass 1.5 global (AM 1.5G) solar spectrum]. Furthermore, Poly-2PACz exhibits good wettability and high conductance, enabling the fabrication of blade-coated minimodules with an aperture efficiency of 22.2% and excellent uniformity.",2025-05-28,2025,article,Science Advances,,Tianxiao Liu; Zhijun Ren; Yangyang Liu; Yaoyao Zhang; Jing Liang; Fangwen Cheng; Yiran Li; Xiaoyu Shi; Yunjie Dou; Xiaodong Hu; Lingyuan Wang; Siwei Luo; Feifei Wang; Xiaoxiao Peng; Yu Zhao; Wei Wang; Yi Cao; Feng Gao; Shangshang Chen,59,https://doi.org/10.1126/sciadv.adu3493,,True,doi:10.1126/sciadv.adu3493,A_curve_likely_original,33,True,True,True,True,False,False,https://doi.org/10.1126/sciadv.adu3493
OpenAlex,oa_operational_stability,93,https://openalex.org/W4285589789,10.1002/adma.202205309,Hot‐Casting‐Assisted Liquid Additive Engineering for Efficient and Stable Perovskite Solar Cells,"High-performance inorganic-organic lead halide perovskite solar cells (PSCs) are often fabricated with a liquid additive such as dimethyl sulfoxide (DMSO), which retards crystallization and reduces roughness and pinholes in the perovskite layers. However, DMSO can be trapped during perovskite film formation and induce voids and undesired reaction byproducts upon later processing steps. Here, it is shown that the amount of residual DMSO can be reduced in as-spin-coated films significantly through use of preheated substrates, or a so-called hot-casting method. Hot casting increases the perovskite film thickness given the same concentration of solutions, which allows for reducing the perovskite solution concentration. By reducing the amount of DMSO in proportion to the concentration of perovskite precursors and using hot casting, it is possible to fabricate perovskite layers with improved perovskite-substrate interfaces by suppressing the formation of byproducts, which increase trap density and accelerate degradation of the perovskite layers. The best-performing PSCs exhibit a power conversion efficiency (PCE) of 23.4% (23.0% stabilized efficiency) under simulated solar illumination. Furthermore, encapsulated devices show considerably reduced post-burn-in decay, retaining 75% and 90% of their initial and post-burn-in efficiencies after 3000 h of operation with maximum power point tracking (MPPT) under high power of ultraviolet (UV)-containing continuous light exposure.",2022-07-16,2022,article,Advanced Materials,,Hanul Min; Junnan Hu; Zhaojian Xu; Tianran Liu; Saeed‐Uz‐Zaman Khan; Kwangdong Roh; Yueh‐Lin Loo; Barry P. Rand,57,https://doi.org/10.1002/adma.202205309,,True,doi:10.1002/adma.202205309,A_curve_likely_original,33,True,True,True,True,False,False,https://doi.org/10.1002/adma.202205309
