quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_overlap_ratio,cluster_sizes,setting,source,k,layout,sigma,learning_rate,random_order,seed,iterations
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,371;586;56;189,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,0,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,56;189;371;586,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,11,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,189;586;56;371,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,23,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,189;56;586;371,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,42,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,56;189;371;586,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,77,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,586;371;189;56,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,101,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,56;371;189;586,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,131,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,189;56;586;371,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,173,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,189;586;56;371,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,211,50000
1.0070429903617162,0.04499136276471832,0.0,0.505390582725207,4,0,56,0.04658901830282862,0.036930217358899814,0.10797014770245013,2.9236261094874596,189;586;56;371,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,257,50000
