k,sigma,lr,seed,iterations,grid,qe,occupied,subset
12,0.5,0.3,101,50000,3x4,0.026836469631136693,12,P15_n153_sensitivity
13,0.5,0.3,11,50000,1x13,0.025538279742217136,13,P15_n153_sensitivity
13,0.5,0.3,29,50000,1x13,0.02551282916778917,13,P15_n153_sensitivity
13,0.5,0.3,47,50000,1x13,0.025980750407845622,13,P15_n153_sensitivity
13,0.5,0.3,71,50000,1x13,0.025588016409257907,13,P15_n153_sensitivity
13,0.5,0.3,101,50000,1x13,0.025588954209753313,13,P15_n153_sensitivity
14,0.5,0.3,11,50000,2x7,0.02387734971268864,14,P15_n153_sensitivity
14,0.5,0.3,29,50000,2x7,0.02401372199519003,14,P15_n153_sensitivity
14,0.5,0.3,47,50000,2x7,0.024475148877125586,14,P15_n153_sensitivity
14,0.5,0.3,71,50000,2x7,0.024368184013248112,14,P15_n153_sensitivity
14,0.5,0.3,101,50000,2x7,0.024130264939933487,14,P15_n153_sensitivity
15,0.5,0.3,11,50000,3x5,0.023000320165118594,15,P15_n153_sensitivity
15,0.5,0.3,29,50000,3x5,0.02365715191271205,15,P15_n153_sensitivity
15,0.5,0.3,47,50000,3x5,0.023119047484018655,15,P15_n153_sensitivity
15,0.5,0.3,71,50000,3x5,0.022977216832429804,15,P15_n153_sensitivity
15,0.5,0.3,101,50000,3x5,0.023670930728272484,15,P15_n153_sensitivity
16,0.5,0.3,11,50000,4x4,0.02289412312890281,16,P15_n153_sensitivity
16,0.5,0.3,29,50000,4x4,0.02254197771656622,16,P15_n153_sensitivity
16,0.5,0.3,47,50000,4x4,0.022380601014542655,16,P15_n153_sensitivity
16,0.5,0.3,71,50000,4x4,0.02265131975655033,16,P15_n153_sensitivity
16,0.5,0.3,101,50000,4x4,0.022414505211313603,16,P15_n153_sensitivity
