cluster_id,n_curves,fraction,pce_0h_mean,pce_20h_mean,pce_50h_mean,pce_100h_mean,pce_200h_mean,initial_gain_mean,peak_time_h_median,recovery_mean,dominant_rule_shape,dominant_rule_shape_fraction,mean_bmu_distance,median_bmu_distance
0,41,0.0286512928022362,1.0,0.8475888124151394,0.6430873944333052,0.4437174948981182,0.2229077711384861,0.0,0.0,9.624934966855239e-05,early_drop,0.975609756097561,0.84134901514898,0.7655069066108154
1,54,0.03773584905660377,0.9974437971889422,0.9557103383244859,0.8815322586344002,0.6991380409179383,0.3146724614407642,0.0025510543491493957,0.0,0.0,rapid_decay,0.7037037037037037,0.755435000929929,0.714641951215561
2,121,0.08455625436757512,0.9951913010552703,0.9796349516518941,0.9425254822289939,0.8582689117184987,0.6608006625193104,0.004805017512273117,0.0,0.00016896077004367567,rapid_decay,0.5537190082644629,0.4188005637285988,0.3497307436815144
3,336,0.2348008385744235,0.9963962209355695,0.981179790925484,0.9553652027088158,0.9117533993973469,0.8346563617204271,0.0036025386569372457,0.0,0.001359923337981187,moderate_decay,0.8422619047619048,0.2832312419964502,0.23713863422663983
4,579,0.40461215932914046,0.9959881654263051,0.9929336365750291,0.9865435108392858,0.9724577771450584,0.9390456691603887,0.004011145271121246,0.0,0.0013352885362076952,stable,0.7737478411053541,0.22079625289222174,0.1878438334488882
5,10,0.0069881201956673656,1.0,0.5978480412146496,0.49749339566772444,0.38277867048377284,0.40895913823270635,0.0,0.0,0.12026959805709221,early_drop,0.6,2.0671737745305765,1.6553907623730808
6,28,0.019566736547868623,1.0,0.798138596021908,0.7053651723493995,0.6520047538318428,0.5591697058749053,0.0,0.0,0.0004976037110581263,early_drop,1.0,0.844903774149358,0.81516367107929
7,78,0.05450733752620545,1.0,0.9274868817366808,0.8188505748819862,0.6989516785179235,0.5520368764975727,0.0,0.0,0.00038399756769762596,rapid_decay,0.5,0.5043936669641267,0.49370222912494
8,133,0.09294199860237597,0.9996237280358908,0.9445892137145072,0.8838559800400505,0.8210091207062445,0.7326704561083786,0.0003760664173461045,0.0,0.0013737586404298184,moderate_decay,0.44360902255639095,0.35486025679668365,0.29810931728706325
9,51,0.03563941299790356,0.9035305202583607,0.9433121441794643,0.9713613291139774,0.9788573015713941,0.946822244285977,0.09646496360612232,84.0,0.08374701498267638,initial_gain,1.0,0.6357163437964983,0.4950890111955049
