seed_a,seed_b,ARI,NMI
7,21,0.8804596001574905,0.8622829827724908
7,42,0.9624944653613008,0.9131950876102342
7,84,1.0,1.0
7,168,1.0,1.0
21,42,0.8852039682666538,0.8445273453617995
21,84,0.8804596001574905,0.8622829827724907
21,168,0.8804596001574905,0.8622829827724907
42,84,0.9624944653613008,0.9131950876102344
42,168,0.9624944653613008,0.9131950876102344
84,168,1.0,1.0
