cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9906389890815369,0.17993709849673548
0,2,0.9992437039935018,0.28933411235697604
0,3,0.5527291654818531,0.0385109797815175
0,4,0.9882689328681483,0.11287286945594552
0,5,0.9712557367747403,0.430313221130845
0,6,0.9970211240315875,0.04666344541485744
0,7,0.855922386220125,0.2836569489326933
0,8,0.9196446363016852,0.6125668199536766
1,0,0.9906389890815369,0.17993709849673548
1,1,1.0,0.0
1,2,0.9921278272415253,0.11430245813057874
1,3,0.44030812150846005,0.21753517726897253
1,4,0.9997097498797064,0.0671897856116153
1,5,0.9939996024484749,0.2509850236120029
1,6,0.9979026431491547,0.13331577877975384
1,7,0.9152999511255547,0.11986290189598554
1,8,0.9635744407754795,0.43535012832001396
2,0,0.9992437039935018,0.28933411235697604
2,1,0.9921278272415253,0.11430245813057874
2,2,1.0,0.0
2,3,0.5367017510475522,0.3274838694999212
2,4,0.990132581242563,0.17909731221265798
2,5,0.9746942913772484,0.15829773768514124
2,6,0.998016007237185,0.24304977000183076
2,7,0.8584588766921053,0.11693836540962912
2,8,0.9254087928565486,0.34526133873064124
3,0,0.5527291654818531,0.0385109797815175
3,1,0.44030812150846005,0.21753517726897253
3,2,0.5367017510475522,0.3274838694999212
3,3,1.0,0.0
3,4,0.4224348581738455,0.15045637115971233
3,5,0.34056922141386486,0.46734766318155874
3,6,0.48841979121554857,0.08471645711360841
3,7,0.09588304505303201,0.3181128450174997
3,8,0.18531185265476752,0.6486751213517119
4,0,0.9882689328681482,0.11287286945594552
4,1,0.9997097498797063,0.0671897856116153
4,2,0.9901325812425631,0.17909731221265798
4,3,0.42243485817384563,0.15045637115971233
4,4,0.9999999999999998,0.0
4,5,0.9960126727614477,0.31755411105076364
4,6,0.996922247736735,0.066325846593402
4,7,0.9198657752614652,0.17634870909318565
4,8,0.968533794570851,0.5007078793806584
5,0,0.9712557367747403,0.430313221130845
5,1,0.9939996024484749,0.2509850236120029
5,2,0.9746942913772484,0.15829773768514124
5,3,0.3405692214138649,0.46734766318155874
5,4,0.9960126727614478,0.31755411105076364
5,5,1.0,0.0
5,6,0.9864305676516278,0.38386096141008735
5,7,0.9451809102529002,0.1641948391459562
5,8,0.9865646925097104,0.18742324846468983
6,0,0.9970211240315876,0.04666344541485744
6,1,0.9979026431491548,0.13331577877975384
6,2,0.9980160072371851,0.24304977000183076
6,3,0.4884197912155486,0.08471645711360841
6,4,0.996922247736735,0.066325846593402
6,5,0.9864305676516278,0.38386096141008735
6,6,1.0,0.0
6,7,0.8880745657213098,0.23946581819845264
6,8,0.9465760541101035,0.5666635932653553
7,0,0.855922386220125,0.2836569489326933
7,1,0.9152999511255547,0.11986290189598554
7,2,0.8584588766921053,0.11693836540962912
7,3,0.09588304505303201,0.3181128450174997
7,4,0.9198657752614651,0.17634870909318565
7,5,0.9451809102529001,0.1641948391459562
7,6,0.8880745657213097,0.23946581819845264
7,7,1.0,0.0
7,8,0.976539782333555,0.3337712884052259
8,0,0.9196446363016854,0.6125668199536766
8,1,0.9635744407754795,0.43535012832001396
8,2,0.9254087928565485,0.34526133873064124
8,3,0.18531185265476754,0.6486751213517119
8,4,0.968533794570851,0.5007078793806584
8,5,0.9865646925097104,0.18742324846468983
8,6,0.9465760541101036,0.5666635932653553
8,7,0.9765397823335549,0.3337712884052259
8,8,1.0,0.0
