dataset,n_nodes,topology,primary_seed,qe_primary_seed,qe_mean_across_seeds,qe_std_across_seeds,te_primary_seed,te_mean_across_seeds,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,max_centroid_correlation,min_centroid_rmse,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction,qe_relative_improvement_from_previous,qe_relative_improvement_to_next
main_high_quality_min10,2,1x2,42,2.2895632513648607,2.2895632513648607,0.0,0.0,0.0,1.0,1.0,0.6860480332334896,0.5815780134181284,2579.881416823508,0.9899918711190975,0.288376681752664,0,223,0.15464632454923716,1219,0.8453536754507628,,0.2918223175287018
main_high_quality_min10,3,1x3,42,1.6214176014140707,1.6214175972230174,8.382106475579576e-09,0.0,0.026768377253814146,1.0,1.0,0.5828932314343862,0.6557732881269364,2803.2621155301363,0.9936463458455298,0.1520695930074781,0,120,0.08321775312066575,947,0.6567267683772539,0.2918223175287018,0.15165293034177338
main_high_quality_min10,4,2x2,42,1.3755248749948543,1.3755248672964295,9.428606438277187e-09,0.0,0.0,1.0,1.0,0.5435883279876065,0.7338687688403153,2822.0366423262294,0.9989000177274805,0.12115194615715452,0,59,0.040915395284327326,831,0.5762829403606102,0.1516529303417734,0.144339395967833
main_high_quality_min10,5,1x5,42,1.17698243875626,1.1769824388121293,6.842570427478624e-11,0.38765603328710124,0.6095700416088766,1.0,1.0,0.46721197380012475,0.7767076094550961,2648.479237350097,0.9993262104149832,0.07403943986992162,0,49,0.03398058252427184,638,0.44244105409153955,0.14433939596783296,0.07599982189701611
main_high_quality_min10,6,2x3,42,1.0875319879675378,1.0875319830864918,7.316985160541049e-09,0.0,0.0,1.0,1.0,0.4545839216562224,0.8452748191816735,2582.7883040207694,0.9983700203887209,0.06791574547328727,0,26,0.018030513176144243,607,0.4209431345353675,0.07599982189701615,0.079568467239129
main_high_quality_min10,7,1x7,42,1.0009987304808332,1.0009987301187693,2.0720016942116916e-09,0.4070735090152566,0.4717059639389737,1.0,1.0,0.4062964280126288,0.8914840241559655,2401.079333360064,0.9992419799624548,0.052472857223022945,0,22,0.015256588072122053,500,0.34674063800277394,0.07956846723912903,0.024945535261699393
main_high_quality_min10,8,2x4,42,0.9751517525950228,0.9760282809996752,0.00043826420232622175,0.0,0.03273231622746186,0.9992539494197642,0.9981348735494102,0.4104847122935682,0.9213921180409335,2334.6439874437997,0.9996585085173355,0.05247311541306724,0,22,0.015256588072122053,500,0.34674063800277394,0.024945535261699403,0.07020244109331579
main_high_quality_min10,9,3x3,42,0.9075087139139374,0.9075087130973852,1.633104496079343e-09,0.17128987517337033,0.16310679611650486,1.0,1.0,0.36706267398826764,0.9378844364133128,2196.5034622083454,0.9999403428507474,0.03865058107941901,0,22,0.015256588072122053,402,0.2787794729542302,0.07020244109331575,0.03370611834542863
main_high_quality_min10,10,2x5,42,0.865760106935643,0.8769201170142171,0.01681113115716091,0.0,0.024965325936199722,0.8058580096955799,0.5764608005915131,0.36083302466202494,0.9379216740319889,2149.7329302276617,0.9997484304948919,0.03576683787635568,0,17,0.011789181692094313,382,0.26490984743411927,0.03370611834542858,
