n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction,bootstrap_ari_50,bootstrap_ari_50_p05,bootstrap_ari_50_p95,bootstrap_valid_fraction_50,four_cluster_run_fraction
79,4,0.6455696202531646,"[6, 7, 10, 5]",0.5,0.23455856865766977,0.6420721443602468,0.3762598659619539,113.29045944525781,5,,leaf,manhattan,300h,max,0.5064102564102564,0.9,3,300h__max__0.9__003,0.1367311066445097,1.6610046368692548,1.0,0.20153197734478345,0.009099241660091772,0.5002014659665348,0.96,0.4
79,4,0.6455696202531646,"[6, 7, 10, 5]",0.5,0.23455856865766977,0.6420721443602468,0.3762598659619539,113.29045944525781,5,5.0,leaf,manhattan,300h,max,0.5064102564102564,0.9,3,300h__max__0.9__007,0.1367311066445097,1.6610046368692548,1.0,0.20153197734478345,0.009099241660091772,0.5002014659665348,0.96,0.4
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,5,,leaf,euclidean,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__002,0.0798434101503676,1.879035509313891,1.0,0.0906075227169165,-0.05691277135976793,0.2653872949243099,1.0,0.34
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,5,,leaf,manhattan,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__003,0.06467061746426252,1.8842330186422676,1.0,0.07635429763271706,-0.07824222674560556,0.23401833726420343,1.0,0.34
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,5,5.0,leaf,euclidean,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__006,0.0798434101503676,1.879035509313891,1.0,0.0906075227169165,-0.05691277135976793,0.2653872949243099,1.0,0.34
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,5,5.0,leaf,manhattan,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__007,0.06467061746426252,1.8842330186422676,1.0,0.07635429763271706,-0.07824222674560556,0.23401833726420343,1.0,0.34
84,4,0.5476190476190477,"[8, 13, 9, 8]",0.6153846153846154,0.37971735372268806,0.7822867972220224,0.2311406707179495,492.16204150107535,8,,leaf,euclidean,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__018,0.05891211694372618,1.4304935770583995,0.4,0.07322271847182554,-0.10279708901355564,0.27810511336071303,0.58,0.0
84,4,0.5476190476190477,"[8, 13, 9, 8]",0.6153846153846154,0.3797173536757904,0.7822867973166927,0.2311406707179495,492.16204150107535,8,,leaf,manhattan,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__019,0.08096741975995127,1.4041108281923893,0.4,0.07689470687831569,-0.09834392168400537,0.2707777686367598,0.52,0.0
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,8,5.0,leaf,euclidean,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__022,0.04253589943710142,1.9062030731780826,1.0,0.08805080032028872,-0.07689644190426818,0.3288481365628337,0.88,0.16
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,8,5.0,leaf,manhattan,500h,initial,0.5384615384615384,0.9,1,500h__initial__0.9__023,0.04357464185956115,1.7178164115822654,0.8,0.06914195231115546,-0.07678524707870428,0.23330523107540077,0.88,0.1
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,5,,leaf,euclidean,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__002,0.08514853907223693,1.8829135831018555,1.0,0.07925763464391951,-0.05220983873602218,0.24011126985212478,1.0,0.38
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,5,,leaf,manhattan,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__003,0.056034187472952,1.880402168487704,1.0,0.09042938847828326,-0.05162238027629716,0.24097234694612482,1.0,0.34
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,5,5.0,leaf,euclidean,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__006,0.08514853907223693,1.8829135831018555,1.0,0.07925763464391951,-0.05220983873602218,0.24011126985212478,1.0,0.38
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,5,5.0,leaf,manhattan,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__007,0.056034187472952,1.880402168487704,1.0,0.09042938847828326,-0.05162238027629716,0.24097234694612482,1.0,0.34
84,4,0.5476190476190477,"[8, 13, 9, 8]",0.6153846153846154,0.37971735372268806,0.7822867972220224,0.2311406707179495,492.16204150107535,8,,leaf,euclidean,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__018,0.07431766228632551,1.4429398495820482,0.4,0.06326313373113723,-0.08430033436771775,0.2086984747074264,0.46,0.02
84,4,0.5476190476190477,"[8, 13, 9, 8]",0.6153846153846154,0.3797173536757904,0.7822867973166927,0.2311406707179495,492.16204150107535,8,,leaf,manhattan,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__019,-0.031232971714469707,1.4096190741533863,0.2,0.07055175809054857,-0.03054208110889072,0.20146189363959324,0.44,0.0
