curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours,anonymous_som_node,node_x,node_y
图片103_bcfcaf0360,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,samples_test__unknown__unknown__图片103__。Target__Series_1,Time,(h),Normalized PCE,,1.0,65,0,-2.8759654394046663,998.9971455188496,1001.8731109582544,3,1,1
图片105_32d68f1b45,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,samples_test__unknown__unknown__图片105__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,56,0,-5.193889142878078,1066.2741092307465,1071.4679983736246,3,1,1
图片113_5031dc5ac2,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,samples_test__unknown__unknown__图片113__Series_1__Series_1,Time (h),h,Normalized PCE,,1.0,50,6,0.351036024886298,996.1977183860802,995.846682361194,3,1,1
图片114_2c13d60cfd,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,samples_test__unknown__unknown__图片114__Series_3__Series_3,Time,hr,Normalized PCE,,1.0,84,0,7.908685969158924,993.812096564593,985.903410595434,3,1,1
图片114_5d05de147f,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,samples_test__unknown__unknown__图片114__Series_2__Series_2,Time,hr,Normalized PCE,,1.0,84,0,1.9695087968972729,987.8729193923314,985.903410595434,3,1,1
图片121_09e036200a,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,samples_test__unknown__unknown__图片121__2PaCz__Series_1,Time,hours,PCE,%,1.0,50,0,3.535423831538054,859.4568726985558,855.9214488670177,3,1,1
图片121_6f2a55d713,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2,Time,hours,PCE,%,1.0,85,0,14.016094633991344,1481.31000697745,1467.2939123434587,3,1,1
图片127_90c3584dc3,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,samples_test__unknown__unknown__图片127__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,37,0,-4.991519542108733,2113.1616469400055,2118.153166482114,3,1,1
图片12_8ead6ff972,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,samples_test__unknown__unknown__图片12__Target__Series_2,Time,(h),Normalized PCE,,1.0,51,0,-9.610894971825417,1552.269266883989,1561.8801618558143,3,1,1
图片12_c4564666ed,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12,samples_test__unknown__unknown__图片12__Control__Series_1,Time,(h),Normalized PCE,,1.0,8,0,2.884146323021099,221.5473689828351,218.663222659814,3,1,1
图片132_1d81c7ef0c,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2,Time,(h),Normalized PCE,,1.0,43,0,-1.7066469765924523,984.5536721357128,986.2603191123052,3,1,1
图片135_d4e290896b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,samples_test__unknown__unknown__图片135__Series_1__Series_1,Time,h,Normalized PCE,,1.0,57,0,5.147157694138514,1016.2044307313108,1011.0572730371724,3,1,1
