curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours,anonymous_som_node,node_x,node_y
图片102_d8c245ba7a,True,,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,samples_test__unknown__unknown__图片102__Target__Series_2,Time,(h),Normalized PCE,,1.0,30,0,0.2808468239687869,213.12665721311737,212.8458103891486,1,0,1
图片103_2b72774534,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,samples_test__unknown__unknown__图片103__Control__Series_2,Time,(h),Normalized PCE,,1.0,63,0,-1.3105387035323872,1000.5625722547218,1001.8731109582542,1,0,1
图片105_457cd7852f,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,samples_test__unknown__unknown__图片105__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,27,0,-3.2457655094714823,503.2663791762418,506.5121446857133,1,0,1
图片113_5b5ce508bd,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,samples_test__unknown__unknown__图片113__Series_2__Series_2,Time (h),h,Normalized PCE,,1.0,49,0,14.577417201474788,990.100697881828,975.5232806803532,1,0,1
图片11_fe30bf81d3,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11,samples_test__unknown__unknown__图片11__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,50,0,-0.8167830047531695,275.4154280601935,276.2322110649467,1,0,1
图片127_cfb6747cd0,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,samples_test__unknown__unknown__图片127__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,37,0,-4.991519542108733,2113.1616469400055,2118.153166482114,1,0,1
图片132_55073daea0,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,samples_test__unknown__unknown__图片132__Sn_{$__Series_1,Time,(h),Normalized PCE,,1.0,43,0,-1.7066469765924523,984.5536721357128,986.2603191123052,1,0,1
图片135_416420e73b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,samples_test__unknown__unknown__图片135__Series_2__Series_2,Time,h,Normalized PCE,,1.0,57,0,10.563535942551937,1021.6208089797242,1011.0572730371724,1,0,1
图片159_41ff697bee,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2,Time,(hours),Normalized PCE,,1.0,35,0,4.594860112949775,483.59810507257464,479.0032449596249,1,0,1
图片162_d9ab854a2e,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,samples_test__unknown__unknown__图片162__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,75,0,10.630532317365862,1467.380205268392,1456.7496729510262,1,0,1
图片172_00449ea194,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_2__Series_2.csv,图片172,samples_test__unknown__unknown__图片172__Series_2__Series_2,Time (h),(h),PCE (Norm.),(Norm.),1.0,43,0,2.3100723130627117,167.13647469625175,164.82640238318905,1,0,1
图片172_1500c740de,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,图片172,samples_test__unknown__unknown__图片172__Series_3__Series_3,Time (h),(h),PCE (Norm.),(Norm.),1.0,66,0,1.5251846826665698,256.6136645614115,255.08847987874492,1,0,1
图片180_d5cbad9ce6,True,,lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,samples_test__unknown__unknown__图片180__Target__Series_2,Time,(h),Normalized PCE,,1.0,59,0,2.043336606926232,398.8132659996657,396.7699293927394,1,0,1
图片190_46e98c994b,True,,lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,图片190,samples_test__unknown__unknown__图片190__Control__Series_1,Time,(h),PCE,(%),1.0,26,0,-9.840442929851548,702.4925430205868,712.3329859504383,1,0,1
图片203_16a7222a72,True,,lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,图片203,samples_test__unknown__unknown__图片203__0--Control__Series_1,Time,(d),Normalized PCE,(%),24.0,46,0,9.380822925396684,1580.8989388717514,1571.5181159463548,1,0,1
图片28_256b0ae51b,True,,lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,图片28,samples_test__unknown__unknown__图片28__Series_1__Series_1,Time,(h),PCE,(%),1.0,40,0,-2.19198407061873,397.2363532366328,399.4283373072515,1,0,1
图片28_9a4cdc85fc,True,,lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,图片28,samples_test__unknown__unknown__图片28__Series_2__Series_2,Time,(h),PCE,(%),1.0,40,2,-3.216159294483475,396.2121780127681,399.4283373072516,1,0,1
图片37_f594d68bde,True,,lab-v2/som_references/accepted/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,图片37,samples_test__unknown__unknown__图片37__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,44,0,2.1302453853089247,391.7552642746016,389.6250188892927,1,0,1
图片42_f37b3f4894,True,,lab-v2/som_references/accepted/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_1__Series_1.csv,图片42,samples_test__unknown__unknown__图片42__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,52,0,-1.0737907291064204,275.0539059213095,276.1276966504159,1,0,1
