comparison,n_common,ari_selected_k,ari_fixed_k4
raw_vs_threshold_p01,120,0.6996531711502296,0.3567525279567214
raw_vs_threshold_p02,120,0.44831856328227276,0.3833689751603882
raw_vs_threshold_p03,117,0.43367958226180303,0.36377700869237245
p02_vs_p03,117,0.9513909336999842,0.771812951182176
