n_nodes,som_x,som_y,quantization_error
2,1,2,2.262192877133969
3,1,3,1.7069258994154863
4,2,2,1.455826562517185
5,1,5,1.2368947663371292
6,1,6,1.1451315338385222
7,1,7,1.0386128139005943
8,1,8,1.024948221420423
9,1,9,0.9468164158648192
10,1,10,0.9031645180538305
