curve_id,status,reason,n_original_points,pce_max_0_200h,pce_min_normalized,max_x_hours,n_unique_t,t_coverage_pct,top_dir,doi,figure_label,series_id,unit_label
x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,included,OK,59,1.0032418745498535,0.8968901125901197,194.3289195687131,13,97.16445978435655,x_time_day,10.1002/adfm.201900221,Fig5_D,Series_1,days
x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 92% of window)",55,,,184.1525941085041,8,92.07629705425205,x_time_day,10.1002/adfm.202000778,Fig6_C,Series_1,days
x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,included,OK,48,1.0044468535310687,0.332461972729337,198.31347740976395,26,99.15673870488197,x_time_day,10.1002/adfm.202000778,Fig6_D,Series_2,days
x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,included,OK,81,1.001511536120638,0.9196844391220176,194.40885437129936,12,97.20442718564968,x_time_day,10.1002/adfm.202001418,Fig6_A,Series_1,days
x_time_day/10.1002_adfm.202001557/Fig4_B_pce/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,included,OK,39,107.06910044657677,0.8269940815672936,199.16167494388503,33,99.58083747194252,x_time_day,10.1002/adfm.202001557,Fig4_B,Series_1,days
x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 92% of window)",12,,,184.52034581023278,4,92.26017290511639,x_time_day,10.1002/adfm.202004209,Fig11_C,Series_2,days
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.csv,included,OK,53,1.007825524227444,0.972222511160599,195.2265502064227,16,97.61327510321135,x_time_day,10.1002/adfm.202008052,Fig7_G,Series_2,days
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.csv,included,OK,44,0.9994251330081955,0.9383778258567921,195.2265502064227,16,97.61327510321135,x_time_day,10.1002/adfm.202008052,Fig7_G,Series_1,days
x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,included,OK,45,17.13756203656498,0.9345466370623832,188.2551777004249,13,94.12758885021245,x_time_day,10.1002/adfm.202101568,Fig6_F,Series_2,days
x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,included,OK,54,1.0290488616126423,0.9373064009950265,193.98341984559872,12,96.99170992279936,x_time_day,10.1002/adfm.202106560,Fig4_A,Series_1,days
x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 82% of window)",59,,,163.63995477417734,5,81.81997738708867,x_time_day,10.1002/adfm.202111116,Fig5_A,Series_1,days
x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 96% of window)",52,,,192.76976613300155,8,96.38488306650078,x_time_day,10.1002/adfm.202204450,Fig1_E,Series_2,days
x_time_day/10.1002_adfm.202204450/Fig1_F_stability/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,included,OK,52,0.9999927697563171,0.8417526503321476,192.8705277766941,22,96.43526388834705,x_time_day,10.1002/adfm.202204450,Fig1_F,Series_1,days
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,included,OK,56,0.9993588442620445,0.8769165010209797,195.59841002528282,11,97.79920501264141,x_time_day,10.1002/adma.201606806,Fig5_A,Series_1,days
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,included,OK,54,1.0042162176987541,0.9065175075024998,195.59841002528282,11,97.79920501264141,x_time_day,10.1002/adma.201606806,Fig5_A,Series_2,days
x_time_day/10.1002_adma.201700607/Fig2_F_stability_performance_curve_pce/10.1002_adma.201700607__Fig2__F__stability_performance_curve_pce__ICBA-mixture__Series_1.csv,included,OK,61,14.344180601969105,0.961536132923021,189.72573700538095,17,94.86286850269047,x_time_day,10.1002/adma.201700607,Fig2_F,Series_1,days
x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,included,OK,63,11.921132097689918,0.7430745669012792,193.9747476893511,26,96.98737384467555,x_time_day,10.1002/adma.201706975,Fig4_A,Series_2,days
x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,included,OK,38,1.0041416395237504,0.7005805394226691,187.95575210189824,14,93.97787605094912,x_time_day,10.1002/adma.201900605,Fig5_F,Series_2,days
x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,included,OK,48,0.996758014034471,0.9950307903753123,189.42427734594008,12,94.71213867297004,x_time_day,10.1002/adma.201902902,Fig6_D,Series_1,days
x_time_day/10.1002_adma.201907623/Fig4_D_stability_performance_curve_pce/10.1002_adma.201907623__Fig4__D__stability_performance_curve_pce__0.0%PHCI__Series_1.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 91% of window)",12,,,181.11430555970296,6,90.55715277985148,x_time_day,10.1002/adma.201907623,Fig4_D,Series_1,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,included,OK,53,1.0005188959643325,0.963605278464524,189.06373179309554,12,94.53186589654777,x_time_day,10.1002/adma.201907864,Fig1_F,Series_3,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,included,OK,56,1.0050737635685887,0.9569640017227278,189.0637317930956,12,94.5318658965478,x_time_day,10.1002/adma.201907864,Fig1_F,Series_2,days
x_time_day/10.1002_admi.201800499/Fig6_E_stability_performance_curve_pce/10.1002_admi.201800499__Fig6__E__stability_performance_curve_pce__Without_CF_film__Series_2.csv,excluded,Curve max time 188.5h < 200.0h (curve too short),34,,,188.09973173978992,34,94.04986586989496,x_time_day,10.1002/admi.201800499,Fig6_E,Series_2,days
x_time_day/10.1002_admi.201900939/Fig11_D_pce/10.1002_admi.201900939__Fig11__D__pce__Standard__Series_2.csv,included,OK,49,0.9987181876360735,0.8839914929454007,189.91074123862717,15,94.95537061931358,x_time_day,10.1002/admi.201900939,Fig11_D,Series_2,days
x_time_day/10.1002_admi.202101463/Fig7_B_stability_performance_curve_pce/10.1002_admi.202101463__Fig7__B__stability_performance_curve_pce__Pristine__Series_1.csv,included,OK,25,1.0024705108445546,0.8727897956712206,192.55849970431717,17,96.27924985215859,x_time_day,10.1002/admi.202101463,Fig7_B,Series_1,days
