k,wcss,n_clusters
2,11356.016204704432,2
3,6564.532939985664,3
4,4708.458425159926,4
5,3892.244406315367,5
6,3250.069402269532,6
7,2943.712922474023,7
8,2666.9544731179844,8
9,2416.666149746804,9
10,2219.6470968606536,10
