curve_id,selected,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,is_absolute_pce_percent,n_unique_points,x_min_original,x_max_original,duration_hours,y_min_original,y_max_original,time_of_global_max_hours,top10_points_after_200h,matrix_row,som_neuron_id,som_neuron_x,som_neuron_y,paper_shape_label
图片116_1a8fb0bddd,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,samples_test__unknown__unknown__图片116__Series_2__Series_2,Times,(h),Normalized MPPT,,1.0,False,55,19.139203528773095,1026.2315312497108,1007.0923277209376,0.5157888968247785,0.6990717002161239,0.0,0.0,15,3,1,1,slow_exponential_decay
图片116_1c8227d681,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,samples_test__unknown__unknown__图片116__Series_3__Series_3,Times,(h),Normalized MPPT,,1.0,False,56,4.2193171921666135,1029.961502833862,1025.7421856416954,0.9246505351593184,0.9716461257724838,0.0,5.0,16,2,1,0,initial_gain
图片116_4ac59c593b,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,samples_test__unknown__unknown__图片116__Series_4__Series_4,Times,(h),Normalized MPPT,,1.0,False,52,0.489345608014986,1007.5816733289528,1007.0923277209378,0.7977624405037714,0.9246505351593184,0.0,0.0,17,3,1,1,slow_exponential_decay
图片116_65eb56ddd1,True,,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,samples_test__unknown__unknown__图片116__Series_1__Series_1,Times,(h),Normalized MPPT,,1.0,False,43,0.489345608014986,988.9318154081944,988.4424698001794,0.5063897787021453,0.9199509760980016,0.0,0.0,18,0,0,0,medium_exponential_decay
图片11_803413880f,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,图片11,samples_test__unknown__unknown__图片11__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,False,50,-0.8167830047531695,275.4154280601935,276.2322110649467,0.663591232055363,1.005821578570674,0.0,0.0,19,0,0,0,medium_exponential_decay
图片11_fe30bf81d3,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11,samples_test__unknown__unknown__图片11__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,False,50,-0.8167830047531695,275.4154280601935,276.2322110649467,0.8482154979386229,1.001318547695473,0.0,0.0,20,3,1,1,slow_exponential_decay
图片121_09e036200a,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,samples_test__unknown__unknown__图片121__2PaCz__Series_1,Time,hours,PCE,%,1.0,True,50,3.535423831538054,859.4568726985558,855.9214488670177,17.104731940533462,21.61526350583913,17.467784670755467,0.0,21,2,1,0,initial_gain
图片122_631af03b05,True,,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,samples_test__unknown__unknown__图片122__Pristine__Series_1,Time,( h ),PCE,( % ),1.0,True,39,6.819642370838778,736.0270934950127,729.2074511241739,0.4416968422115184,0.9795539557739336,0.0,2.0,22,2,1,0,initial_gain
图片122_fb8750c673,True,,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,samples_test__unknown__unknown__图片122__OCT-doped__Series_2,Time,( h ),PCE,( % ),1.0,True,53,10.657576324123909,1008.5204041782564,997.8628278541325,0.9385309555869696,1.0069026225652429,0.0,0.0,23,2,1,0,initial_gain
图片127_90c3584dc3,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,samples_test__unknown__unknown__图片127__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,False,37,-4.991519542108733,2113.1616469400055,2118.153166482114,0.8673309958508091,1.0028785706318455,0.0,6.0,24,2,1,0,initial_gain
图片127_cfb6747cd0,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,samples_test__unknown__unknown__图片127__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,False,37,-4.991519542108733,2113.1616469400055,2118.153166482114,0.8012949978805606,0.9994029917913064,0.0,6.0,25,3,1,1,slow_exponential_decay
图片127_fae8afb771,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,False,37,0.8922392536749157,2119.0454057357892,2118.153166482114,0.537151005999566,0.9855006764291488,0.0,6.0,26,0,0,0,medium_exponential_decay
图片12_8ead6ff972,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,samples_test__unknown__unknown__图片12__Target__Series_2,Time,(h),Normalized PCE,,1.0,False,51,-9.610894971825417,1552.269266883989,1561.8801618558145,0.9315266730322,1.0002805726096011,0.0,3.0,27,2,1,0,initial_gain
图片12_c4564666ed,True,,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12,samples_test__unknown__unknown__图片12__Control__Series_1,Time,(h),Normalized PCE,,1.0,False,8,2.884146323021099,221.5473689828351,218.663222659814,0.9112130208843316,0.9940302181025646,0.0,1.0,28,2,1,0,initial_gain
图片132_1d81c7ef0c,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2,Time,(h),Normalized PCE,,1.0,False,43,-1.7066469765924523,984.5536721357128,986.2603191123052,0.8023489318802772,1.0018484138687491,0.0,1.0,29,2,1,0,initial_gain
图片132_55073daea0,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,samples_test__unknown__unknown__图片132__Sn_{$__Series_1,Time,(h),Normalized PCE,,1.0,False,43,-1.7066469765924523,984.5536721357128,986.2603191123052,0.5007799474790984,0.992569368194867,0.0,1.0,30,3,1,1,slow_exponential_decay
图片135_416420e73b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,samples_test__unknown__unknown__图片135__Series_2__Series_2,Time,h,Normalized PCE,,1.0,False,57,10.563535942551937,1021.6208089797242,1011.0572730371723,0.6759123890058928,1.0007823323819411,0.0,0.0,31,3,1,1,slow_exponential_decay
图片135_d4e290896b,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,samples_test__unknown__unknown__图片135__Series_1__Series_1,Time,h,Normalized PCE,,1.0,False,57,5.147157694138514,1016.2044307313108,1011.0572730371723,0.9827340021943828,0.9962702498350516,0.0,9.0,32,2,1,0,initial_gain
图片136_4d4220d0f1,True,,lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,图片136,samples_test__unknown__unknown__图片136__Control__Series_2,Time,(h),Normalized PCE,,1.0,False,15,8.590762512351716,661.3910068944253,652.8002443820736,0.4879642923996781,1.0625247948632892,93.25717776886756,5.0,33,2,1,0,initial_gain
图片141_7315da2cdf,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,图片141,samples_test__unknown__unknown__图片141__Cell3__Series_3,Time,(hours),Norm. PCE,,1.0,False,39,-23.685421990936447,2388.174500289033,2411.8599222799694,0.9092839550759074,1.004881211891483,63.46999795473607,6.0,34,2,1,0,initial_gain
图片141_939b548eee,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,图片141,samples_test__unknown__unknown__图片141__Cell4__Series_4,Time,(hours),Norm. PCE,,1.0,False,38,-17.33842219546284,2331.05150212977,2348.389924325233,0.8283939685396513,1.001204394321653,0.0,6.0,35,2,1,0,initial_gain
图片141_a8a78a6cbb,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,图片141,samples_test__unknown__unknown__图片141__Cell2__Series_2,Time,(hours),Norm. PCE,,1.0,False,38,-4.644422604515626,2343.7455017207176,2348.389924325233,0.9864971240423336,1.0122348470311426,0.0,6.0,36,2,1,0,initial_gain
图片141_c22163c53e,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,图片141,samples_test__unknown__unknown__图片141__Cell1__Series_1,Time,(hours),Norm. PCE,,1.0,False,39,-23.685421990936447,2388.174500289033,2411.8599222799694,0.7475039820033951,1.004881211891483,63.46999795473607,6.0,37,2,1,0,initial_gain
