time_hours,neuron_0_medium_exponential_decay,neuron_1_fast_exponential_decay,neuron_2_initial_gain,neuron_3_slow_exponential_decay
0.16666666666666666,1.0001712466762707,0.9984124375235814,0.9906746068953741,0.9945133055545311
0.3333333333333333,0.999339361626378,0.9978869694765683,0.9906982612650977,0.9943207307152642
0.5,0.9985115579608699,0.9973617420948893,0.9907218383399211,0.9941283916110204
0.6666666666666666,0.9976878356797457,0.9968367553785447,0.9907453381198449,0.9939362882417998
0.8333333333333334,0.9968681947830056,0.996312009327534,0.9907687606048688,0.9937444206076027
1.0,0.9960526352706498,0.995787503941858,0.9907921057949926,0.9935527887084287
1.1666666666666667,0.9952411571426779,0.9952632392215163,0.9908153736902169,0.9933613925442779
1.3333333333333333,0.9944337603990904,0.9947392151665087,0.9908385642905414,0.9931702321151505
1.5,0.9936304450398867,0.9942154317768354,0.990861677595966,0.9929793074210463
1.6666666666666667,0.9928312110650672,0.9936918890524965,0.9908847136064908,0.9927886184619652
1.8333333333333333,0.9920360584746318,0.9931685869934918,0.9909076723221161,0.9925981652379079
2.0,0.9912449872685808,0.9926455255998213,0.9909305537428404,0.9924079477488732
2.1666666666666665,0.9904579974469133,0.9921227048714852,0.9909533578686661,0.9922179659948621
2.3333333333333335,0.9896750890096306,0.9916001248084833,0.9909760846995911,0.9920282199758743
2.5,0.988896261956732,0.9910777854108157,0.990998734235617,0.9918387096919097
2.6666666666666665,0.988121516288217,0.9905556866784826,0.9910213064767426,0.9916494351429679
2.8333333333333335,0.9873508520040861,0.9900338286114835,0.9910438014229682,0.9914603963290499
3.0,0.9865842691043398,0.9895122112098188,0.9910662190742948,0.9912715932501547
3.1666666666666665,0.9858217675889775,0.9889908344734883,0.9910885594307209,0.9910830259062832
3.3333333333333335,0.9850633474579993,0.9884696984024922,0.9911108224922471,0.9908946942974349
3.5,0.9843090087114049,0.9879488029968305,0.991133008258874,0.9907065984236099
3.6666666666666665,0.9835587513491948,0.9874281482565029,0.9911551167306004,0.9905187382848075
3.8333333333333335,0.9828125753713693,0.9869077341815095,0.9911771479074274,0.9903311138810291
4.0,0.9820704807779276,0.9863875607718505,0.9911991017893543,0.9901437252122739
4.166666666666667,0.9813324675688697,0.9858676280275259,0.9912209783763816,0.9899565722785413
4.333333333333333,0.9805985357441961,0.9853479359485355,0.9912427776685088,0.9897696550798325
4.5,0.9798686853039066,0.9848284845348795,0.9912644996657363,0.9895829736161472
4.666666666666667,0.9791429162480015,0.9843092737865575,0.9912861443680638,0.9893965278874849
4.833333333333333,0.9784212285764802,0.9837903037035699,0.9913077117754917,0.9892103178938454
5.0,0.9777036222893433,0.9832715742859167,0.9913292018880201,0.9890243436352297
5.166666666666667,0.9769900973865903,0.9827530855335977,0.9913506147056481,0.988838605111637
5.333333333333333,0.9762806538682214,0.9822348374466131,0.9913719502283762,0.9886531023230678
5.5,0.9755752917342367,0.9817168300249626,0.9913932084562046,0.9884678352695214
5.666666666666667,0.9748740109846362,0.9811990632686465,0.991414389389134,0.9882828039509987
5.833333333333333,0.9741768116194197,0.9806815371776647,0.9914354930271626,0.9880980083674991
6.0,0.973483693638548,0.980164251751977,0.991456519370251,0.9879134485189827
6.166666666666667,0.9727884551932756,0.9796448687658215,0.9914777840909926,0.9877267633033507
6.333333333333333,0.9720976605896134,0.9791255702517004,0.9914989700260548,0.9875401513675539
6.5,0.9714113675730193,0.9786064144757131,0.9915200753288118,0.9873536339827635
6.666666666666667,0.9707296259623273,0.9780874569863087,0.9915410980003808,0.9871672372510172
6.833333333333333,0.970052477957164,0.9775687507640841,0.9915620358985315,0.9869809917776028
7.0,0.9693799584463164,0.9770503463608229,0.9915828867464339,0.986794932349962
7.166666666666667,0.9687120953170519,0.9765322920277794,0.9916036481412561,0.9866090978539935
7.333333333333333,0.9680489097653949,0.9760146338332009,0.9916243175625978,0.9864235334318524
7.5,0.9673904166073519,0.9754974157690951,0.991644892380768,0.9862382877552
7.666666666666667,0.9667366245910937,0.9749806798472377,0.9916653698649072,0.9860534118248265
7.833333333333333,0.9660875367100871,0.9744644661844223,0.9916857456644614,0.9858689587142562
8.0,0.9654431505171814,0.9739488130769525,0.9917060135026569,0.9856849917947101
8.166666666666666,0.9648034584396495,0.9734337570643765,0.991726167616253,0.9855015843907361
