curve_id,matrix_row,max_pce_top3_mean_percent,pce_at_200h_percent,relative_pce_loss_200h_percent,som_neuron_id,paper_shape_label,pce_group
图片184_507faa5323,54,0.9790772077139506,0.9410801092075385,3.8809093100156615,2,initial_gain,1
图片122_631af03b05,22,0.9793956028271879,0.9402828675200163,3.993558393999945,2,initial_gain,1
图片122_fb8750c673,23,1.0067846601319068,0.973243932709002,3.3314698516076295,2,initial_gain,1
图片184_6dd94ccd86,55,1.0086003750422803,0.9705927404923654,3.768354195617028,2,initial_gain,1
图片33_d23b550cfe,72,9.865501792288299,3.982268117546174,59.634408858360885,1,fast_exponential_decay,1
图片98_e5f7bc41cb,113,12.29980623857235,11.240457962084236,8.612723289623737,3,slow_exponential_decay,2
图片193_0c17e012f8,57,15.619563326844677,11.29757513636514,27.670352237386307,0,medium_exponential_decay,2
图片28_256b0ae51b,70,15.821290454053175,12.261948082786192,22.497168493326868,3,slow_exponential_decay,2
图片202_029296e6ba,62,18.28035568022594,13.38224628888416,26.794387795419755,0,medium_exponential_decay,2
图片28_9a4cdc85fc,71,18.376576920643803,17.839325568000046,2.923565988180432,3,slow_exponential_decay,2
图片190_46e98c994b,56,18.693225107260783,17.391530110488493,6.963458629012546,3,slow_exponential_decay,3
图片202_24972422a1,63,18.852156004139054,18.019937232093827,4.41444878698495,2,initial_gain,3
图片48_cf162c1fe3,79,21.27062419311157,20.982825934904717,1.35303155936559,2,initial_gain,3
图片121_09e036200a,21,21.6260488243002,20.70710469189346,4.24924654463077,2,initial_gain,3
图片89_f6c024444a,111,22.0871895758996,21.87697095005016,0.9517672002907009,2,initial_gain,3
图片48_d7adcc3df7,80,22.150769321758364,19.532220572810147,11.821479926550708,3,slow_exponential_decay,4
图片197_80552e30c2,58,22.16964485795192,22.067140063102066,0.4623655250529927,2,initial_gain,4
图片50_f893c166de,81,23.172031684919435,22.52009688976091,2.8134554795331543,2,initial_gain,4
图片197_d52078c7d4,59,23.244669310890142,23.099999546288725,0.6223782436588132,2,initial_gain,4
图片48_1a4520b70c,78,23.370585062272692,23.291222010401658,0.3395852164572071,2,initial_gain,4
图片74_8144fcd699,99,23.468046434479138,22.97441374008155,2.103424738721955,2,initial_gain,5
图片85_18c67b503a,105,23.906424428663033,21.0747420921455,11.844859296994821,3,slow_exponential_decay,5
图片74_8e33f022bd,100,24.29930086788328,24.119802191883753,0.7386989320205969,2,initial_gain,5
图片74_041c42f84e,98,24.668910644330126,24.441938169557734,0.9200749803865341,2,initial_gain,5
图片39_52020a09a1,74,24.89969641718452,24.142826569272813,3.039675003384185,2,initial_gain,5
图片39_6dfc311fc6,75,25.72203365617476,25.498833749647783,0.8677381792998108,2,initial_gain,5
