curve_id,source_path,relative_path,source_sha256,figure,x_name,x_unit,y_name,y_unit,axis_status,hours_factor,n_points,invalid_points,duplicate_x_points,x_min,x_max,duration_h,y_min,y_max,relative_y_range,constant_y,primary_cluster,maxabs_cluster,zscore_cluster,dtw_0_cluster,dtw_0.25_cluster,dtw_1_cluster,msm_0.01_cluster,msm_0.1_cluster
C023,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,bc7efafb1c02b9e7cc9c405f5c4f38ec76d2d4aca08fd3ffdf3793f08501bff0,图片116,Times,(h),Normalized MPPT,,time_verified,1.0,52,0,0,0.489345608014986,1007.5816733289528,1007.0923277209378,0.7977624405037714,0.9246505351593184,0.137228163323005,False,4,2,2,2,1,3,6,2
C024,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,9cbef2c02a1839af4573989b0ccb1e1a8ac0050b71bb0c226e3c3b20e04651e4,图片12,Time,(h),Normalized PCE,,time_verified,1.0,8,0,0,2.884146323021099,221.5473689828351,218.663222659814,0.9112130208843316,0.9940302181025646,0.0833145670121749,False,1,1,3,2,3,4,1,5
C025,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,4914ebac561cc10d7d84ff44f859a3587d78ccca706cfaf2e439ff90b697cc49,图片12,Time,(h),Normalized PCE,,time_verified,1.0,51,0,0,-9.610894971825417,1552.269266883989,1561.8801618558143,0.9315266730322,1.0002805726096011,0.0687346145272332,False,3,1,2,2,4,2,6,2
C026,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,7ee55b248649ab1c19336fbaac4840f5761430667863340bd4f5453aaf62db61,图片120,Impact cycles,,Normalized PCE,,cycles,,40,0,0,0.5427690784540484,48.45309986044446,,0.8995544351961344,1.0064670527620452,0.1062256506782916,False,1,1,3,2,3,4,6,3
C027,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,bf8a0c3fd6f5e6f20507c0eba1c4fdc17cc8ac7dfb87ef0809656afd91faeadc,图片120,Impact cycles,,Normalized PCE,,cycles,,40,0,0,0.4199220764489464,48.33025285843936,,0.5039777502022648,1.0011214218837496,0.4965867883898036,False,1,2,3,2,3,4,6,3
C028,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,5cbc875d8b0ba8a863715ea33ba183f60aff8f6b8d8ca840936aa4c514204caf,图片121,Time,hours,PCE,%,time_verified,1.0,50,0,0,3.535423831538054,859.4568726985558,855.9214488670177,17.104731940533462,21.61526350583913,0.2086734480052578,False,3,2,3,2,4,2,6,3
C029,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,d4219666a2f5867597e1a06a473716f3e861dfd75f37c2f44d6e503153e209b7,图片121,Time,hours,PCE,%,time_verified,1.0,85,0,0,14.016094633991344,1481.31000697745,1467.2939123434587,24.175294934796405,25.028638744448827,0.0340946952155633,False,1,1,4,3,2,4,4,3
C030,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,4481a3242fb4855c22b01720c2c0d974d3582a076feb84ded81b5debae63f75e,图片122,Time,( h ),PCE,( % ),time_verified,1.0,53,0,0,10.657576324123909,1008.5204041782564,997.8628278541324,0.9385309555869696,1.0069026225652429,0.0679029584847893,False,4,1,2,2,1,3,6,2
C031,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,e9e4267c25e42fbd74d489563750c6c6074c7c57e9aeffb7d5dbc86ec87cdbb8,图片122,Time,( h ),PCE,( % ),time_verified,1.0,39,0,0,6.819642370838778,736.0270934950127,729.2074511241739,0.4416968422115184,0.9795539557739336,0.5490837032427284,False,1,2,3,2,3,4,6,5
C032,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,fb315c268942e0526e9f5eb29c86c1db830d72e289e158e0dff26520bfd8ee0e,图片125,,,,,unknown,,58,0,0,-0.9913236590166504,236.7125480825827,,17.53187542384437,21.532781206644817,0.1858053423013375,False,3,2,2,2,4,2,6,2
