method,selected_k,seed_ari_mean,silhouette_common_minmax_l2,assigned_common_l2_centroid_error,own_qe,own_qe_comparable_across_methods
functional_minmax,4,0.8915159750311636,0.3278089083587658,0.1085087468651873,0.10911078837816861,False
functional_maxabs,5,0.8252971534927903,-0.2680677237611846,0.18542199462165193,0.04801467274879109,False
functional_zscore,5,0.6999100001551002,0.21669811025163394,0.12316878330963409,0.3102750942456182,False
dtw_0,3,0.5766777272872782,0.24720614362787569,0.16590966977943628,0.03407100835163751,False
dtw_0.25,4,0.5800273642901042,0.2895122759741382,0.11246563052043282,0.053046074377091225,False
dtw_1,4,0.6680454868556888,0.31651328962414416,0.11025991161051905,0.06623248586128429,False
msm_0.01,6,0.3591379352627282,-0.22574857914204835,0.16160148758260523,0.9508076429156012,False
msm_0.1,5,0.35600955982946886,0.03522695580271744,0.13750356038947664,2.833462931105145,False
