cluster,n,start,at_50h,at_200h,end,peak,peak_time_h,trough,trough_time_h,early_slope_per_h,late_slope_per_h,post_trough_recovery,post_peak_drop,range,posthoc_ifo_name
0,179,1.0,0.972456659710237,0.8720429271837395,0.786900797545702,1.0,0.0,0.786900797545702,500.0,-0.0006434806074533809,-0.00020235523961756555,0.0,0.21309920245429803,0.21309920245429803,Slope-like
1,167,1.0,0.9916315078105116,0.9552724793054271,0.8104463487864578,1.0,0.0,0.8104463487864578,500.0,-0.00018529113242528612,-0.0005397779023272199,0.0,0.18955365121354217,0.18955365121354217,Slope-like
2,130,0.9968100566258078,0.9951704868122004,0.9165747624979597,0.8124275019543562,0.9970943448854301,2.0,0.8124275019543562,500.0,-0.0002293656058246741,-0.0003231320120425142,0.0,0.18466684293107394,0.18466684293107394,Slope-like
3,156,0.9969393552213753,0.9917207287539769,0.9719876975351227,0.8629542945027489,0.9971467943276948,2.0,0.8629542945027489,500.0,-1.8260321809073856e-05,-0.000359957271526345,0.0,0.13419249982494597,0.13419249982494597,Slope-like
4,138,1.0,0.9855681669059334,0.9213849861980421,0.818285747467153,1.0,0.0,0.818285747467153,500.0,-0.00027582884582696044,-0.0002737352016538666,0.0,0.181714252532847,0.181714252532847,Slope-like
5,154,1.0,0.9763106660090328,0.9410525921098462,0.8565496179338583,1.0,0.0,0.8565496179338583,500.0,-0.0004555973315566429,-0.00026716491825489326,0.0,0.1434503820661417,0.1434503820661417,Slope-like
6,241,1.0,0.9361333021757495,0.83690941359611,0.7535363868212555,1.0,0.0,0.7535363868212555,500.0,-0.0011396885052894783,-0.0002725633734568513,0.0,0.24646361317874454,0.24646361317874454,Slope-like
7,37,0.9449911458274015,0.9585218952486356,0.9787633948522767,0.9876260296690995,0.990230926276838,355.0,0.9443806446241125,2.0,0.00015395699079052066,1.6150741058805947e-06,0.04585028165272542,0.0026048966077384383,0.04585028165272542,Valley-like
