cluster,rank,curve_id,source_file,legend,distance
2,3,C3b62838ab2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsaem.8b01075/Fig6_A_retention/accepted/10.1021_acsaem.8b01075__Fig6__A__retention__VASP_withMAI__Series_2.csv,VASP withMAI,1.0720889878058406
2,4,Cf7f490a3d6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce__Cs15-U__Series_3.csv,Cs15-U,1.2799300519460235
2,5,C1f90a83fbf,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.6b03724/Fig5_D_chart/accepted/10.1021_acsami.6b03724__Fig5__D__chart__wlo__Series_2.csv,wlo,1.3230649211281529
2,6,C5280e76337,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsami.8b18200/Fig7_C_eqe/accepted/10.1021_acsami.8b18200__Fig7__C__eqe__PEDOT_PSS(NoPVP)__Series_1.csv,PEDOT:PSS(NoPVP),1.384401812494698
2,7,Cee146f65f5,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr07753j/Fig5_whole_stability/accepted/10.1039_c7nr07753j__Fig5__whole__stability__Conventional_device__Series_2.csv,Conventional device,1.4518846713221583
2,8,C8d0492ec15,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8nj06146g/Fig6_A_stability_performance_curve_pce/accepted/10.1039_c8nj06146g__Fig6__A__stability_performance_curve_pce__Pure_PCBM__Series_2.csv,Pure PCBM,1.627009836116209
2,9,Cbad177f1db,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.202200174/Fig3_E_stability_performance_curve_pce/accepted/10.1002_adfm.202200174__Fig3__E__stability_performance_curve_pce__Control__Series_2.csv,Control,1.6814673806389304
2,10,Cbe0ab76001,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.joule.2017.11.006/Fig3_A_pce/accepted/10.1016_j.joule.2017.11.006__Fig3__A__pce__PCBM__Series_2.csv,PCBM,1.7883781746916816
3,1,Cbbabab256a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41560-019-0382-6/Fig5_D_mppt_stability_performance_curve/accepted/10.1038_s41560-019-0382-6__Fig5__D__mppt_stability_performance_curve__CsFAMA__Series_1.csv,CsFAMA,0.31096508966833913
3,2,C7bfb636af7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_aenm.201902653/Fig5_E_stability_performance_curve_pce/accepted/10.1002_aenm.201902653__Fig5__E__stability_performance_curve_pce__Perovskite__Series_2.csv,Perovskite,0.3167038508332523
3,3,C24d5c8c4f6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_anie.201911796/Fig4_C_stability_performance_curve_pce/accepted/10.1002_anie.201911796__Fig4__C__stability_performance_curve_pce__−SnO2__Series_2.csv,−SnO2,0.3479913961814523
3,4,Ccc8da6cb64,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.iecr.9b05173/Fig8_whole_stability_performance_curve/accepted/10.1021_acs.iecr.9b05173__Fig8__whole__stability_performance_curve__Spiro__Series_1.csv,Spiro,0.35901580259437693
3,5,Cdfe0c4ebb6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,SnO2,0.3894632185870843
3,6,C054b720d3d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_solr.201900030/Fig6_C_stability_performance_curve_pce/accepted/10.1002_solr.201900030__Fig6__C__stability_performance_curve_pce__MAPbI_3__Series_2.csv,MAPbI_3,0.4920721742198247
3,7,C3ae89804b5,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpclett.0c01134/Fig4_G_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.0c01134__Fig4__G__stability_performance_curve_pce__3D__Series_2.csv,3D,0.5130667933033208
3,8,C791a473836,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.3390_coatings13111885/Fig5_whole_pce/accepted/10.3390_coatings13111885__Fig5__whole__pce__o—pure_perovskite__Series_2.csv,o—pure perovskite,0.5362021174309676
3,9,Cd42bd5c519,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsami.7b08488/Fig7_A_stability_performance_curve_pce/accepted/10.1021_acsami.7b08488__Fig7__A__stability_performance_curve_pce__MAPbI₃__Series_1.csv,MAPbI₃,0.5573231936894483
3,10,C2183034ce6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1088_1361-6463_aa7905/Fig6_D_chart/accepted/10.1088_1361-6463_aa7905__Fig6__D__chart__IS0S-L-1__Series_3.csv,IS0S-L-1,0.5616528186460276
