metric,median,p90,p95,p99,maximum
akima_below_support_normalized,0.0,0.00012269622320963287,0.00035151325208391306,0.0013797149829931567,0.004705498171866543
akima_above_support_normalized,0.0,0.0004384987001348228,0.0007977979141502109,0.0023025541985324644,0.00938326906757901
pchip_below_support_normalized,0.0,0.0,0.0,0.0,0.0
pchip_above_support_normalized,0.0,0.0,0.0,0.0,0.0
linear_below_support_normalized,0.0,0.0,0.0,0.0,0.0
linear_above_support_normalized,0.0,0.0,0.0,0.0,0.0
akima_vs_pchip_rmse,0.00017061584332008078,0.0006637789126073433,0.001057575552547406,0.002663527187732335,0.008518847601623641
pchip_vs_linear_rmse,0.0002093667057354668,0.0007668849696844813,0.0012801205542503167,0.0033924156553805057,0.011497644896545596
akima_smoothing_rmse,2.7318042763422545e-05,0.0002152740288909147,0.0003082239477699141,0.0005638516102112199,0.003001482045122811
