curve_id,array_row,n_unique_points_0_200h,n_duplicate_points,max_support_gap_h,endpoint_bracket_time_h,akima_raw_knot_rmse,pchip_raw_knot_rmse,linear_raw_knot_rmse,akima_below_support_normalized,akima_above_support_normalized,pchip_below_support_normalized,pchip_above_support_normalized,linear_below_support_normalized,linear_above_support_normalized,akima_vs_pchip_rmse,pchip_vs_linear_rmse,akima_smoothing_rmse
x_time_h/10.1007_s40843-020-1581-4/Fig4_D_stability_performance_curve/accepted/10.1007_s40843-020-1581-4__Fig4__D__stability_performance_curve__Sn-target__Series_1.csv,744,11,0,19.747868927582942,217.2265582034119,0.0,0.0,0.0,0.00013495700508600538,0.0004266258144025597,0.0,0.0,0.0,0.0,0.0005404244370409714,0.0002229550143609929,4.025568711824378e-06
x_time_h/10.1007_s42114-024-01208-7/Fig5_A_statistics_stability_performance_curve_pce/accepted/10.1007_s42114-024-01208-7__Fig5__A__statistics_stability_performance_curve_pce__101Guanine__Series_2.csv,745,12,0,18.16406064060243,217.9687276872287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011894437466558886,0.00011263545398411353,4.792657257245113e-06
x_time_h/10.1007_s42114-024-01208-7/Fig5_A_statistics_stability_performance_curve_pce/accepted/10.1007_s42114-024-01208-7__Fig5__A__statistics_stability_performance_curve_pce__o-Control__Series_1.csv,746,12,0,18.16406064060243,217.96872768722875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.762234290337452e-05,0.00011052134947691798,2.911707674820447e-06
"x_time_h/10.1016_j.apsusc.2019.04.069/Fig7_E_stability_performance_curve_pce/accepted/10.1016_j.apsusc.2019.04.069__Fig7__E__stability_performance_curve_pce__MAPbI,_with_TBP__Series_1.csv",747,25,0,8.31077851842764,207.76946296068985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012312129486135337,0.00014417461417465932,2.7443205152305183e-05
"x_time_h/10.1016_j.apsusc.2019.04.069/Fig7_E_stability_performance_curve_pce/accepted/10.1016_j.apsusc.2019.04.069__Fig7__E__stability_performance_curve_pce__MAPbI,_without_TBP__Series_2.csv",748,25,0,8.31077851842764,207.7694629606899,0.0,0.0,0.0,6.016392375729454e-05,0.0,0.0,0.0,0.0,0.0,0.00018831818089898655,0.00026760374403180637,3.6891286380831114e-05
x_time_h/10.1016_j.apsusc.2021.150153/Fig7_whole_stability/accepted/10.1016_j.apsusc.2021.150153__Fig7__whole__stability__MAPbI3(spin-coating)__Series_3.csv,749,33,0,6.216395997644213,205.14106792225823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.640114116313897e-05,0.00018166416769580174,6.385892003049474e-05
x_time_h/10.1016_j.cclet.2021.08.039/Fig5_E_stability_performance_curve_pce/accepted/10.1016_j.cclet.2021.08.039__Fig5__E__stability_performance_curve_pce__Pristine__Series_1.csv,750,29,0,6.93894262729151,201.22933619145317,0.0,0.0,0.0,0.0,0.00023243545867071447,0.0,0.0,0.0,0.0,0.0003040816052997817,0.00033135180852226527,0.00013443123122336935
x_time_h/10.1016_j.cej.2016.12.050/Fig11_whole_stability/accepted/10.1016_j.cej.2016.12.050__Fig11__whole__stability__Au__Series_2.csv,751,21,0,9.791481518131661,205.6211118807641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034107229827267944,0.0005122490923561945,5.4816985016392736e-05
x_time_h/10.1016_j.cej.2019.04.099/Fig5_B_pce/accepted/10.1016_j.cej.2019.04.099__Fig5__B__pce__W_O_ILPF₆__Series_1.csv,752,14,0,14.823221440002214,207.52510016003052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538791842210386e-05,0.00011202744626381547,5.080434897847781e-06
x_time_h/10.1016_j.cej.2020.126152/Fig5_C_stability_performance_curve/accepted/10.1016_j.cej.2020.126152__Fig5__C__stability_performance_curve__Pristine__Series_1.csv,753,73,0,2.751397034601041,200.85198352587435,0.0,0.0,0.0,0.00045580938136402575,0.00045550001623250136,0.0,0.0,0.0,0.0,0.00041617972657174545,0.0001502459590157135,0.0004125299646580488
