variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0200_coverage_z_level_d1,paper_sigma05_lr03_seq,4,200,coverage,z_level_d1,1770,1.0,0.2408693641042718,,2,False,Hill-like;Other/mixed;Slope-like
w0150_coverage_z_level,detail_sigma12_lr05_seq,5,150,coverage,z_level,1857,1.0,0.23996084411148386,,2,False,Bridge-like;Other/mixed;Slope-like
w0200_coverage_z_level_d1,paper_sigma03_lr01_seq,4,200,coverage,z_level_d1,1770,1.0,0.23725600007444161,,2,False,Hill-like;Other/mixed;Slope-like
w0500_detail_z_level,detail_sigma12_lr05_seq,4,500,detail,z_level,1102,1.0,0.2345584361442109,665.0,2,False,Bridge-like;Slope-like
w0300_detail_z_level,detail_sigma12_lr05_seq,5,300,detail,z_level,1325,1.0,0.2290929970804586,949.5,2,False,Bridge-like;Slope-like
w0200_dense_z_level_d1,paper_sigma05_lr03_seq,3,200,dense,z_level_d1,522,1.0,0.22487841785817117,,2,False,Bridge-like;Slope-like
w0300_coverage_z_level_d1,paper_sigma05_lr03_seq,3,300,coverage,z_level_d1,1590,1.0,0.22433086549810205,814.5,2,False,Bridge-like;Slope-like
w0500_coverage_z_level,detail_sigma12_lr05_seq,5,500,coverage,z_level,1198,1.0,0.22392271515208442,986.5,2,False,Bridge-like;Other/mixed;Slope-like
w0500_coverage_z_level_d1,paper_sigma05_lr03_seq,3,500,coverage,z_level_d1,1198,1.0,0.19142304686925463,927.5,2,False,Bridge-like;Slope-like
w0300_coverage_z_level_d1,paper_sigma03_lr01_seq,4,300,coverage,z_level_d1,1590,1.0,0.19007026725732198,655.5,2,False,Bridge-like;Slope-like
w0300_dense_z_level_d1,detail_sigma12_lr05_seq,3,300,dense,z_level_d1,682,1.0,0.18831017879247974,897.0,2,False,Hill-like;Slope-like
w0300_dense_z_level,detail_sigma12_lr05_seq,4,300,dense,z_level,682,1.0,0.18821163872792634,951.0,2,False,Bridge-like;Slope-like
w1000_coverage_z_level_d1,paper_sigma05_lr03_seq,4,1000,coverage,z_level_d1,489,1.0,0.18361254347891223,1039.5,2,False,Hill-like;Other/mixed;Slope-like
w0500_dense_z_level,detail_sigma12_lr05_seq,5,500,dense,z_level,774,1.0,0.17797938720022152,1005.5,2,False,Bridge-like;Slope-like
w0200_dense_z_level_d1,detail_sigma12_lr05_seq,4,200,dense,z_level_d1,522,1.0,0.1762224379688905,,2,False,Hill-like;Slope-like
w1000_detail_z_level_d1,detail_sigma12_lr05_seq,3,1000,detail,z_level_d1,472,1.0,0.17573026408771106,991.5,2,False,Bridge-like;Slope-like
w0200_detail_z_level_d1,detail_sigma12_lr05_seq,4,200,detail,z_level_d1,1269,1.0,0.1742487407437384,,2,False,Bridge-like;Slope-like
w0150_detail_z_level_d1,detail_sigma12_lr05_seq,4,150,detail,z_level_d1,1103,1.0,0.17145884609293355,,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1,paper_sigma05_lr01_seq,4,150,dense,z_level_d1,422,1.0,0.17108842606363955,,2,False,Hill-like;Slope-like
w0500_coverage_z_level_d1,detail_sigma12_lr05_seq,3,500,coverage,z_level_d1,1198,1.0,0.16987780694725627,846.5,2,False,Bridge-like;Slope-like
w0300_detail_z_level_d1,paper_sigma05_lr03_seq,5,300,detail,z_level_d1,1325,1.0,0.162711556828952,1180.5,2,False,Bridge-like;Other/mixed;Slope-like
w0200_dense_z_level_d1,paper_sigma05_lr01_seq,4,200,dense,z_level_d1,522,1.0,0.16217560505157103,,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1,detail_sigma12_lr05_seq,4,150,dense,z_level_d1,422,1.0,0.1609779330310306,,2,False,Hill-like;Slope-like
w1000_detail_z_level_d1,paper_sigma05_lr03_seq,5,1000,detail,z_level_d1,472,1.0,0.1408552800400296,1321.5,2,False,Hill-like;Other/mixed;Slope-like
w0500_detail_z_level_d1,paper_sigma05_lr03_seq,5,500,detail,z_level_d1,1102,1.0,0.1370838936896886,1159.0,2,False,Hill-like;Other/mixed;Slope-like
