variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,2,1.0,0.44939899115446985,0.05617487389430873,0.0,0.6968231879476621,2.0,0.0,0.17878298330640818,0.23700731087489707,0.045811149444446725,5.173572672677258,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,3,1.0,0.33012281085591655,0.04126535135698957,0.0,0.6127763437053989,3.0,0.0,0.08508346795907377,0.13076969937116317,0.03205225721777888,4.079890488790518,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,4,0.9385426130221668,0.28105565770041824,0.03513195721255228,0.0,0.5761899894528226,4.0,0.0,0.0420032310177706,0.09616965572239951,0.028424628584961538,3.3833214541946957,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,5,0.7326999086416679,0.27481927178319193,0.03435240897289899,0.600430802369413,0.4957910332879695,5.0,0.0,0.021540118470651588,0.06085140912075963,0.027536522843109985,2.200240513261936,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,6,0.6525216720185608,0.214299395616179,0.026787424452022375,0.002154011847065159,0.43918561143518287,6.0,0.0,0.03231017770597738,0.039363605074449616,0.018314226724214303,2.149345733514119,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,7,0.8446604869606631,0.21223996950981588,0.026529996188726986,0.938610662358643,0.44715741280794746,7.0,0.0,0.01884760366182014,0.03937490540472341,0.018195664446247383,2.1639718361963967,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,8,0.9404389019373989,0.19293952315835122,0.024117440394793903,0.5519655358104469,0.3872709124791364,8.0,0.0,0.015078082929456112,0.02551140031804026,0.014074648237103167,1.8125781821655258,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,2,1.0,0.4493617906494645,0.056170223831183065,0.0,0.6968231879476621,2.0,0.0,0.17878298330640818,0.23659439136437369,0.04581115002924426,5.164559091142122,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,3,1.0,0.33011045810615564,0.041263807263269454,0.0,0.6127763437053989,3.0,0.0,0.08508346795907377,0.13076961394017791,0.032052109145410734,4.079906671440428,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,4,1.0,0.2757563995556135,0.034469549944451686,0.0,0.5647497506809013,4.0,0.0,0.05815831987075929,0.08814241022018561,0.027885926816641544,3.1608205384955634,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,5,0.9994344028991694,0.2400227918525005,0.030002848981562562,0.2762520193861066,0.4838626706267085,5.0,0.0,0.039310716208939146,0.06073164395007775,0.022626044340772204,2.6841476588964976,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,6,0.983436112792249,0.21313000406487737,0.02664125050810967,0.0,0.42180069690888244,6.0,0.0,0.03500269251480883,0.03388419444966911,0.016790455512611772,2.0181198809917933,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,7,0.6723343020624651,0.20415041090733646,0.025518801363417058,0.8266020463112547,0.41259642707739275,7.0,0.0,0.03231017770597738,0.033884561672024235,0.0166111868695475,2.0398639745666416,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr01_seq,8,0.7635201443989001,0.19301926033988936,0.02412740754248617,0.5616585891222402,0.3603330545053488,8.0,0.0,0.025848142164781908,0.02496394671820406,0.013826845045150027,1.8054694787481593,0.5,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,2,1.0,0.44368636617916535,0.05546079577239567,0.0,0.6885095155064502,2.0,0.0,0.19116855142703285,0.23057087944299132,0.043622428591326826,5.285603917145243,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,3,1.0,0.3307540352310649,0.04134425440388311,0.0,0.6093633425929137,3.0,0.0,0.09046849757673667,0.12628754920061225,0.032201131102154584,3.921835813656884,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,4,1.0,0.2916767719626439,0.03645959649533049,0.0,0.5769473996491228,4.0,0.0,0.04361873990306947,0.09908846925777862,0.030259310711854795,3.2746439665489055,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,5,0.9990803165812142,0.2582438001915417,0.03228047502394271,0.19116855142703285,0.5287390991341957,5.0,0.0,0.030156165858912225,0.079671730334029,0.027225981358664768,2.926312565175129,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,6,0.8322741309479159,0.25436795767463466,0.03179599470932933,0.0010770059235325794,0.4951146131569476,6.0,0.0,0.01615508885298869,0.06704178291259105,0.02706093641132823,2.478360963508413,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,7,0.7946341792888623,0.2364013074482367,0.029550163431029588,0.2460958535271944,0.46845116885430976,7.0,0.0,0.015078082929456112,0.061771020056147485,0.023602861196426416,2.6155507077343905,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,paper_sigma05_lr03_seq,8,0.9267841234211657,0.2132114442392015,0.026651430529900186,0.16962843295638125,0.4780081110276615,8.0,0.0,0.014539579967689823,0.05415427322950358,0.02127324222852368,2.545652075279177,0.5,0.3,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,2,1.0,0.43239151509167795,0.05404893938645974,0.0,0.599148110223092,2.0,0.0,0.312331717824448,0.13866247304700385,0.03302002583898305,4.1993447769838275,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,3,1.0,0.33283852336738423,0.04160481542092303,0.0,0.5681334783653983,3.0,0.0,0.1464728056004308,0.09618110892668638,0.029684700225755603,3.2400902886664764,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,4,1.0,0.29106098674639425,0.03638262334329928,0.0,0.4405242265072242,4.0,0.0,0.1577813677975229,0.046177449509731724,0.02073023548644794,2.2275410010509504,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,5,1.0,0.2384030221127667,0.029800377764095838,0.0,0.4627225402306145,5.0,0.0,0.07539041464728057,0.04444424877504639,0.01992181613783675,2.2309335888510775,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,6,1.0,0.23336061429980184,0.02917007678747523,0.0,0.37872140699881074,6.0,0.0,0.09693053311793215,0.028846777280266956,0.01588182463888306,1.8163389871353826,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,7,1.0,0.20086092669721842,0.025107615837152302,0.0,0.36447599894475685,7.0,0.0,0.04738826063543349,0.025150998672529762,0.014607424308986518,1.7217955841355974,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,detail_sigma12_lr05_seq,8,1.0,0.1974598433868045,0.024682480423350563,0.0,0.335577355824842,8.0,0.0,0.06408185245018848,0.023527040126790338,0.013254155734253464,1.7750689366213654,1.2,0.5,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
w0150_coverage_maxabs_level,random_sigma05_lr01,2,0.9166966725645875,0.45461851811671217,0.05682731476458902,0.0,0.6990076114869828,2.0,0.0,0.17555196553581046,0.22953154682943572,0.04615204522860671,5.229764962365805,0.5,0.1,True,150,coverage,maxabs_level,1857,64,0.8826045627376425
