quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_separation_ratio,cluster_sizes,variant_id,setting_id,k,seed,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
0.44939899115446985,0.05617487389430873,0.0,0.6968231879476621,2,0,332,0.17878298330640818,0.045811149444446725,0.23700731087489707,5.173572672677258,332;1525,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,2,11,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.4493989911540047,0.05617487389425059,0.0,0.6968231879476621,2,0,332,0.17878298330640818,0.045811149444446725,0.23700731086954618,5.1735726725604545,332;1525,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,2,37,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.4493989911545276,0.05617487389431595,0.0,0.6968231879476621,2,0,332,0.17878298330640818,0.045811149444446725,0.23700731087554036,5.1735726726913,332;1525,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,2,71,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.33012281085591655,0.04126535135698957,0.13408723747980614,0.6127763437053989,3,0,158,0.08508346795907377,0.03205225721777888,0.13076969937115823,4.079890488790364,439;1260;158,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,3,11,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.33012302409027494,0.04126537801128437,0.0,0.6127763437053989,3,0,158,0.08508346795907377,0.03205225721777888,0.1307696993713291,4.079890488795695,1260;439;158,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,3,37,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.3301228034486862,0.04126535043108578,0.0,0.6127763437053989,3,0,158,0.08508346795907377,0.03205225721777888,0.13076969937116317,4.079890488790518,158;439;1260,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,3,71,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.2820971330205675,0.035262141627570937,0.0,0.5779388743372064,4,0,75,0.04038772213247173,0.02856473559534188,0.09763647203858154,3.4180772200490903,1136;75;439;207,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,4,11,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.2758767728385178,0.034484596604814725,0.0,0.5647497506809013,4,0,108,0.05815831987075929,0.027885925664277854,0.08814337947233895,3.16085542686828,1105;108;431;213,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,4,37,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.28105565770041824,0.03513195721255228,0.0,0.5761899894528226,4,0,78,0.0420032310177706,0.028424628584961538,0.09616965572239951,3.3833214541946957,1131;211;78;437,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,4,71,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.27481927178319193,0.03435240897289899,0.600430802369413,0.4957910332879695,5,0,40,0.021540118470651588,0.027536522843109985,0.05711964175969253,2.074322966739801,90;1083;434;210;40,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,5,11,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.27508789966138103,0.03438598745767263,0.3306408185245019,0.5068237288665651,5,0,36,0.01938610662358643,0.027758560405676674,0.061075509196598744,2.200240513261936,1087;36;210;434;90,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,5,37,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.2401249585098694,0.030015619813733675,0.8992999461497039,0.4876470073758305,5,0,64,0.03446418955304254,0.02274693137319373,0.06085140912075963,2.6751480505100225,935;152;283;64;423,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,5,71,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.23616510417747535,0.02952063802218442,0.002154011847065159,0.4782173317835165,6,0,35,0.01884760366182014,0.022610394144874642,0.05616801954036053,2.4841680856151114,64;152;421;35;902;283,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,6,11,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
0.21323158104792633,0.02665394763099079,0.0,0.42179232787363075,6,0,61,0.03284868066774367,0.01683131671435367,0.03438118170900304,2.042691150695313,61;141;219;697;430;309,w0150_coverage_maxabs_level,paper_sigma03_lr01_seq,6,37,0.3,0.1,False,150,coverage,maxabs_level,1857,64,0.8826045627376425
