K,silhouette,dunn,min_cluster,max_fraction,bootstrap90,bootstrap95,drop05,drop10
2,0.6673535246745771,0.44398254666471104,7,0.9230769230769231,0.98200460135237,0.981338721908861,0.9829749393694422,0.9886499595796281
3,0.5329209904703774,0.3016851647332102,2,0.9010989010989011,0.8269614718627148,0.8527053854405735,0.829483060470931,0.8322191124882192
4,0.49710729345752236,0.3443904749004436,1,0.8901098901098901,0.8884422502995513,0.9024246251236366,0.8792489699780607,0.8645891769943443
5,0.46554075196445177,0.3443904749004436,1,0.8791208791208791,0.814155004741695,0.8440852205479012,0.8313607444053227,0.8521761229744951
6,0.4555164502651304,0.3443904749004436,1,0.8791208791208791,0.7506752544831075,0.8026633878714158,0.8059781570610803,0.830735119170382
7,0.4468545105605814,0.3443904749004436,1,0.8791208791208791,0.669859478597569,0.7266984149515077,0.78344034573775,0.8050843452197323
8,0.41786752019577045,0.342136946987373,1,0.8241758241758241,0.8391680764843096,0.8775662651980951,0.9229155925116338,0.8932929768137486
9,0.36068475881939727,0.2411048815328507,1,0.7912087912087912,0.8532323281153573,0.8849718187662944,0.9242461800371757,0.8953827883390401
10,0.3569571439951531,0.2411048815328507,1,0.7912087912087912,0.7571057032543155,0.7637786090643087,0.9360324157417169,0.9031290127309549
