candidate_id,search_stage,window_hours,sigma,learning_rate,iterations,seed,n_curves,quantization_error,topographic_error,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,balance_entropy,matched_mean_prototype_correlation,independent_archetypes_found,independent_labels,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,selection_score
1,paper_reported,150,0.3,0.1,50000,0,130,0.32665484459020705,0.0,0.5807757302676999,0.7516845701624499,271.460428830368,7,0.8449704831881318,0.6941640583698929,3,IFO-Slope;IFO-Hill;IFO-Hill;IFO-Bridge,7,24,35,64,0.8229033084118973
3,paper_reported,150,0.5,0.1,50000,0,130,0.32665484385055477,0.0,0.5807757302676999,0.7516845701624499,271.460428830368,7,0.8449704831881318,0.6941640583698929,3,IFO-Slope;IFO-Hill;IFO-Hill;IFO-Bridge,7,24,35,64,0.8229033084118973
4,paper_reported,150,0.5,0.3,50000,0,130,0.3401692881957036,0.0,0.5807757302676999,0.7516845701624499,271.460428830368,7,0.8449704831881318,0.6941640583698929,3,IFO-Slope;IFO-Hill;IFO-Hill;IFO-Bridge,7,24,35,64,0.8229033084118973
2,paper_reported,150,0.3,0.3,50000,0,130,0.3586187574193407,0.0,0.5814111283867519,0.6006005226968908,297.71457602089424,4,0.8192344136238908,0.6883808388127408,3,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Bridge,4,27,35,64,0.8197179936816632
25,expanded_som,300,0.2,0.03,20000,0,116,0.38813709828948084,0.0,0.46640150198603486,0.722374297841037,159.38124837737084,21,0.9572548439392933,0.7077093847485046,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,25,23,47,21,0.8158094203350486
28,expanded_som,300,0.2,0.05,100000,0,116,0.38764882030520137,0.0,0.46640150198603486,0.722374297841037,159.38124837737084,21,0.9572548439392933,0.7077093847485046,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,25,23,47,21,0.8158094203350486
27,expanded_som,300,0.2,0.05,20000,0,116,0.38771236357075584,0.0,0.46640150198603486,0.722374297841037,159.38124837737084,21,0.9572548439392933,0.7077093847485046,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,25,23,47,21,0.8158094203350486
26,expanded_som,300,0.2,0.03,100000,0,116,0.3881767191881688,0.0,0.46640150198603486,0.722374297841037,159.38124837737084,21,0.9572548439392933,0.7077093847485046,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,25,23,47,21,0.8158094203350486
9,paper_reported,300,0.3,0.1,50000,0,116,0.38967254701382276,0.0,0.4663364634660194,0.7279509016580313,159.35737298446315,20,0.9558974131345798,0.7085178174952322,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,26,23,47,20,0.8157633496069154
34,expanded_som,300,0.8,0.05,100000,0,116,0.3982724501724587,0.0,0.48348483496519346,0.8027472083412787,158.54070044537357,13,0.8916443892799626,0.703296808693771,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,23,23,57,13,0.8116863861336265
32,expanded_som,300,0.8,0.03,100000,0,116,0.39938604458448407,0.0,0.48348483496519346,0.8027472083412787,158.54070044537357,13,0.8916443892799626,0.703296808693771,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,23,23,57,13,0.8116863861336265
40,expanded_som,300,1.0,0.05,100000,0,116,0.39654987229617905,0.0,0.48348483496519346,0.8027472083412787,158.54070044537357,13,0.8916443892799626,0.703296808693771,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,23,23,57,13,0.8116863861336265
39,expanded_som,300,1.0,0.05,20000,0,116,0.3990103197149995,0.0,0.48529132506589795,0.8032531605871192,158.50194207848446,13,0.8858093137165223,0.7020185881114517,3,IFO-Hill;IFO-Slope;IFO-Bridge;IFO-Slope,22,23,58,13,0.8112592367721159
