window_hours,requested_clusters,seeds,qe_mean,qe_std_population,qe_min,qe_max,all_nodes_occupied_in_all_runs,minimum_cluster_size_across_runs
150,2,5,0.917533158111676,0.0,0.917533158111676,0.917533158111676,True,26
150,3,5,0.7645497202526984,0.0031651088262538265,0.7582195026001908,0.7661322746658253,True,4
150,4,5,0.5423648646131891,2.6018013253505768e-09,0.5423648614266462,0.5423648667375509,True,4
150,5,5,0.4962349406065458,3.4570539452861924e-10,0.496234939952002,0.49623494098548204,True,4
150,6,5,0.4507319430833253,0.015905034603963863,0.4312554497935813,0.46423566852570924,True,4
150,7,5,0.4190392572078828,0.016854766595071277,0.40045619506673213,0.43840063277605174,True,2
150,8,5,0.3930441187948851,0.0179225292978506,0.37689612715876736,0.4248998584293148,True,2
150,9,5,0.36902678757197954,0.005157245851455314,0.3626838110138248,0.37841287769892507,True,2
150,10,5,0.3490474824539135,0.004234618209505422,0.3416685102045006,0.35245331514031203,True,2
300,2,5,1.5475313536304467,0.0,1.5475313536304467,1.5475313536304467,True,19
300,3,5,1.0724159567571945,9.207939328823348e-09,1.072415948696232,1.0724159680095717,True,18
300,4,5,0.9498196244286572,0.014907507154818634,0.92000461011902,0.9572733780060666,True,2
300,5,5,0.8049949208203182,0.015758732708488172,0.7947057089186615,0.8355428510800296,True,2
300,6,5,0.7475945953216575,0.0019512518565393642,0.7452048096175684,0.7491877873428477,True,2
300,7,5,0.6984671414155306,0.009851540604366991,0.6806111041135658,0.7084479559825777,True,2
300,8,5,0.6496841192051556,0.0033950484274217606,0.6435684373514584,0.6540695865507188,True,2
300,9,5,0.6266423686490946,0.010578187893276246,0.6105822612188806,0.6366227293582541,True,2
300,10,5,0.6096514499170588,0.02687853222395506,0.5831794014222045,0.6522565506096017,True,2
500,2,5,2.149943624882955,0.0,2.149943624882955,2.149943624882955,True,24
500,3,5,1.6675158583679608,5.448396755980412e-09,1.6675158474711673,1.6675158610921592,True,16
500,4,5,1.388680185104838,4.5622395294731814e-09,1.388680181379785,1.3886801906924175,True,12
500,5,5,1.2395520991226068,0.04828791988108556,1.2001279619186942,1.2995956568899032,True,4
500,6,5,1.1728971938282293,0.056846040497854584,1.1033124637340879,1.2209825235339713,True,4
500,7,5,1.0775538672388123,0.06365564263878666,1.0273879524362644,1.1991832738349308,True,3
500,8,5,0.9894063171760503,0.008843329556658005,0.9787936271661124,0.9992893225012923,True,4
500,9,5,0.9349376725149519,0.018123621040958892,0.9164484675756196,0.9568274315532853,True,2
500,10,5,0.9107009653776377,0.01594092984886771,0.8877206824881647,0.9310283884778309,True,2
