cluster_id,n_curves,fraction,pce_0h_mean,pce_20h_mean,pce_50h_mean,pce_100h_mean,pce_200h_mean,initial_gain_mean,peak_time_h_median,recovery_mean,dominant_rule_shape,dominant_rule_shape_fraction,mean_bmu_distance,median_bmu_distance
0,36,0.025157232704402517,1.0,0.8540085487193885,0.6530391851049058,0.44477821958205865,0.22704000839613434,0.0,0.0,0.0,early_drop,1.0,0.7911527361521122,0.729459314812438
1,44,0.030747728860936407,0.9982565926547753,0.9444492463225322,0.848478962715075,0.6503339497044086,0.28125802517551574,0.0017414573460877033,0.0,0.0,rapid_decay,0.6136363636363636,0.7218208471250148,0.6167707352802388
2,64,0.04472396925227114,0.9956250483149565,0.9752628516159916,0.9308965968369021,0.8183890970083374,0.5356899101771931,0.004370860492839251,0.0,0.0001345961911759768,rapid_decay,0.90625,0.5031175861742004,0.4660520204064437
3,367,0.2564640111809923,0.9971695429254605,0.9805639335361136,0.9539377153749855,0.9080794001634991,0.8182598718471894,0.0028291493180829996,0.0,0.0014302324876164965,moderate_decay,0.8256130790190735,0.2829123710382534,0.2405812263975493
4,611,0.42697414395527605,0.9951092534144155,0.9918357182502069,0.9857665953639669,0.972552453498274,0.9392418756966464,0.004890052132950066,0.0,0.003006771490004173,stable,0.7414075286415712,0.16979640573111635,0.15086015361817218
5,13,0.009084556254367574,1.0,0.6346025790852916,0.48598951046249933,0.35796927338513995,0.3319619286259296,0.0,0.0,0.07805499711408796,early_drop,0.7692307692307693,1.613337646926109,1.2479400430708139
6,30,0.020964360587002098,1.0,0.7985925483263507,0.7096131276463604,0.6567236025129269,0.5685510814140421,0.0,0.0,0.006862004844460557,early_drop,0.9666666666666667,0.8557844536020185,0.8095861470595056
7,73,0.05101327742837177,1.0,0.9268239887440152,0.8215130899993556,0.7083926884614141,0.5699650537155304,0.0,0.0,0.0004102987709645866,early_drop,0.5205479452054794,0.47223422748173516,0.4616320538018842
8,153,0.1069182389937107,0.999211786409497,0.9527622563242002,0.8929309475903554,0.8235019737761322,0.7221160902946204,0.0007862019641684435,0.0,0.001240435328450319,moderate_decay,0.47058823529411764,0.33928221431657674,0.2990772176707977
9,40,0.027952480782669462,0.8820182568637567,0.941401644544295,0.9725134894937263,0.9588653357667207,0.9076090346279078,0.11797580959280518,57.5,0.07859711889147289,initial_gain,1.0,0.5540329290338006,0.4208348167168347
