descriptor,mean,std
pce_10h,0.9802662901721123,0.03365380937628274
pce_20h,0.9670789215302095,0.053654362278118435
pce_50h,0.9335528204942243,0.0896588933647659
pce_100h,0.8839389875285997,0.13171502379535688
pce_150h,0.8394431893287381,0.16574532771800568
pce_200h,0.7957922545883149,0.19660238154179738
slope_0_10h,-0.0013288149278637134,0.003337538974956821
slope_10_50h,-0.0011678367419472033,0.0017259420042573107
slope_50_100h,-0.0009922766593124894,0.0011644594168789405
slope_100_200h,-0.0008814673294028486,0.0009729457743614652
peak_time_h,9.918238993710691,27.14203438803655
initial_gain,0.0064443047742617065,0.023251605561448188
minimum_time_h,186.71698113207546,43.4496775308992
minimum_value,0.7923002059634511,0.19637721509204875
recovery_to_200h,0.003492048624863666,0.027807144512328304
maximum_post_min_recovery,0.004860129377073554,0.030834058926577042
max_drop_rate_per_h,-0.0030050321695176034,0.004428495088880289
max_drop_time_h,84.74213836477988,66.2202023441651
auc_mean_0_200h,0.8872982274787081,0.11907383427916661
endpoint_change,-0.1977621848624346,0.20099999685628145
mean_abs_derivative,0.0010922147505630904,0.0010264588875538467
