cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9846384481605776,0.3361936349061453
0,2,0.986501798129673,0.46437380115702975
0,3,0.9460114229329493,0.5696707465577827
0,4,0.13825766267804565,0.6489521632920732
0,5,0.9910983448648849,0.1767530018505938
0,6,0.931527667324596,0.30033181393146496
0,7,0.9275861344298958,0.40105908600582907
0,8,0.9473446718224318,0.5189948284814663
0,9,0.9178689052122256,0.6143698939697451
1,0,0.9846384481605776,0.3361936349061453
1,1,1.0,0.0
1,2,0.9614889321073544,0.13523301441107036
1,3,0.9046021680627205,0.23822136407840877
1,4,0.07448028411981449,0.31487561852313783
1,5,0.9659677982986401,0.17030459359665454
1,6,0.8835197719314906,0.12914887214203313
1,7,0.8818593355741435,0.10877022437196612
1,8,0.9068739742322217,0.19067103784682649
1,9,0.8716708285597029,0.2816292282946104
2,0,0.986501798129673,0.46437380115702975
2,1,0.9614889321073544,0.13523301441107036
2,2,1.0,0.0
2,3,0.9854779541651321,0.10533877788192515
2,4,0.29719994849499903,0.1856898045284158
2,5,0.9992755356426185,0.29067404912531825
2,6,0.9766262798483594,0.19680239381388698
2,7,0.9750929666687144,0.0865201556174762
2,8,0.9861820291919559,0.05572517308573667
2,9,0.9696252240953904,0.1502565256963254
3,0,0.9460114229329494,0.5696707465577827
3,1,0.9046021680627205,0.23822136407840877
3,2,0.985477954165132,0.10533877788192515
3,3,0.9999999999999999,0.0
3,4,0.44817171445261317,0.0819270983553367
3,5,0.9805797581277614,0.395769353577985
3,6,0.9987474893469945,0.2954233280089661
3,7,0.9985539392056213,0.18125207115032196
3,8,0.9999348382200866,0.05241758942348776
3,9,0.9968733074840992,0.045371322030805225
4,0,0.13825766267804565,0.6489521632920732
4,1,0.07448028411981449,0.31487561852313783
4,2,0.29719994849499903,0.1856898045284158
4,3,0.44817171445261317,0.0819270983553367
4,4,0.9999999999999998,0.0
4,5,0.2672550711115016,0.47619930638635766
4,6,0.480654071062499,0.37714485425462607
4,7,0.4931652673018753,0.2629390213351904
4,8,0.44517106104957527,0.1342689567000143
4,9,0.5159038629211773,0.03710884616872264
5,0,0.9910983448648849,0.1767530018505938
5,1,0.9659677982986402,0.17030459359665454
5,2,0.9992755356426184,0.29067404912531825
5,3,0.9805797581277615,0.395769353577985
5,4,0.2672550711115016,0.47619930638635766
5,5,0.9999999999999999,0.0
5,6,0.9711859591586359,0.12816601021312737
5,7,0.9688777455099181,0.22434808540936765
5,8,0.9813792357924431,0.3443320756440131
5,9,0.9623390503838298,0.4408786449615395
6,0,0.9315276673245961,0.30033181393146496
6,1,0.8835197719314904,0.12914887214203313
6,2,0.9766262798483594,0.19680239381388698
6,3,0.9987474893469945,0.2954233280089661
6,4,0.480654071062499,0.37714485425462607
6,5,0.9711859591586359,0.12816601021312737
6,6,1.0,0.0
6,7,0.9996591526577012,0.11428474077546776
6,8,0.9985108112832797,0.24311562332272738
6,9,0.9985611992639475,0.3405036651886675
7,0,0.9275861344298959,0.40105908600582907
7,1,0.8818593355741436,0.10877022437196612
7,2,0.9750929666687144,0.0865201556174762
7,3,0.9985539392056212,0.18125207115032196
7,4,0.4931652673018753,0.2629390213351904
7,5,0.9688777455099182,0.22434808540936765
7,6,0.9996591526577012,0.11428474077546776
7,7,1.0,0.0
7,8,0.9982983268866619,0.12901039492392366
7,9,0.9994287193956841,0.22629497310086966
8,0,0.9473446718224318,0.5189948284814663
8,1,0.9068739742322215,0.19067103784682649
8,2,0.9861820291919559,0.05572517308573667
8,3,0.9999348382200864,0.05241758942348776
8,4,0.44517106104957527,0.1342689567000143
8,5,0.9813792357924431,0.3443320756440131
8,6,0.9985108112832797,0.24311562332272738
8,7,0.998298326886662,0.12901039492392366
8,8,1.0,0.0
8,9,0.9964051054865768,0.09773162368481894
9,0,0.9178689052122256,0.6143698939697451
9,1,0.8716708285597028,0.2816292282946104
9,2,0.9696252240953904,0.1502565256963254
9,3,0.9968733074840991,0.045371322030805225
9,4,0.5159038629211773,0.03710884616872264
9,5,0.9623390503838298,0.4408786449615395
9,6,0.9985611992639475,0.3405036651886675
9,7,0.9994287193956842,0.22629497310086966
9,8,0.9964051054865768,0.09773162368481894
9,9,1.0,0.0
