raw_cluster_id,som_node_x,som_node_y,n_curves,fraction,pce_norm_0h_mean,pce_norm_10h_mean,pce_norm_50h_mean,pce_norm_100h_mean,pce_norm_150h_mean,pce_norm_200h_mean,delta_0_200h_mean,slope_0_10h_per_h,slope_100_200h_per_h,auc_0_200h,mean_bmu_distance,median_bmu_distance,suggested_shape_name,ordered_class_id,class_label
0,0,0,17,0.009523809523809525,1.0,0.870339777759492,0.5137223798395665,0.3013099952807024,0.17576263596979178,0.13331220616969783,-0.8666877938303021,-0.0129660222240508,-0.0016799778911100458,74.88141316361364,2.591627948403053,2.3872648446781026,initial_drop_rapid_loss,10,class_10
1,0,1,48,0.02689075630252101,1.0,0.9157888008011194,0.7228634678048017,0.6515591332859637,0.6191150905135311,0.5735678281943336,-0.4264321718056664,-0.008421119919888065,-0.000779913050916301,137.2502445226795,2.3558218030312514,1.9613954268219949,initial_drop_rapid_loss,6,class_06
2,0,2,133,0.07450980392156863,0.9974277966974768,0.9692907990341488,0.8790399251195103,0.7981555759440198,0.7411785614523841,0.6922217832130896,-0.30520601348438725,-0.0028136997663328,-0.0010593379273093019,162.79282834123183,1.1378427555139123,1.1038598774686021,initial_drop_moderate_loss,5,class_05
3,0,3,282,0.15798319327731092,0.9937052997033055,0.9870547279490579,0.9561156569499807,0.9153995730411467,0.8757523634582528,0.8351319376503081,-0.15857336205299732,-0.0006650571754247547,-0.0008026763539083859,183.03621661695564,0.7370628874156271,0.6433921141781793,no_initial_change_moderate_loss,3,class_03
4,0,4,529,0.29635854341736695,0.985650126349286,0.9881709278364017,0.9903663262006642,0.9863541786270439,0.9785858273054437,0.9677524778183083,-0.01789764853097764,0.00025208014871157535,-0.00018601700808735578,196.71235251093722,0.48741360143954976,0.4154346351895664,no_initial_change_stable,1,class_01
5,1,0,44,0.02464985994397759,1.0,0.9202108342638359,0.6851502275505048,0.5090283825336279,0.37940431788758305,0.2934637678037804,-0.7065362321962196,-0.007978916573616412,-0.002155646147298475,109.56905502609132,2.4351372266183087,2.1491269929351824,initial_drop_rapid_loss,9,class_09
6,1,1,46,0.0257703081232493,0.9981828384229006,0.9693070998819703,0.8462909915135396,0.6631374278654423,0.4806462676362598,0.32075105150398947,-0.677431786918911,-0.0028875738540930286,-0.003423863763614528,132.58786958936847,1.8591250531260484,1.806442533592592,initial_drop_rapid_loss,8,class_08
7,1,2,78,0.043697478991596636,0.9966904610913835,0.9770977640067767,0.8885018565640933,0.7622066518030578,0.6372246587742968,0.5173057433379802,-0.4793847177534033,-0.001959269708460676,-0.0024490090846507762,152.23118084012492,1.4714442097451752,1.3660298037389285,no_initial_change_rapid_loss,7,class_07
8,1,3,201,0.11260504201680673,0.996049692638593,0.98522669139797,0.933481223940446,0.868147064374271,0.8039802090564429,0.7412512847418984,-0.2547984078966946,-0.0010823001240622965,-0.0012689577963237264,173.74326459691983,0.8742266912541022,0.802066895021717,no_initial_change_moderate_loss,4,class_04
9,1,4,407,0.2280112044817927,0.9955181880257624,0.9926095230257895,0.9777350014569017,0.9557608176167353,0.9337679541908561,0.9078492262120655,-0.08766896181369688,-0.0002908664999972888,-0.0004791159140466972,190.99180243585775,0.502953437340593,0.4799169031085661,no_initial_change_stable,2,class_02
