cluster,n,fraction,fraction_percent,representative_sample_id,qualitative_morphology,initial_pce_mean,initial_pce_std,initial_pce_median,maximum_pce_mean,maximum_pce_std,maximum_pce_median,final_pce_mean,key_shape_features,test,pipeline
0,623,0.2775055679287305,27.75055679287305,577,slow decay,14.549011893471182,3.770976101538661,14.630720775901073,15.672525661964709,2.3381161154883405,15.153875206847266,11.293834203260953,Δrel=-0.221; early slope=-0.0018/h; late slope=-0.0013/h; turns=0,test1_raw,Raw → SOM
1,745,0.33184855233853006,33.18485523385301,1378,slow decay,18.45954282231435,4.093683129150706,18.973365030461785,19.784571399760317,2.278614660501032,19.48389777494271,16.83124761873612,Δrel=-0.094; early slope=-0.0003/h; late slope=-0.0006/h; turns=1,test1_raw,Raw → SOM
2,442,0.19688195991091315,19.688195991091316,76,medium decay,7.635913048086398,4.193750665717312,7.461816825524226,8.389651391337994,3.7633200003022464,7.920842263430159,3.5133436859369276,Δrel=-0.505; early slope=-0.0079/h; late slope=-0.0008/h; turns=0,test1_raw,Raw → SOM
3,435,0.19376391982182628,19.37639198218263,632,medium decay,11.65092014761687,3.7974966209173586,11.353549838837338,12.638167764304443,2.974476598287525,11.93284465379585,7.661566787070913,Δrel=-0.339; early slope=-0.0045/h; late slope=-0.0012/h; turns=0,test1_raw,Raw → SOM
0,1021,0.45478841870824055,45.478841870824056,1109,initial increase followed by slow decay,14.117786929955118,5.658970271610544,14.952491266992315,15.748960584069597,4.647948334537346,16.624759770753478,14.152155243601582,Δrel=0.009; early slope=0.0017/h; late slope=-0.0006/h; turns=1,test2_resample_normalize,Resample + Normalize → SOM
1,582,0.2592427616926503,25.92427616926503,345,slow decay,14.562024721591081,5.398225297409211,14.937016625935499,15.258247952791118,4.99472147306181,15.38959895378876,10.683986347026226,Δrel=-0.259; early slope=-0.0026/h; late slope=-0.0013/h; turns=0,test2_resample_normalize,Resample + Normalize → SOM
2,373,0.16614699331848554,16.614699331848552,647,medium decay,13.752448281037083,5.670584978056131,13.899441413946107,14.557805107333118,5.081649488480441,14.409695681012636,7.821345961983923,Δrel=-0.423; early slope=-0.0060/h; late slope=-0.0013/h; turns=0,test2_resample_normalize,Resample + Normalize → SOM
3,213,0.09487750556792873,9.487750556792873,1765,rapid decay,12.407163224123567,5.324215665952474,11.764392195448659,12.677885080770073,5.345443160021734,12.469136564991054,4.0034993866568485,Δrel=-0.650; early slope=-0.0096/h; late slope=-0.0010/h; turns=0,test2_resample_normalize,Resample + Normalize → SOM
4,56,0.024944320712694878,2.494432071269488,2222,rapid decay,10.676246869802254,5.5389481907412,12.498748211739455,11.051396081616216,5.267106366419782,12.628540149745062,0.4192799158136326,Δrel=-0.775; early slope=-0.0156/h; late slope=0.0003/h; turns=0,test2_resample_normalize,Resample + Normalize → SOM
0,1027,0.4574610244988864,45.746102449888646,882,initial increase followed by slow decay,14.112499000859533,5.664008054321289,14.93896999967186,15.737556771627428,4.6587214296799795,16.614234009400505,14.130644732633348,Δrel=0.007; early slope=0.0017/h; late slope=-0.0006/h; turns=1,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM
1,577,0.25701559020044545,25.701559020044545,345,slow decay,14.562729379079357,5.389877242783596,14.937131186078233,15.259248456267267,4.989372864263721,15.393175398031048,10.675312421304087,Δrel=-0.260; early slope=-0.0027/h; late slope=-0.0013/h; turns=0,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM
2,372,0.16570155902004455,16.570155902004455,647,medium decay,13.770942813616907,5.666946170097093,13.91234184878414,14.577938726255804,5.073574472795659,14.471829514327434,7.830551596773055,Δrel=-0.424; early slope=-0.0060/h; late slope=-0.0013/h; turns=0,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM
3,213,0.09487750556792873,9.487750556792873,323,rapid decay,12.407163224123567,5.324215665952474,11.764392195448659,12.677885080770073,5.345443160021734,12.469136564991054,4.0034993866568485,Δrel=-0.676; early slope=-0.0100/h; late slope=-0.0011/h; turns=0,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM
4,56,0.024944320712694878,2.494432071269488,2222,rapid decay,10.676246869802254,5.5389481907412,12.498748211739455,11.051396081616216,5.267106366419782,12.628540149745062,0.4192799158136326,Δrel=-0.902; early slope=-0.0187/h; late slope=0.0003/h; turns=0,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM
