test,eta_squared_initial_pce,eta_squared_maximum_pce,eta_squared_overall_relative_change,eta_squared_early_relative_slope,eta_squared_late_relative_slope,mean_magnitude_eta_squared,mean_shape_eta_squared,mean_within_cluster_shape_rmse,dominant_separation_interpretation
test1_raw,0.4997537727904205,0.6925347539936515,0.13439828524751982,0.0907108240536772,0.02518533145492874,0.596144263392036,0.0834314802520419,0.1309773770129114,mainly absolute PCE magnitude
test2_resample_normalize,0.01935665861268694,0.04795046800648048,0.5845573839293542,0.4309624396296164,0.03889981743401403,0.03365356330958371,0.3514732136643282,0.06397461697986,mainly degradation tendency / shape
test3_resample_normalize_smooth,0.019276940882108465,0.04758277210915001,0.6390639777276734,0.46458432934009586,0.04078853562976535,0.03342985649562924,0.38147894756584483,0.06462490173755073,mainly degradation tendency / shape
